#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
229.40,160.80,68.20,0.00,0.00,0.00,0.00,0.00
223.90,157.90,70.00,0.00,0.00,0.00,0.00,0.00
226.00,161.00,68.20,0.00,0.00,0.00,0.00,0.00
229.80,161.00,70.00,0.00,0.00,0.00,0.00,0.00
228.30,162.60,69.70,0.00,0.00,0.00,0.00,0.00
227.10,161.10,72.40,0.00,0.00,0.00,0.00,0.00
229.10,163.50,69.70,0.00,0.00,0.00,0.00,0.00
228.70,159.30,70.00,0.00,0.00,0.00,0.00,0.00
222.60,159.80,67.00,0.00,0.00,0.00,0.00,0.00
229.30,164.50,68.20,0.00,0.00,0.00,0.00,0.00
227.20,161.90,78.50,0.00,0.00,0.00,0.00,0.00
227.30,158.70,68.50,0.00,0.00,0.00,0.00,0.00
230.20,164.40,70.30,0.00,0.00,0.00,0.00,0.00
228.70,163.60,68.60,0.00,0.00,0.00,0.00,0.00
224.50,158.30,69.40,0.00,0.00,0.00,0.00,0.00
229.10,161.10,69.10,0.00,0.00,0.00,0.00,0.00
225.30,162.20,67.90,0.00,0.00,0.00,0.00,0.00
228.20,157.80,70.00,0.00,0.00,0.00,0.00,0.00
229.60,165.40,70.00,0.00,0.00,0.00,0.00,0.00
224.70,158.00,67.30,0.00,0.00,0.00,0.00,0.00
227.20,163.10,70.60,0.00,0.00,0.00,0.00,0.00
224.90,158.80,76.30,0.00,0.00,0.00,0.00,0.00
229.00,162.00,69.70,0.00,0.00,0.00,0.00,0.00
228.70,161.00,69.10,0.00,0.00,0.00,0.00,0.00
226.80,160.20,70.00,0.00,0.00,0.00,0.00,0.00
226.80,158.20,67.90,0.00,0.00,0.00,0.00,0.00
218.60,157.90,67.60,0.00,0.00,0.00,0.00,0.00
228.60,161.90,71.60,0.00,0.00,0.00,0.00,0.00
225.70,159.60,67.30,0.00,0.00,0.00,0.00,0.00
224.10,229.90,68.20,0.00,0.00,0.00,0.00,0.00
