#tp_osd_tp,bstore_kv_sync,rocksdb:high,bstore_kv_final,bstore_aio,rocksdb:low,OpHistorySvc,bstore_mempool,log,admin_socket,safe_timer,ceph_timer,osd_srv_heartbt,ceph-osd,service,ms_dispatch,signal_handler,io_context_pool,fn_anonymous,cfin,ms_local,finisher,osd_srv_agent
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
655.00,71.90,11.30,31.50,13.90,1.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
645.30,72.50,18.50,31.10,13.90,0.00,6.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
644.10,70.10,37.50,30.60,14.60,15.90,6.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
647.00,71.50,12.30,31.10,14.90,0.00,7.00,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
646.20,70.20,18.50,27.80,15.20,0.00,6.60,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
631.80,68.90,38.70,31.50,13.90,15.60,6.60,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
650.30,69.80,13.30,31.90,14.30,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
642.70,69.20,19.90,28.50,13.90,0.00,5.30,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
632.60,68.50,41.10,25.50,14.90,33.10,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
641.60,68.40,21.90,25.90,15.00,32.60,5.30,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
650.60,70.20,16.20,26.80,14.20,3.00,5.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
645.00,68.50,38.70,26.20,14.20,15.90,6.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
640.60,69.50,20.20,28.80,15.60,0.00,6.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
641.40,71.40,19.90,27.60,15.00,0.00,6.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
