#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
197.80,101.90,31.40,0.00,0.00,0.00,0.00,0.00
195.80,101.40,30.50,0.00,0.00,0.00,0.00,0.00
195.00,102.60,31.10,0.00,0.00,0.00,0.00,0.00
195.70,99.20,30.50,0.00,0.00,0.00,0.00,0.00
194.80,102.40,33.00,0.00,0.00,0.00,0.00,0.00
192.20,99.20,32.30,0.00,0.00,0.00,0.00,0.00
194.90,98.70,31.70,0.00,0.00,0.00,0.00,0.00
198.30,102.50,29.90,0.00,0.00,0.00,0.00,0.00
191.40,98.00,29.60,0.00,0.00,0.00,0.00,0.00
195.70,99.90,31.10,0.00,0.00,0.00,0.00,0.00
195.20,101.70,35.00,0.00,0.00,0.00,0.00,0.00
193.10,100.40,28.40,0.00,0.00,0.00,0.00,0.00
198.10,102.20,33.20,0.00,0.00,0.00,0.00,0.00
194.60,100.20,29.50,0.00,0.00,0.00,0.00,0.00
198.00,104.20,31.00,0.00,0.00,0.00,0.00,0.00
190.20,96.50,29.00,0.00,0.00,0.00,0.00,0.00
194.10,97.60,31.70,0.00,0.00,0.00,0.00,0.00
197.70,100.10,30.80,0.00,0.00,0.00,0.00,0.00
199.20,103.70,29.90,0.00,0.00,0.00,0.00,0.00
194.00,100.50,31.10,0.00,0.00,0.00,0.00,0.00
197.40,100.90,36.60,0.00,0.00,0.00,0.00,0.00
195.20,102.80,32.30,0.00,0.00,0.00,0.00,0.00
194.60,98.50,30.20,0.00,0.00,0.00,0.00,0.00
195.20,100.40,32.00,0.00,0.00,0.00,0.00,0.00
194.60,101.50,30.80,0.00,0.00,0.00,0.00,0.00
197.60,102.20,31.10,0.00,0.00,0.00,0.00,0.00
190.80,101.20,30.20,0.00,0.00,0.00,0.00,0.00
198.10,101.00,31.40,0.00,0.00,0.00,0.00,0.00
197.50,100.00,31.10,0.00,0.00,0.00,0.00,0.00
180.40,80.60,37.20,0.00,0.00,0.00,0.00,0.00
194.00,99.00,29.00,0.00,0.00,0.00,0.00,0.00
192.70,102.90,32.30,0.00,0.00,0.00,0.00,0.00
194.90,97.90,30.80,0.00,0.00,0.00,0.00,0.00
193.60,101.80,30.20,0.00,0.00,0.00,0.00,0.00
193.80,103.80,31.40,0.00,0.00,0.00,0.00,0.00
192.00,97.20,30.80,0.00,0.00,0.00,0.00,0.00
191.60,101.00,29.00,0.00,0.00,0.00,0.00,0.00
194.40,101.30,31.70,0.00,0.00,0.00,0.00,0.00
192.20,100.50,30.50,0.00,0.00,0.00,0.00,0.00
191.70,97.20,29.90,0.00,0.00,0.00,0.00,0.00
192.40,99.50,32.60,0.00,0.00,0.00,0.00,0.00
191.70,100.90,29.90,0.00,0.00,0.00,0.00,0.00
192.00,98.60,29.50,0.00,0.00,0.00,0.00,0.00
192.60,100.10,26.00,0.00,0.00,0.00,0.00,0.00
192.50,104.60,32.00,0.00,0.00,0.00,0.00,0.00
193.30,96.20,29.30,0.00,0.00,0.00,0.00,0.00
193.30,100.10,31.30,0.00,0.00,0.00,0.00,0.00
192.90,102.50,29.60,0.00,0.00,0.00,0.00,0.00
191.20,98.50,29.60,0.00,0.00,0.00,0.00,0.00
190.70,98.60,32.90,0.00,0.00,0.00,0.00,0.00
191.80,100.20,33.50,0.00,0.00,0.00,0.00,0.00
188.50,98.10,28.70,0.00,0.00,0.00,0.00,0.00
193.00,97.10,31.40,0.00,0.00,0.00,0.00,0.00
193.50,102.10,30.50,0.00,0.00,0.00,0.00,0.00
193.60,98.50,28.90,0.00,0.00,0.00,0.00,0.00
188.50,95.40,27.50,0.00,0.00,0.00,0.00,0.00
191.70,100.10,30.90,0.00,0.00,0.00,0.00,0.00
188.80,96.90,28.30,0.00,0.00,0.00,0.00,0.00
187.70,96.10,29.20,0.00,0.00,0.00,0.00,0.00
186.80,124.30,31.00,0.00,0.00,0.00,0.00,0.00
185.70,93.40,27.10,0.00,0.00,0.00,0.00,0.00
192.60,101.40,31.70,0.00,0.00,0.00,0.00,0.00
189.70,97.80,29.30,0.00,0.00,0.00,0.00,0.00
186.40,95.50,31.20,0.00,0.00,0.00,0.00,0.00
191.00,98.20,28.10,0.00,0.00,0.00,0.00,0.00
189.10,98.30,32.30,0.00,0.00,0.00,0.00,0.00
188.40,94.40,29.00,0.00,0.00,0.00,0.00,0.00
186.80,97.70,28.70,0.00,0.00,0.00,0.00,0.00
191.90,99.10,29.50,0.00,0.00,0.00,0.00,0.00
189.80,98.80,29.00,0.00,0.00,0.00,0.00,0.00
185.10,97.40,32.90,0.00,0.00,0.00,0.00,0.00
189.20,98.90,29.00,0.00,0.00,0.00,0.00,0.00
187.40,95.60,29.00,0.00,0.00,0.00,0.00,0.00
191.00,97.20,28.50,0.00,0.00,0.00,0.00,0.00
190.50,96.40,30.20,0.00,0.00,0.00,0.00,0.00
186.90,95.20,27.80,0.00,0.00,0.00,0.00,0.00
187.10,101.90,30.10,0.00,0.00,0.00,0.00,0.00
190.70,95.00,29.30,0.00,0.00,0.00,0.00,0.00
185.00,97.90,30.20,0.00,0.00,0.00,0.00,0.00
190.80,99.40,29.30,0.00,0.00,0.00,0.00,0.00
187.00,98.20,31.70,0.00,0.00,0.00,0.00,0.00
190.10,95.00,32.90,0.00,0.00,0.00,0.00,0.00
186.20,98.50,30.20,0.00,0.00,0.00,0.00,0.00
194.10,98.90,29.60,0.00,0.00,0.00,0.00,0.00
190.70,98.80,29.60,0.00,0.00,0.00,0.00,0.00
188.20,95.90,29.00,0.00,0.00,0.00,0.00,0.00
189.80,98.80,29.90,0.00,0.00,0.00,0.00,0.00
186.40,97.20,28.90,0.00,0.00,0.00,0.00,0.00
189.20,96.40,30.00,0.00,0.00,0.00,0.00,0.00
230.50,167.50,12.40,0.00,0.00,0.00,0.00,0.00
188.60,95.80,28.40,0.00,0.00,0.00,0.00,0.00
178.30,94.90,26.50,0.00,0.00,0.00,0.00,0.00
184.50,98.10,29.30,0.00,0.00,0.00,0.00,0.00
188.60,101.30,30.80,0.00,0.00,0.00,0.00,0.00
185.40,98.50,28.30,0.00,0.00,0.00,0.00,0.00
187.20,99.70,32.00,0.00,0.00,0.00,0.00,0.00
183.80,98.40,28.30,0.00,0.00,0.00,0.00,0.00
187.20,99.80,27.70,0.00,0.00,0.00,0.00,0.00
189.10,103.20,29.90,0.00,0.00,0.00,0.00,0.00
189.80,99.40,29.60,0.00,0.00,0.00,0.00,0.00
191.00,102.40,32.00,0.00,0.00,0.00,0.00,0.00
188.40,97.60,28.40,0.00,0.00,0.00,0.00,0.00
182.50,98.40,28.40,0.00,0.00,0.00,0.00,0.00
186.30,101.00,28.60,0.00,0.00,0.00,0.00,0.00
187.10,98.90,29.60,0.00,0.00,0.00,0.00,0.00
185.70,101.50,29.30,0.00,0.00,0.00,0.00,0.00
187.80,99.70,29.30,0.00,0.00,0.00,0.00,0.00
185.20,95.90,28.20,0.00,0.00,0.00,0.00,0.00
189.40,99.90,29.30,0.00,0.00,0.00,0.00,0.00
188.40,99.40,29.30,0.00,0.00,0.00,0.00,0.00
188.30,102.60,30.50,0.00,0.00,0.00,0.00,0.00
178.40,94.40,33.80,0.00,0.00,0.00,0.00,0.00
182.10,97.60,28.40,0.00,0.00,0.00,0.00,0.00
187.30,99.40,28.40,0.00,0.00,0.00,0.00,0.00
185.20,98.40,29.60,0.00,0.00,0.00,0.00,0.00
184.20,99.80,28.60,0.00,0.00,0.00,0.00,0.00
189.60,98.70,29.00,0.00,0.00,0.00,0.00,0.00
186.90,99.40,29.60,0.00,0.00,0.00,0.00,0.00
184.50,100.20,28.00,0.00,0.00,0.00,0.00,0.00
147.50,76.70,11.80,0.00,0.00,0.00,0.00,0.00
160.60,88.80,25.90,0.00,0.00,0.00,0.00,0.00
162.50,89.40,25.70,0.00,0.00,0.00,0.00,0.00
160.10,85.80,26.70,0.00,0.00,0.00,0.00,0.00
164.80,93.60,25.60,0.00,0.00,0.00,0.00,0.00
162.10,84.10,24.20,0.00,0.00,0.00,0.00,0.00
161.30,89.80,26.50,0.00,0.00,0.00,0.00,0.00
162.50,92.30,28.00,0.00,0.00,0.00,0.00,0.00
158.10,84.80,23.50,0.00,0.00,0.00,0.00,0.00
163.70,90.80,24.90,0.00,0.00,0.00,0.00,0.00
160.80,85.10,24.30,0.00,0.00,0.00,0.00,0.00
161.50,89.70,24.60,0.00,0.00,0.00,0.00,0.00
161.30,84.90,27.40,0.00,0.00,0.00,0.00,0.00
155.10,85.00,25.60,0.00,0.00,0.00,0.00,0.00
160.70,88.90,25.40,0.00,0.00,0.00,0.00,0.00
161.60,88.10,25.80,0.00,0.00,0.00,0.00,0.00
163.30,89.70,24.40,0.00,0.00,0.00,0.00,0.00
160.90,86.20,24.10,0.00,0.00,0.00,0.00,0.00
160.60,87.10,23.90,0.00,0.00,0.00,0.00,0.00
159.70,86.60,25.60,0.00,0.00,0.00,0.00,0.00
163.70,89.30,25.60,0.00,0.00,0.00,0.00,0.00
163.00,89.90,26.80,0.00,0.00,0.00,0.00,0.00
161.40,92.00,25.80,0.00,0.00,0.00,0.00,0.00
163.30,84.20,24.20,0.00,0.00,0.00,0.00,0.00
160.60,88.40,24.40,0.00,0.00,0.00,0.00,0.00
159.20,87.80,28.40,0.00,0.00,0.00,0.00,0.00
159.40,87.80,26.10,0.00,0.00,0.00,0.00,0.00
160.00,85.40,26.60,0.00,0.00,0.00,0.00,0.00
163.50,90.50,24.50,0.00,0.00,0.00,0.00,0.00
158.40,85.00,24.30,0.00,0.00,0.00,0.00,0.00
136.90,117.90,31.00,0.00,0.00,0.00,0.00,0.00
147.10,80.90,21.80,0.00,0.00,0.00,0.00,0.00
145.80,81.30,22.60,0.00,0.00,0.00,0.00,0.00
146.10,80.10,22.80,0.00,0.00,0.00,0.00,0.00
147.30,83.20,23.70,0.00,0.00,0.00,0.00,0.00
151.30,82.00,23.40,0.00,0.00,0.00,0.00,0.00
147.10,82.50,21.60,0.00,0.00,0.00,0.00,0.00
149.10,83.00,24.60,0.00,0.00,0.00,0.00,0.00
143.20,79.10,21.60,0.00,0.00,0.00,0.00,0.00
143.90,78.90,22.70,0.00,0.00,0.00,0.00,0.00
146.00,78.80,22.00,0.00,0.00,0.00,0.00,0.00
150.50,85.80,24.90,0.00,0.00,0.00,0.00,0.00
145.50,81.10,22.70,0.00,0.00,0.00,0.00,0.00
150.40,84.00,23.20,0.00,0.00,0.00,0.00,0.00
145.20,79.60,21.50,0.00,0.00,0.00,0.00,0.00
147.30,82.50,22.80,0.00,0.00,0.00,0.00,0.00
149.40,81.00,22.50,0.00,0.00,0.00,0.00,0.00
141.50,79.00,21.60,0.00,0.00,0.00,0.00,0.00
148.10,83.50,22.70,0.00,0.00,0.00,0.00,0.00
150.10,80.60,22.40,0.00,0.00,0.00,0.00,0.00
145.70,79.40,23.60,0.00,0.00,0.00,0.00,0.00
146.70,82.00,22.00,0.00,0.00,0.00,0.00,0.00
148.70,78.70,24.50,0.00,0.00,0.00,0.00,0.00
145.10,80.30,23.20,0.00,0.00,0.00,0.00,0.00
145.20,78.00,19.80,0.00,0.00,0.00,0.00,0.00
146.10,77.10,20.90,0.00,0.00,0.00,0.00,0.00
147.70,79.40,22.00,0.00,0.00,0.00,0.00,0.00
145.10,80.10,20.30,0.00,0.00,0.00,0.00,0.00
146.10,78.50,22.80,0.00,0.00,0.00,0.00,0.00
146.60,77.30,20.70,0.00,0.00,0.00,0.00,0.00
149.60,99.20,18.60,0.00,0.00,0.00,0.00,0.00
140.20,79.80,22.20,0.00,0.00,0.00,0.00,0.00
