#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
237.20,129.60,78.00,0.00,0.00,0.00,0.00,0.00
234.50,123.90,76.70,0.00,0.00,0.00,0.00,0.00
236.40,126.40,78.90,0.00,0.00,0.00,0.00,0.00
229.00,123.60,72.10,0.00,0.00,0.00,0.00,0.00
235.70,124.90,80.00,0.00,0.00,0.00,0.00,0.00
234.80,125.00,78.10,0.00,0.00,0.00,0.00,0.00
237.80,129.30,74.20,0.00,0.00,0.00,0.00,0.00
240.80,128.60,79.40,0.00,0.00,0.00,0.00,0.00
235.10,128.60,75.80,0.00,0.00,0.00,0.00,0.00
236.30,125.90,83.30,0.00,0.00,0.00,0.00,0.00
237.50,129.30,77.50,0.00,0.00,0.00,0.00,0.00
235.40,129.90,77.90,0.00,0.00,0.00,0.00,0.00
240.00,129.10,78.10,0.00,0.00,0.00,0.00,0.00
235.40,127.30,77.50,0.00,0.00,0.00,0.00,0.00
239.60,129.80,76.00,0.00,0.00,0.00,0.00,0.00
234.50,127.20,77.90,0.00,0.00,0.00,0.00,0.00
236.90,127.20,78.80,0.00,0.00,0.00,0.00,0.00
235.70,128.20,77.80,0.00,0.00,0.00,0.00,0.00
236.20,128.00,77.60,0.00,0.00,0.00,0.00,0.00
239.50,130.90,87.80,0.00,0.00,0.00,0.00,0.00
235.10,126.50,77.50,0.00,0.00,0.00,0.00,0.00
239.30,132.10,76.00,0.00,0.00,0.00,0.00,0.00
232.90,123.30,77.50,0.00,0.00,0.00,0.00,0.00
235.10,127.40,76.40,0.00,0.00,0.00,0.00,0.00
236.60,129.10,77.20,0.00,0.00,0.00,0.00,0.00
237.20,128.70,75.70,0.00,0.00,0.00,0.00,0.00
238.10,131.30,81.00,0.00,0.00,0.00,0.00,0.00
237.50,125.00,78.50,0.00,0.00,0.00,0.00,0.00
239.00,131.50,76.70,0.00,0.00,0.00,0.00,0.00
149.20,68.20,43.50,0.00,0.00,0.00,0.00,0.00
245.00,140.90,78.30,0.00,0.00,0.00,0.00,0.00
223.80,129.80,73.90,0.00,0.00,0.00,0.00,0.00
244.00,137.80,82.70,0.00,0.00,0.00,0.00,0.00
251.10,140.30,81.30,0.00,0.00,0.00,0.00,0.00
229.80,134.00,75.40,0.00,0.00,0.00,0.00,0.00
239.60,137.80,81.50,0.00,0.00,0.00,0.00,0.00
229.80,131.30,75.40,0.00,0.00,0.00,0.00,0.00
221.90,132.80,73.90,0.00,0.00,0.00,0.00,0.00
233.60,132.50,76.30,0.00,0.00,0.00,0.00,0.00
233.60,136.20,76.10,0.00,0.00,0.00,0.00,0.00
217.30,126.50,73.30,0.00,0.00,0.00,0.00,0.00
222.90,131.90,77.30,0.00,0.00,0.00,0.00,0.00
233.80,137.40,76.80,0.00,0.00,0.00,0.00,0.00
224.50,129.20,73.60,0.00,0.00,0.00,0.00,0.00
228.10,133.40,76.30,0.00,0.00,0.00,0.00,0.00
229.80,135.50,75.10,0.00,0.00,0.00,0.00,0.00
236.90,137.40,78.90,0.00,0.00,0.00,0.00,0.00
216.60,128.00,72.10,0.00,0.00,0.00,0.00,0.00
228.60,132.20,74.80,0.00,0.00,0.00,0.00,0.00
238.40,137.90,79.80,0.00,0.00,0.00,0.00,0.00
215.10,126.50,71.20,0.00,0.00,0.00,0.00,0.00
233.30,135.80,76.60,0.00,0.00,0.00,0.00,0.00
228.00,131.00,80.30,0.00,0.00,0.00,0.00,0.00
221.10,126.50,75.70,0.00,0.00,0.00,0.00,0.00
236.30,137.00,77.00,0.00,0.00,0.00,0.00,0.00
246.30,142.10,80.80,0.00,0.00,0.00,0.00,0.00
237.50,137.00,78.80,0.00,0.00,0.00,0.00,0.00
243.70,138.60,79.80,0.00,0.00,0.00,0.00,0.00
235.00,136.10,75.10,0.00,0.00,0.00,0.00,0.00
230.60,174.00,99.40,0.00,0.00,0.00,0.00,0.00
260.20,151.70,83.60,0.00,0.00,0.00,0.00,0.00
