#tp_osd_tp,bstore_aio,bstore_kv_sync,bstore_kv_final,rocksdb:high,rocksdb:low,OpHistorySvc,log,bstore_mempool,safe_timer,admin_socket,ceph_timer,osd_srv_heartbt,ceph-osd,service,ms_dispatch,signal_handler,io_context_pool,fn_anonymous,cfin,ms_local,finisher,osd_srv_agent
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
441.70,40.70,33.40,25.50,5.00,0.00,3.60,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
484.20,44.00,39.10,32.10,2.30,0.00,4.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
490.60,44.50,34.90,31.20,5.00,0.00,3.70,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
494.50,44.70,37.10,30.10,25.20,11.30,3.60,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
492.00,44.40,36.10,32.50,5.30,1.30,4.60,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
493.50,45.50,36.20,31.20,2.70,11.00,3.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
489.10,44.40,34.80,27.20,5.00,0.00,3.60,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
488.80,44.40,35.40,26.50,4.60,0.00,4.30,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
496.90,44.00,34.80,26.80,24.80,14.60,3.30,0.30,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
503.80,44.20,35.90,26.90,2.70,0.00,3.30,0.00,0.70,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
497.30,46.40,35.80,27.20,5.00,0.00,3.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
491.40,46.40,36.40,27.20,3.60,11.60,3.00,0.00,0.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
491.30,45.80,36.20,26.60,3.70,12.60,3.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
476.40,42.70,38.10,26.80,26.20,15.20,3.00,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
481.60,43.00,35.40,27.80,2.60,0.00,3.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
471.20,43.40,35.40,26.80,7.30,0.00,3.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
477.40,44.90,44.20,25.60,2.30,0.00,2.70,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
477.60,43.00,38.40,26.80,5.60,0.00,3.00,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
472.60,42.70,38.10,26.80,23.50,13.20,3.00,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
484.60,42.90,35.50,28.20,5.60,11.30,3.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
488.50,43.40,35.80,27.20,2.60,0.00,3.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
480.20,42.40,33.80,26.20,6.00,0.00,3.00,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
493.50,43.70,35.80,27.50,5.00,0.00,3.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
473.50,43.50,35.20,27.60,25.90,14.60,2.70,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
