#reactor,crimson-osd
546.80,58.80
4540.70,57.30
4540.10,57.60
4539.90,56.00
4533.20,57.30
4540.80,56.30
4534.60,57.60
4541.20,57.30
4532.00,56.30
4542.60,57.30
4537.10,57.60
4540.10,57.60
4536.60,57.00
4542.40,57.00
4539.60,57.00
4524.50,56.80
4540.50,57.30
4536.00,56.60
4536.60,56.60
4540.60,56.60
4541.60,57.90
4533.00,57.00
4537.00,56.60
4534.90,56.30
4538.30,56.60
4538.60,57.00
4526.80,57.10
4535.90,56.30
4539.50,56.30
4538.00,56.30
4904.80,93.80
4673.60,93.10
4691.50,93.00
4689.50,93.70
4677.60,93.00
4689.10,93.70
4685.00,93.00
4685.00,93.40
4686.60,93.40
4673.90,93.40
4691.30,93.40
4688.20,93.00
4679.90,93.40
4689.30,93.40
4686.30,93.40
4685.90,93.00
4671.30,93.40
4668.60,93.00
4684.50,93.70
4684.30,93.40
4673.90,93.40
4686.70,93.00
4669.70,93.10
4681.60,93.40
4683.90,93.40
4680.60,93.40
4684.90,93.40
4690.60,93.40
4669.80,93.10
4690.20,93.40
4963.80,88.20
5096.90,88.10
5096.70,87.70
5083.30,88.10
5097.10,88.40
5098.20,87.70
5098.30,87.70
5099.30,88.10
5083.50,87.50
5096.30,87.10
5089.20,87.40
5077.90,87.10
5099.70,87.70
5101.20,87.40
5081.90,87.80
5097.10,88.10
5102.20,88.10
5096.60,88.40
5081.50,88.10
5094.40,87.70
5094.80,87.70
5101.50,87.40
5080.30,87.80
5098.20,87.10
5102.60,87.70
5081.00,88.40
5100.90,87.70
5094.00,87.70
5093.30,87.70
5077.20,87.10
4969.50,88.20
5176.50,92.70
5173.40,92.10
5175.50,93.00
5144.90,92.10
5172.40,92.70
5175.10,92.40
5175.40,93.00
5171.30,92.40
5165.90,92.70
5175.40,92.70
5154.90,92.10
5174.20,92.70
5175.40,92.70
5170.10,92.70
5172.30,92.70
5171.20,92.40
5147.40,92.40
5176.70,92.70
5167.20,92.40
5174.80,93.00
5156.60,92.10
5175.60,92.40
5170.60,92.70
5174.90,92.70
5174.00,92.70
5172.00,92.40
5157.50,92.70
5172.10,92.40
5172.90,93.00
5092.70,94.10
5263.10,96.70
5263.10,96.40
5250.10,96.40
5233.30,96.00
5257.60,96.70
5257.60,96.70
5244.20,96.40
5259.10,97.00
5257.50,97.00
5259.90,96.70
5243.90,96.40
5256.60,96.40
5245.90,96.70
5256.10,96.40
5261.70,96.70
5237.20,96.70
5258.20,96.70
5254.70,96.70
5241.70,96.00
5262.90,96.70
5242.70,96.70
5258.50,97.00
5244.10,96.40
5260.60,97.00
5245.40,96.70
5251.90,96.00
5254.50,97.00
5241.10,96.40
5260.40,96.70
5063.00,88.20
5264.50,93.40
5267.50,93.40
5266.10,93.00
5248.10,92.70
5267.90,93.40
5267.20,92.70
5265.60,93.40
5259.30,93.00
5270.50,93.00
5254.10,93.10
5261.30,92.70
5269.00,93.40
5265.10,92.70
5250.20,93.40
5267.60,93.00
5259.80,93.00
5262.00,92.70
5272.90,93.00
5264.80,93.40
5249.50,92.70
5263.00,93.00
5265.00,92.70
5269.50,93.40
5270.10,93.00
5247.80,93.10
5263.10,93.00
5267.10,93.40
5269.30,92.70
5246.60,93.10
5180.30,88.20
5255.80,96.70
5268.60,96.40
5240.20,96.40
5268.50,96.70
5264.50,97.00
5258.70,96.40
5248.20,96.40
5267.40,97.00
5249.20,96.70
5265.60,97.00
5263.30,96.40
5245.00,96.40
5269.60,97.00
5259.80,96.70
5246.40,96.40
5264.80,96.70
5260.80,97.00
5248.30,96.40
5262.80,96.70
5244.60,96.40
5263.80,96.70
5257.50,96.70
5243.00,96.70
5256.60,96.40
5266.60,96.70
5239.80,96.70
5267.40,97.00
5246.40,96.40
5260.60,97.00
5074.90,94.10
5216.70,93.00
5245.30,93.00
5243.80,93.40
5242.40,93.40
5244.30,93.40
5242.70,93.40
5231.40,93.10
5242.00,93.40
5245.60,93.70
5239.40,93.40
5247.20,93.00
5241.70,93.40
5225.70,93.10
5244.20,93.40
5240.90,93.40
5243.90,93.00
5240.10,93.40
5240.60,93.00
5240.30,93.40
5229.30,92.70
5242.40,93.70
5238.70,93.70
5249.90,93.00
5234.20,93.40
5223.20,92.70
5244.90,93.40
5237.10,93.40
5241.00,93.00
5238.60,93.70
5045.30,82.40
5198.30,93.40
5245.10,94.00
5231.60,93.40
5237.60,94.00
5237.60,93.70
5234.90,93.40
5214.60,93.10
5230.10,93.40
5232.00,93.70
5218.30,93.10
5228.60,93.40
5235.70,93.40
5229.70,93.40
5215.10,93.40
5232.50,93.40
5230.70,93.70
5210.70,93.10
5228.30,93.40
5233.60,93.70
5211.00,93.10
5234.60,93.40
5233.50,93.70
5212.70,93.10
5232.80,93.40
5232.20,93.40
5211.90,93.40
5229.50,93.40
5233.70,93.40
5218.10,93.40
5074.70,88.20
5204.20,93.40
5234.20,93.70
5231.40,93.40
5228.70,93.40
5208.30,93.10
5231.10,93.00
5226.00,93.40
5225.70,93.70
5227.50,93.40
5215.10,93.10
5225.10,93.40
5221.80,93.00
5229.20,93.40
5228.60,93.00
5222.20,93.40
5206.50,92.70
5231.60,93.00
5227.10,93.70
5225.50,93.00
5207.70,93.10
5232.90,93.40
5230.20,93.40
5232.40,93.00
5226.90,93.40
5212.00,93.40
5221.90,93.70
5226.00,93.70
5225.90,93.00
5208.80,93.10
