#reactor,crimson-osd
3573.90,87.50
3543.30,81.10
3561.90,80.80
3564.30,80.10
3564.90,78.50
3559.40,81.50
3547.20,80.10
3553.80,79.80
3578.10,80.10
3590.70,80.10
3571.80,79.10
3580.00,82.10
3563.80,79.80
3561.50,79.10
3556.30,81.10
3555.60,80.80
3520.90,78.80
3537.80,80.50
3534.70,80.10
3542.00,80.80
3540.20,79.50
3546.80,80.50
3545.90,79.50
3544.10,80.50
3489.30,78.50
3441.00,78.50
3439.40,78.80
3291.60,74.40
3508.10,80.10
3544.70,78.80
4069.50,99.90
3985.10,88.10
3964.00,88.10
3968.20,87.70
3984.80,88.10
3978.20,88.70
3978.50,88.70
3970.80,88.10
3974.00,88.70
3965.70,88.40
3970.90,88.40
3975.60,87.70
3976.60,87.40
3971.40,88.10
3980.70,88.40
3967.20,88.40
3975.30,87.70
3978.00,87.70
3965.00,88.70
3966.60,88.10
3986.20,89.40
3975.50,88.40
3965.50,88.10
3965.70,88.10
3956.90,87.10
3969.30,87.70
3987.10,87.40
3964.00,88.10
3965.90,87.40
3957.10,88.10
4712.50,93.80
4571.10,91.70
4594.60,91.70
4572.50,92.40
4574.90,92.10
4599.90,91.70
4566.30,92.10
4596.10,92.40
4594.80,91.70
4574.50,92.40
4602.00,92.40
4610.90,92.10
4607.90,91.70
4599.10,92.10
4590.80,92.40
4594.30,92.40
4592.50,92.40
4582.10,92.40
4587.40,91.70
4590.90,92.40
4585.20,92.70
4586.90,91.70
4590.70,92.40
4591.60,91.70
4567.90,92.10
4588.80,92.10
4575.60,92.70
4577.30,92.10
4578.60,92.10
4579.20,91.70
4712.00,93.80
4581.60,92.40
4602.30,93.00
4595.90,93.40
4605.10,93.40
4617.80,93.70
4588.90,93.40
4605.10,93.40
4633.90,93.00
4612.00,93.40
4624.90,93.70
4613.20,93.70
4605.40,93.40
4601.90,93.00
4607.60,93.00
4613.70,94.00
4583.40,93.00
4583.80,92.70
4620.40,93.70
4582.20,93.40
4589.20,92.70
4607.60,93.70
4641.00,93.40
4602.60,92.70
4608.90,93.40
4628.10,93.40
4619.10,93.70
4616.70,93.70
4629.50,93.40
4590.80,92.70
4558.20,82.40
4690.50,90.10
4717.50,90.70
4766.60,91.40
4761.80,89.40
4774.80,91.40
4759.60,92.10
4741.60,90.10
4750.20,90.10
4717.80,91.40
4724.20,89.70
4751.30,91.40
4743.00,91.40
4756.70,91.10
4771.20,91.40
4758.90,91.10
4772.80,88.70
4782.30,92.10
4750.80,89.70
4728.40,89.10
4764.60,90.40
4747.90,91.70
4755.60,91.40
4748.00,90.40
4706.20,90.40
4744.80,91.10
4741.80,91.40
4731.70,91.40
4710.50,90.40
4783.40,91.70
4423.10,88.20
4452.10,85.40
4596.20,90.70
4602.40,92.40
4566.30,89.40
4601.40,92.70
4586.20,91.40
4562.80,90.40
4588.20,93.40
4612.90,93.40
4595.20,93.00
4616.20,93.70
4598.70,88.40
4599.80,93.00
4607.30,92.70
4579.40,93.00
4600.90,93.00
4576.20,93.40
4591.70,93.00
4613.50,91.70
4587.20,93.00
4628.60,93.70
4626.10,92.70
4615.60,90.70
4638.90,91.40
4629.00,93.40
4629.80,93.40
4640.50,93.70
4619.00,92.70
4592.00,90.70
4581.70,94.10
4540.80,84.40
4741.30,89.70
4765.60,92.10
4743.50,89.40
4753.80,91.70
4768.20,91.10
4721.80,90.10
4761.40,86.40
4783.00,91.10
4758.00,91.70
4515.00,79.50
4538.00,71.80
4522.30,70.90
4552.00,71.80
4524.80,69.90
4546.20,72.10
4523.50,71.50
4525.80,72.80
4508.20,70.50
4534.20,73.40
4510.60,72.10
4549.80,72.50
4547.80,72.40
4553.80,72.20
4601.70,72.10
4546.10,72.50
4579.00,71.40
4554.70,71.50
4551.90,71.80
4623.10,82.40
1286.40,25.80
25.60,1.70
26.50,1.00
31.90,0.70
24.70,1.30
30.90,1.00
28.50,1.00
27.40,1.30
29.70,1.30
25.10,0.70
31.10,1.30
24.80,1.00
30.20,1.00
31.20,1.30
26.80,0.70
29.20,1.70
26.50,0.30
30.20,1.70
29.30,1.00
22.30,1.00
33.80,1.70
30.20,0.30
30.30,1.00
27.20,1.70
25.90,0.70
32.70,1.30
26.10,1.00
27.30,1.00
33.10,1.70
4768.50,81.20
2674.80,53.60
2194.20,44.50
2203.60,45.20
2192.70,43.90
2212.10,44.20
2064.70,41.90
2197.80,45.30
2207.20,44.20
2236.80,45.50
2206.90,45.20
2207.70,46.50
2122.50,42.00
2172.70,43.20
2227.40,44.90
2181.30,44.20
2197.40,45.20
2207.40,45.70
2085.60,43.20
2210.50,44.90
2209.00,45.50
2213.40,46.80
2195.20,44.30
2200.90,44.50
2044.50,40.90
2195.90,44.50
2210.10,45.50
2182.90,45.50
955.70,18.30
43.60,1.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
