#reactor,crimson-osd
3784.80,45.60
3801.40,45.80
3818.00,46.00
3818.00,46.00
3834.60,46.20
3851.20,46.40
3867.80,46.60
3884.40,46.80
3901.00,47.00
3917.60,47.20
3934.20,47.40
3950.80,47.60
3967.40,47.80
3984.00,48.00
4000.60,48.20
4017.20,48.40
4017.20,48.40
4033.80,48.60
4050.40,48.80
4067.00,49.00
4083.60,49.20
4100.20,49.40
4116.80,49.60
4133.40,49.80
4150.00,50.00
4150.00,50.00
4166.60,50.20
4183.20,50.40
4199.80,50.60
4216.40,50.80
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5162.60,62.20
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
5810.00,70.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
6142.00,74.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
