#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
119.40,65.60,41.00,0.00,0.00,0.00,0.00,0.00
110.20,64.90,36.30,0.00,0.00,0.00,0.00,0.00
113.50,63.80,39.70,0.00,0.00,0.00,0.00,0.00
115.10,65.30,38.30,0.00,0.00,0.00,0.00,0.00
112.90,65.00,39.80,0.00,0.00,0.00,0.00,0.00
115.80,64.30,38.70,0.00,0.00,0.00,0.00,0.00
115.90,68.30,39.20,0.00,0.00,0.00,0.00,0.00
125.50,69.20,44.40,0.00,0.00,0.00,0.00,0.00
145.20,75.70,46.00,0.00,0.00,0.00,0.00,0.00
150.00,75.80,50.40,0.00,0.00,0.00,0.00,0.00
144.80,76.20,47.80,0.00,0.00,0.00,0.00,0.00
143.30,79.80,47.20,0.00,0.00,0.00,0.00,0.00
131.70,74.20,44.40,0.00,0.00,0.00,0.00,0.00
125.70,70.70,44.80,0.00,0.00,0.00,0.00,0.00
155.40,81.30,53.20,0.00,0.00,0.00,0.00,0.00
157.30,89.30,51.30,0.00,0.00,0.00,0.00,0.00
119.50,68.80,44.70,0.00,0.00,0.00,0.00,0.00
120.10,70.80,43.10,0.00,0.00,0.00,0.00,0.00
131.80,76.90,43.90,0.00,0.00,0.00,0.00,0.00
137.50,74.70,47.60,0.00,0.00,0.00,0.00,0.00
101.60,63.10,38.00,0.00,0.00,0.00,0.00,0.00
117.90,71.90,40.40,0.00,0.00,0.00,0.00,0.00
150.10,84.70,52.00,0.00,0.00,0.00,0.00,0.00
152.70,88.90,55.00,0.00,0.00,0.00,0.00,0.00
160.50,94.70,55.60,0.00,0.00,0.00,0.00,0.00
129.80,77.10,44.20,0.00,0.00,0.00,0.00,0.00
72.70,45.10,27.10,0.00,0.00,0.00,0.00,0.00
24.50,12.20,9.10,0.00,0.00,0.00,0.00,0.00
0.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00
43.50,68.20,24.80,0.00,0.00,0.00,0.00,0.00
121.10,66.70,40.40,0.00,0.00,0.00,0.00,0.00
116.10,70.20,39.20,0.00,0.00,0.00,0.00,0.00
115.30,69.50,38.40,0.00,0.00,0.00,0.00,0.00
97.30,59.40,35.50,0.00,0.00,0.00,0.00,0.00
84.50,50.20,30.10,0.00,0.00,0.00,0.00,0.00
47.70,23.20,16.10,0.00,0.00,0.00,0.00,0.00
6.00,3.00,2.60,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.20,0.00,0.70,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
