#reactor,crimson-osd
800.20,93.80
1297.60,92.10
1303.30,92.40
1304.70,93.70
1293.30,85.80
1306.30,87.70
1311.60,85.10
1289.40,92.40
1299.20,95.30
1273.90,90.10
1279.10,86.70
1298.30,91.70
1293.50,84.40
1284.90,93.40
1288.90,89.00
1326.00,90.70
1305.90,90.70
1302.80,83.40
1294.60,94.40
1285.00,93.40
1307.20,94.00
1304.70,91.10
1285.70,92.40
1314.20,86.10
1282.70,88.10
1289.90,91.70
1307.80,88.70
1291.60,91.70
1300.50,86.00
1309.30,92.70
1305.50,93.80
1275.40,91.40
1237.70,87.70
1301.30,82.10
1282.10,87.40
1278.20,88.40
1284.60,89.70
1262.10,74.80
1288.00,72.80
1282.70,81.70
1284.40,77.20
1261.80,93.70
1281.20,85.70
1307.50,86.80
1310.00,86.40
1303.00,90.40
1299.80,92.70
1287.00,76.80
1278.70,80.70
1262.10,75.80
1283.30,77.10
1292.30,84.10
1283.00,90.40
1275.80,77.10
1282.10,78.50
1315.70,80.50
1303.60,89.00
1334.40,86.40
1280.40,84.70
1284.00,78.50
1243.20,75.00
1291.30,88.70
1304.30,89.70
1297.50,87.70
1280.90,86.40
1308.50,89.40
1289.30,81.10
1297.00,77.50
1271.80,83.10
1283.80,89.70
1282.20,89.10
1327.90,84.40
1286.70,92.40
1281.50,77.50
1284.40,87.70
1275.20,75.80
1295.00,88.40
1326.10,81.10
1311.50,80.80
1263.00,82.50
1291.50,85.40
1281.20,90.40
1286.10,72.20
1320.40,84.10
1279.50,84.10
1307.00,83.10
1273.20,85.70
1304.90,79.10
1273.90,88.10
1249.20,95.30
1368.60,87.50
1325.00,90.10
1333.70,96.70
1293.50,89.70
1319.90,96.00
1299.30,88.00
1324.70,89.70
1328.80,86.10
1320.60,92.40
1311.10,95.40
1321.10,89.40
1312.50,91.40
1310.80,82.70
1293.70,93.40
1314.00,91.70
1325.20,86.40
1296.30,81.10
1309.40,89.70
1272.30,88.10
1271.60,87.40
1307.70,85.40
1299.60,86.10
1333.50,92.00
1291.90,87.40
1296.20,88.10
1317.10,90.00
1322.60,94.00
1319.10,95.40
1329.70,91.00
1313.90,95.00
1264.30,94.10
1313.80,86.00
1308.10,85.40
1333.10,87.40
1306.30,78.10
1348.60,80.80
1280.30,92.40
1320.80,87.40
1328.20,92.70
1318.40,89.40
1286.10,87.10
1326.80,87.40
1336.00,90.40
1308.70,78.80
1338.10,81.50
1311.30,89.00
1305.90,93.00
1322.80,77.80
1317.30,89.10
1288.30,85.40
1298.00,89.70
1315.70,71.20
1306.60,91.40
1330.80,85.10
1322.10,88.40
1301.80,91.70
1289.10,92.40
1305.40,93.70
1280.80,93.40
1252.00,74.20
1256.20,93.80
1280.80,88.40
1275.50,84.40
1295.50,83.40
1302.80,90.40
1318.50,86.80
1304.00,89.70
1282.30,90.40
1278.60,94.70
1317.90,85.00
1304.50,94.00
1305.30,88.40
1336.20,88.70
1303.10,82.10
1288.80,87.70
1306.20,91.10
1314.60,94.70
1305.20,85.10
1315.70,87.10
1271.60,90.00
1312.80,91.10
1277.10,84.80
1303.70,86.00
1316.20,85.40
1304.90,81.50
1283.70,93.40
1306.20,96.40
1290.10,90.70
1299.30,95.70
1295.30,79.50
1305.50,88.20
1336.10,91.40
1323.00,78.50
1342.70,88.40
1316.40,96.00
1347.30,90.70
1334.50,95.70
1326.40,93.40
1360.20,95.40
1353.70,91.40
1367.00,87.00
1345.90,90.40
1346.00,87.70
1350.60,86.40
1339.00,94.00
1329.50,92.10
1321.90,86.10
1348.00,90.00
1340.10,88.40
1312.90,92.10
1327.10,87.70
1340.00,90.10
1341.90,94.40
1335.10,93.70
1323.10,93.70
1320.20,95.40
1335.10,88.00
1355.10,88.40
1314.60,93.40
1332.20,91.70
1355.70,99.90
1376.40,91.70
1344.00,84.10
1344.00,94.00
1307.30,91.70
1353.60,88.40
1352.80,81.10
1343.10,88.10
1346.40,77.80
1349.70,83.70
1356.30,90.10
1325.20,93.00
1351.30,79.40
1298.40,83.10
1282.10,76.80
1322.60,86.10
1335.80,88.70
1317.60,70.50
1345.80,92.40
1358.50,91.00
1344.40,88.70
1314.90,88.70
1346.90,82.40
1364.60,87.10
1341.60,94.00
1358.60,84.10
1341.80,76.50
1331.20,91.70
1345.70,89.00
1347.80,89.40
1382.10,94.10
1313.00,93.00
1349.60,90.10
1341.90,92.10
1312.60,93.00
1331.90,91.00
1322.30,85.80
1331.80,94.00
1339.20,93.00
1302.60,93.70
1338.10,93.70
1338.80,94.00
1325.80,93.40
1334.20,93.70
1319.20,93.00
1320.50,87.70
1361.20,91.10
1321.30,93.40
1324.70,92.40
1333.20,90.10
1319.10,92.40
1343.90,92.40
1324.50,91.70
1338.90,91.10
1353.20,94.00
1304.20,94.70
1275.20,94.00
1351.80,94.40
1310.10,95.00
1341.60,94.40
1387.10,93.80
1380.40,91.40
1371.50,90.10
1384.60,95.00
1364.50,89.10
1361.40,86.40
1363.10,89.10
1362.40,83.10
1374.20,83.10
1359.50,81.10
1379.10,74.20
1383.40,81.40
1373.30,84.10
1369.70,84.40
1365.40,82.80
1339.20,78.10
1353.00,88.40
1331.20,80.50
1364.50,76.10
1357.00,92.10
1355.70,84.10
1349.80,87.40
1357.60,87.10
1361.30,78.80
1344.10,79.40
1364.00,73.80
1339.70,88.70
1375.10,77.10
1361.30,82.50
1380.00,60.90
1217.40,94.10
1351.40,93.00
1381.70,92.70
1346.50,91.10
1390.90,91.40
1375.20,92.70
1307.60,91.70
1348.10,93.70
1348.00,95.70
1374.10,93.00
1360.50,90.40
1307.90,94.70
1375.20,91.40
1367.50,93.00
1330.20,90.40
1291.20,92.40
1340.50,90.70
1324.60,92.10
1324.80,89.70
1312.60,93.00
1349.70,92.70
1303.30,95.40
1386.40,90.40
1362.60,95.00
1369.70,96.00
1343.50,95.00
1340.60,94.40
1349.80,94.40
1346.80,94.70
1340.20,91.70
1261.70,99.90
1339.60,92.10
1365.40,93.70
1370.40,94.70
1350.60,85.40
1349.40,90.70
1364.60,90.70
1371.80,88.70
1378.70,93.40
1377.60,94.70
1343.10,86.10
1344.00,92.10
1345.70,92.00
1308.80,96.00
1373.60,92.40
1355.20,85.40
1384.50,94.70
1385.20,95.00
1375.30,71.50
1384.40,86.40
1362.60,86.80
1355.90,89.10
1375.40,80.50
1339.30,85.40
1348.50,96.40
1341.60,90.70
1369.40,94.70
1342.00,93.00
1352.30,91.40
1361.80,95.70
1280.80,81.20
1389.40,95.00
1352.90,96.00
1390.90,94.70
1383.50,92.40
1349.60,90.10
1391.10,95.30
1353.80,89.40
1396.20,95.40
1394.50,95.70
1363.20,93.40
1386.10,91.70
1372.50,91.00
1365.30,84.40
1386.70,93.00
1393.30,93.70
1390.50,95.40
1388.50,96.00
1383.90,96.00
1383.10,94.70
1385.30,94.40
1404.60,93.70
1388.90,94.40
1392.80,91.40
1358.20,92.40
1350.00,93.00
1384.90,93.70
1370.60,91.40
1360.30,94.70
1394.40,91.70
1358.50,88.20
1383.20,88.00
1398.10,92.10
1372.30,94.00
1377.70,89.40
1388.80,92.10
1373.80,95.00
1361.40,92.70
1379.40,95.40
1406.10,91.10
1357.10,94.40
1382.90,94.00
1395.40,84.80
1369.50,85.40
1391.90,84.70
1381.40,96.70
1386.20,87.40
1396.70,90.40
1366.80,95.70
1371.30,92.70
1350.10,90.40
1379.90,91.40
1358.30,96.00
1386.00,95.00
1380.20,94.00
1377.30,92.40
1371.20,93.70
1384.00,96.00
1364.90,87.70
1346.10,95.00
1387.10,93.80
1346.10,95.00
1359.00,82.10
1360.30,91.70
1382.00,90.10
1376.20,92.40
1389.70,95.30
1368.70,93.00
1356.90,91.70
1373.00,93.00
1364.90,94.00
1368.30,84.40
1398.00,90.40
1378.90,91.10
1376.70,90.40
1368.70,95.00
1376.40,92.40
1345.60,89.40
1385.50,91.70
1364.00,90.40
1376.60,87.70
1351.60,94.40
1382.30,95.70
1332.10,94.70
1373.90,95.70
1385.70,94.00
1358.90,96.70
1393.00,88.70
1386.30,93.00
1354.30,95.70
1343.40,99.90
1394.90,94.00
1380.50,94.70
1371.80,89.10
1400.00,95.30
1364.80,96.00
1379.20,93.00
1381.50,94.40
1391.40,95.00
1398.70,92.40
1379.90,92.40
1391.70,94.00
1373.00,86.10
1335.10,95.70
1378.90,92.70
1389.10,94.00
1376.90,93.00
1398.60,94.00
1364.20,93.70
1386.00,96.30
1416.90,95.00
1386.90,96.30
1338.80,95.40
1397.10,94.40
1382.20,93.70
1376.70,92.70
1365.50,96.00
1376.00,95.70
1397.50,95.40
1357.10,87.40
1455.60,93.80
