#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88.30,58.30,31.70,0.00,0.00,0.00,0.00,0.00
92.80,59.50,33.20,0.00,0.00,0.00,0.00,0.00
94.40,58.20,32.90,0.00,0.00,0.00,0.00,0.00
88.40,57.30,31.10,0.00,0.00,0.00,0.00,0.00
89.80,60.30,32.30,0.00,0.00,0.00,0.00,0.00
87.50,58.20,31.90,0.00,0.00,0.00,0.00,0.00
95.50,58.40,33.30,0.00,0.00,0.00,0.00,0.00
97.20,61.10,34.00,0.00,0.00,0.00,0.00,0.00
90.50,55.50,31.00,0.00,0.00,0.00,0.00,0.00
97.50,62.90,34.70,0.00,0.00,0.00,0.00,0.00
97.30,60.40,32.60,0.00,0.00,0.00,0.00,0.00
91.80,57.20,34.10,0.00,0.00,0.00,0.00,0.00
88.80,60.90,31.60,0.00,0.00,0.00,0.00,0.00
85.70,55.50,30.40,0.00,0.00,0.00,0.00,0.00
88.90,60.30,31.80,0.00,0.00,0.00,0.00,0.00
87.60,55.40,32.60,0.00,0.00,0.00,0.00,0.00
80.90,55.70,30.80,0.00,0.00,0.00,0.00,0.00
72.50,49.80,26.00,0.00,0.00,0.00,0.00,0.00
71.50,51.60,27.60,0.00,0.00,0.00,0.00,0.00
70.90,48.90,25.60,0.00,0.00,0.00,0.00,0.00
71.20,49.90,26.80,0.00,0.00,0.00,0.00,0.00
74.00,51.80,29.30,0.00,0.00,0.00,0.00,0.00
68.20,46.70,25.50,0.00,0.00,0.00,0.00,0.00
71.60,52.10,26.80,0.00,0.00,0.00,0.00,0.00
75.30,52.20,27.50,0.00,0.00,0.00,0.00,0.00
78.50,53.40,30.50,0.00,0.00,0.00,0.00,0.00
86.10,56.90,31.60,0.00,0.00,0.00,0.00,0.00
86.20,55.70,30.50,0.00,0.00,0.00,0.00,0.00
87.10,59.70,32.00,0.00,0.00,0.00,0.00,0.00
62.00,49.60,18.60,0.00,0.00,0.00,0.00,0.00
101.20,63.80,33.20,0.00,0.00,0.00,0.00,0.00
93.20,59.00,32.30,0.00,0.00,0.00,0.00,0.00
97.80,63.00,36.00,0.00,0.00,0.00,0.00,0.00
90.00,60.00,32.00,0.00,0.00,0.00,0.00,0.00
91.40,56.70,30.80,0.00,0.00,0.00,0.00,0.00
88.00,58.90,30.80,0.00,0.00,0.00,0.00,0.00
88.10,56.00,33.20,0.00,0.00,0.00,0.00,0.00
90.60,59.90,30.40,0.00,0.00,0.00,0.00,0.00
85.00,56.90,30.00,0.00,0.00,0.00,0.00,0.00
96.70,59.40,33.80,0.00,0.00,0.00,0.00,0.00
110.60,66.40,37.50,0.00,0.00,0.00,0.00,0.00
113.60,68.60,37.70,0.00,0.00,0.00,0.00,0.00
104.00,65.20,37.20,0.00,0.00,0.00,0.00,0.00
92.90,58.50,32.00,0.00,0.00,0.00,0.00,0.00
98.00,62.90,34.10,0.00,0.00,0.00,0.00,0.00
97.60,60.60,33.30,0.00,0.00,0.00,0.00,0.00
94.50,60.60,32.90,0.00,0.00,0.00,0.00,0.00
90.80,61.50,30.80,0.00,0.00,0.00,0.00,0.00
86.50,57.00,31.40,0.00,0.00,0.00,0.00,0.00
101.50,63.10,36.80,0.00,0.00,0.00,0.00,0.00
103.20,62.70,34.80,0.00,0.00,0.00,0.00,0.00
101.80,63.60,33.00,0.00,0.00,0.00,0.00,0.00
100.20,61.50,37.20,0.00,0.00,0.00,0.00,0.00
104.20,64.30,33.80,0.00,0.00,0.00,0.00,0.00
97.60,63.20,33.50,0.00,0.00,0.00,0.00,0.00
81.60,52.80,29.60,0.00,0.00,0.00,0.00,0.00
96.40,64.10,33.30,0.00,0.00,0.00,0.00,0.00
93.50,58.80,33.00,0.00,0.00,0.00,0.00,0.00
96.30,63.20,32.90,0.00,0.00,0.00,0.00,0.00
80.70,18.60,24.80,0.00,0.00,0.00,0.00,0.00
97.60,63.00,33.90,0.00,0.00,0.00,0.00,0.00
85.90,57.30,30.80,0.00,0.00,0.00,0.00,0.00
102.90,63.00,36.50,0.00,0.00,0.00,0.00,0.00
105.00,65.80,35.30,0.00,0.00,0.00,0.00,0.00
101.50,62.10,35.60,0.00,0.00,0.00,0.00,0.00
96.50,61.50,33.80,0.00,0.00,0.00,0.00,0.00
103.90,63.00,34.70,0.00,0.00,0.00,0.00,0.00
104.60,67.30,36.50,0.00,0.00,0.00,0.00,0.00
101.80,62.80,35.40,0.00,0.00,0.00,0.00,0.00
95.80,60.30,34.10,0.00,0.00,0.00,0.00,0.00
96.50,60.40,33.20,0.00,0.00,0.00,0.00,0.00
103.60,63.30,34.40,0.00,0.00,0.00,0.00,0.00
101.10,64.30,35.90,0.00,0.00,0.00,0.00,0.00
94.60,58.90,32.90,0.00,0.00,0.00,0.00,0.00
100.70,66.60,36.20,0.00,0.00,0.00,0.00,0.00
106.20,61.50,34.20,0.00,0.00,0.00,0.00,0.00
98.60,63.40,34.10,0.00,0.00,0.00,0.00,0.00
96.60,57.50,34.20,0.00,0.00,0.00,0.00,0.00
98.10,64.30,33.30,0.00,0.00,0.00,0.00,0.00
100.10,63.10,35.50,0.00,0.00,0.00,0.00,0.00
94.90,61.20,32.20,0.00,0.00,0.00,0.00,0.00
99.70,60.40,35.30,0.00,0.00,0.00,0.00,0.00
99.40,64.30,35.10,0.00,0.00,0.00,0.00,0.00
96.10,60.20,33.20,0.00,0.00,0.00,0.00,0.00
97.20,60.10,33.50,0.00,0.00,0.00,0.00,0.00
99.90,64.70,35.90,0.00,0.00,0.00,0.00,0.00
96.30,62.90,33.80,0.00,0.00,0.00,0.00,0.00
90.40,54.40,31.70,0.00,0.00,0.00,0.00,0.00
91.70,61.20,31.70,0.00,0.00,0.00,0.00,0.00
62.10,74.50,18.60,0.00,0.00,0.00,0.00,0.00
91.70,60.10,38.20,0.00,0.00,0.00,0.00,0.00
94.40,58.70,36.50,0.00,0.00,0.00,0.00,0.00
98.00,63.70,36.70,0.00,0.00,0.00,0.00,0.00
83.00,56.50,33.80,0.00,0.00,0.00,0.00,0.00
90.00,56.50,34.70,0.00,0.00,0.00,0.00,0.00
90.20,57.10,34.70,0.00,0.00,0.00,0.00,0.00
