#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71.50,60.30,25.60,0.00,0.00,0.00,0.00,0.00
70.30,59.90,27.00,0.00,0.00,0.00,0.00,0.00
72.90,57.80,24.80,0.00,0.00,0.00,0.00,0.00
69.70,57.20,25.80,0.00,0.00,0.00,0.00,0.00
71.40,62.40,25.80,0.00,0.00,0.00,0.00,0.00
71.50,58.70,25.60,0.00,0.00,0.00,0.00,0.00
69.20,57.20,25.10,0.00,0.00,0.00,0.00,0.00
72.70,59.20,25.70,0.00,0.00,0.00,0.00,0.00
67.90,58.90,27.10,0.00,0.00,0.00,0.00,0.00
73.20,59.30,25.80,0.00,0.00,0.00,0.00,0.00
70.00,57.20,23.30,0.00,0.00,0.00,0.00,0.00
67.30,59.40,26.50,0.00,0.00,0.00,0.00,0.00
70.60,59.00,25.30,0.00,0.00,0.00,0.00,0.00
70.20,56.90,25.40,0.00,0.00,0.00,0.00,0.00
70.90,58.30,25.70,0.00,0.00,0.00,0.00,0.00
68.60,55.00,24.90,0.00,0.00,0.00,0.00,0.00
70.00,58.90,25.40,0.00,0.00,0.00,0.00,0.00
68.90,58.30,24.80,0.00,0.00,0.00,0.00,0.00
66.70,55.90,23.70,0.00,0.00,0.00,0.00,0.00
68.60,55.90,27.50,0.00,0.00,0.00,0.00,0.00
72.40,60.00,23.90,0.00,0.00,0.00,0.00,0.00
66.70,55.80,24.40,0.00,0.00,0.00,0.00,0.00
70.00,57.30,25.30,0.00,0.00,0.00,0.00,0.00
69.90,58.50,24.90,0.00,0.00,0.00,0.00,0.00
68.80,57.50,26.40,0.00,0.00,0.00,0.00,0.00
68.80,60.00,24.20,0.00,0.00,0.00,0.00,0.00
70.30,55.60,25.90,0.00,0.00,0.00,0.00,0.00
68.80,55.60,24.70,0.00,0.00,0.00,0.00,0.00
68.50,59.00,24.60,0.00,0.00,0.00,0.00,0.00
43.40,24.80,18.60,0.00,0.00,0.00,0.00,0.00
71.90,59.40,24.30,0.00,0.00,0.00,0.00,0.00
65.80,56.40,25.40,0.00,0.00,0.00,0.00,0.00
71.50,58.40,25.70,0.00,0.00,0.00,0.00,0.00
69.70,57.80,24.90,0.00,0.00,0.00,0.00,0.00
71.20,58.10,24.70,0.00,0.00,0.00,0.00,0.00
68.30,60.40,23.50,0.00,0.00,0.00,0.00,0.00
70.60,60.00,25.90,0.00,0.00,0.00,0.00,0.00
70.20,55.30,24.10,0.00,0.00,0.00,0.00,0.00
66.70,56.40,25.70,0.00,0.00,0.00,0.00,0.00
73.00,62.80,24.90,0.00,0.00,0.00,0.00,0.00
67.90,56.10,23.60,0.00,0.00,0.00,0.00,0.00
68.20,58.40,24.20,0.00,0.00,0.00,0.00,0.00
