#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
424.10,285.00,107.40,0.00,0.00,0.00,0.00,0.00
424.60,285.20,108.90,0.00,0.00,0.00,0.00,0.00
422.80,284.70,108.00,0.00,0.00,0.00,0.00,0.00
424.10,284.50,108.60,0.00,0.00,0.00,0.00,0.00
425.30,283.20,109.50,0.00,0.00,0.00,0.00,0.00
424.10,286.60,110.30,0.00,0.00,0.00,0.00,0.00
421.90,283.00,108.70,0.00,0.00,0.00,0.00,0.00
423.50,283.60,108.90,0.00,0.00,0.00,0.00,0.00
423.20,283.70,109.20,0.00,0.00,0.00,0.00,0.00
422.60,282.90,107.10,0.00,0.00,0.00,0.00,0.00
423.90,283.90,108.30,0.00,0.00,0.00,0.00,0.00
423.60,284.50,108.00,0.00,0.00,0.00,0.00,0.00
424.70,285.30,109.20,0.00,0.00,0.00,0.00,0.00
421.90,284.00,110.10,0.00,0.00,0.00,0.00,0.00
423.10,282.30,108.00,0.00,0.00,0.00,0.00,0.00
423.80,285.20,108.30,0.00,0.00,0.00,0.00,0.00
423.20,283.40,108.30,0.00,0.00,0.00,0.00,0.00
424.90,283.80,110.40,0.00,0.00,0.00,0.00,0.00
419.60,283.40,107.50,0.00,0.00,0.00,0.00,0.00
424.90,285.20,108.90,0.00,0.00,0.00,0.00,0.00
422.70,280.80,108.60,0.00,0.00,0.00,0.00,0.00
423.30,285.00,108.90,0.00,0.00,0.00,0.00,0.00
420.90,285.20,108.50,0.00,0.00,0.00,0.00,0.00
423.60,285.00,109.20,0.00,0.00,0.00,0.00,0.00
423.60,282.70,107.40,0.00,0.00,0.00,0.00,0.00
421.60,281.50,108.30,0.00,0.00,0.00,0.00,0.00
424.10,284.60,110.70,0.00,0.00,0.00,0.00,0.00
423.70,284.90,106.00,0.00,0.00,0.00,0.00,0.00
422.80,284.80,111.30,0.00,0.00,0.00,0.00,0.00
499.70,418.90,123.90,0.00,0.00,0.00,0.00,0.00
580.10,419.90,152.80,0.00,0.00,0.00,0.00,0.00
579.70,417.20,152.90,0.00,0.00,0.00,0.00,0.00
578.20,416.40,150.50,0.00,0.00,0.00,0.00,0.00
577.20,420.40,152.80,0.00,0.00,0.00,0.00,0.00
579.60,420.40,151.20,0.00,0.00,0.00,0.00,0.00
578.00,415.80,153.40,0.00,0.00,0.00,0.00,0.00
577.40,419.30,151.60,0.00,0.00,0.00,0.00,0.00
580.50,418.20,152.70,0.00,0.00,0.00,0.00,0.00
576.60,420.70,152.80,0.00,0.00,0.00,0.00,0.00
577.40,416.70,152.00,0.00,0.00,0.00,0.00,0.00
581.00,418.00,152.50,0.00,0.00,0.00,0.00,0.00
579.80,420.50,152.80,0.00,0.00,0.00,0.00,0.00
580.40,418.10,152.40,0.00,0.00,0.00,0.00,0.00
581.50,420.70,153.00,0.00,0.00,0.00,0.00,0.00
580.40,420.70,153.10,0.00,0.00,0.00,0.00,0.00
578.30,420.50,152.00,0.00,0.00,0.00,0.00,0.00
582.90,419.00,154.10,0.00,0.00,0.00,0.00,0.00
578.10,419.00,153.10,0.00,0.00,0.00,0.00,0.00
578.00,415.70,152.70,0.00,0.00,0.00,0.00,0.00
578.50,420.30,153.30,0.00,0.00,0.00,0.00,0.00
580.40,417.70,151.20,0.00,0.00,0.00,0.00,0.00
578.90,418.90,153.00,0.00,0.00,0.00,0.00,0.00
581.30,418.00,150.90,0.00,0.00,0.00,0.00,0.00
581.40,417.20,156.00,0.00,0.00,0.00,0.00,0.00
580.60,423.90,152.00,0.00,0.00,0.00,0.00,0.00
580.90,418.40,152.90,0.00,0.00,0.00,0.00,0.00
579.50,421.30,152.20,0.00,0.00,0.00,0.00,0.00
581.80,418.00,152.80,0.00,0.00,0.00,0.00,0.00
577.10,417.10,152.50,0.00,0.00,0.00,0.00,0.00
837.20,636.20,249.20,0.00,0.00,0.00,0.00,0.00
794.30,629.90,213.60,0.00,0.00,0.00,0.00,0.00
791.20,629.30,216.30,0.00,0.00,0.00,0.00,0.00
794.20,628.70,215.90,0.00,0.00,0.00,0.00,0.00
792.60,628.80,216.50,0.00,0.00,0.00,0.00,0.00
794.10,626.40,216.40,0.00,0.00,0.00,0.00,0.00
796.50,634.00,218.20,0.00,0.00,0.00,0.00,0.00
795.90,633.20,217.10,0.00,0.00,0.00,0.00,0.00
791.70,630.20,218.20,0.00,0.00,0.00,0.00,0.00
795.60,631.10,216.70,0.00,0.00,0.00,0.00,0.00
793.80,630.80,218.70,0.00,0.00,0.00,0.00,0.00
796.70,632.00,215.90,0.00,0.00,0.00,0.00,0.00
798.50,636.70,219.30,0.00,0.00,0.00,0.00,0.00
796.10,632.30,218.20,0.00,0.00,0.00,0.00,0.00
797.10,633.50,216.70,0.00,0.00,0.00,0.00,0.00
797.30,633.30,218.90,0.00,0.00,0.00,0.00,0.00
798.70,635.00,216.20,0.00,0.00,0.00,0.00,0.00
796.50,633.10,217.20,0.00,0.00,0.00,0.00,0.00
801.30,634.90,219.30,0.00,0.00,0.00,0.00,0.00
801.50,636.90,218.90,0.00,0.00,0.00,0.00,0.00
799.80,637.60,218.40,0.00,0.00,0.00,0.00,0.00
801.40,636.30,219.00,0.00,0.00,0.00,0.00,0.00
803.00,638.00,219.30,0.00,0.00,0.00,0.00,0.00
803.40,638.00,220.40,0.00,0.00,0.00,0.00,0.00
803.70,640.40,219.80,0.00,0.00,0.00,0.00,0.00
801.10,640.20,220.70,0.00,0.00,0.00,0.00,0.00
807.20,644.50,220.80,0.00,0.00,0.00,0.00,0.00
805.10,635.70,220.10,0.00,0.00,0.00,0.00,0.00
801.80,641.50,220.50,0.00,0.00,0.00,0.00,0.00
803.20,642.20,219.00,0.00,0.00,0.00,0.00,0.00
774.90,655.60,161.70,0.00,0.00,0.00,0.00,0.00
725.60,636.30,201.50,0.00,0.00,0.00,0.00,0.00
728.30,638.10,203.30,0.00,0.00,0.00,0.00,0.00
728.60,635.20,201.70,0.00,0.00,0.00,0.00,0.00
724.80,634.20,203.50,0.00,0.00,0.00,0.00,0.00
725.40,633.70,201.10,0.00,0.00,0.00,0.00,0.00
728.60,638.10,201.30,0.00,0.00,0.00,0.00,0.00
728.40,636.10,201.50,0.00,0.00,0.00,0.00,0.00
724.90,633.90,203.60,0.00,0.00,0.00,0.00,0.00
730.20,637.50,202.20,0.00,0.00,0.00,0.00,0.00
726.70,637.40,202.60,0.00,0.00,0.00,0.00,0.00
728.00,636.80,203.30,0.00,0.00,0.00,0.00,0.00
727.90,636.40,203.70,0.00,0.00,0.00,0.00,0.00
729.30,637.10,200.00,0.00,0.00,0.00,0.00,0.00
724.50,632.20,202.00,0.00,0.00,0.00,0.00,0.00
729.90,636.90,203.00,0.00,0.00,0.00,0.00,0.00
726.80,640.60,202.30,0.00,0.00,0.00,0.00,0.00
730.00,636.90,204.40,0.00,0.00,0.00,0.00,0.00
725.40,635.10,201.20,0.00,0.00,0.00,0.00,0.00
723.50,632.80,201.60,0.00,0.00,0.00,0.00,0.00
727.60,636.60,201.40,0.00,0.00,0.00,0.00,0.00
727.60,634.90,202.90,0.00,0.00,0.00,0.00,0.00
726.90,636.70,202.30,0.00,0.00,0.00,0.00,0.00
