#reactor,crimson-osd
893.40,56.20
3012.40,28.50
3080.50,33.80
2978.90,33.80
3025.90,36.80
2989.40,30.80
3009.20,27.80
2935.70,35.80
3009.60,35.80
3078.60,36.80
3131.30,32.10
3226.80,27.50
3335.50,30.50
3167.30,29.50
3165.60,35.10
3092.20,34.80
3143.10,36.40
3071.40,34.60
3214.70,38.70
3206.40,34.40
3171.20,34.10
3045.50,48.70
2998.40,39.40
3088.30,42.10
3029.30,38.40
3068.50,38.70
3067.90,30.80
3032.20,42.70
3006.80,35.80
3067.00,27.20
2570.40,47.10
2611.00,73.50
2607.20,71.20
2572.40,70.90
2693.70,78.50
2783.90,66.90
2625.30,61.90
2589.90,72.50
2612.70,66.90
2696.00,65.10
2689.20,73.20
2601.60,68.50
2771.50,75.80
2794.70,71.50
2712.30,64.60
2647.00,76.50
2764.20,75.20
2792.90,62.90
2530.40,73.50
2570.10,62.60
2664.70,62.60
2680.00,70.90
2703.80,61.90
2740.00,72.80
2616.20,64.60
2807.80,71.20
2648.60,71.20
2570.40,64.20
2667.90,68.20
2651.60,71.90
2793.10,99.90
2894.00,38.40
2873.90,36.40
2940.50,35.10
2927.00,27.80
2972.60,42.40
2932.40,43.60
2918.50,28.10
2898.00,53.00
2837.00,33.60
2799.00,49.30
2873.50,30.10
3033.00,36.40
2921.00,46.00
2883.80,48.00
2774.60,38.10
2931.70,38.60
2726.60,24.60
2860.80,33.00
3026.50,36.40
2915.30,41.10
2928.00,24.50
2891.30,27.80
2724.20,38.70
2807.10,41.50
2734.40,43.70
2843.90,49.30
2774.40,41.70
2761.90,40.10
2707.80,35.10
3167.90,93.80
2797.80,71.90
2852.10,53.60
2924.90,56.00
2849.60,66.20
2891.70,55.50
2773.30,63.60
2814.10,63.90
2799.30,67.20
2945.10,60.90
2729.40,62.60
2796.00,57.60
2842.50,60.30
2898.70,63.90
2817.60,65.60
2892.20,62.60
2839.40,55.30
2933.80,69.90
2889.50,52.60
2696.00,53.30
2774.30,51.00
2778.50,58.60
2793.00,64.90
2761.20,58.30
2788.80,66.20
2788.50,71.50
2808.10,54.30
2868.10,48.70
2842.00,52.60
2859.30,67.90
3182.60,94.10
3245.60,54.60
3151.60,48.30
3247.50,31.80
3324.90,35.40
3220.00,45.00
3088.60,42.10
3129.20,57.30
3301.60,58.90
3220.90,33.80
3157.70,28.10
3056.70,41.10
3042.30,42.70
3067.20,55.60
3109.20,44.00
3255.00,41.40
3204.10,65.20
3074.70,18.20
3124.00,64.20
3212.80,30.10
3133.30,27.20
3153.70,33.10
3230.50,53.00
3132.90,28.50
3189.40,34.40
3086.90,47.00
3211.00,44.40
3101.10,50.00
3154.30,44.00
3208.90,69.90
3442.00,50.00
2856.60,71.90
2840.80,77.80
3103.50,65.60
2973.40,57.00
3004.00,60.30
3197.00,61.90
3058.40,74.20
2994.70,49.30
3047.80,79.10
2925.90,69.20
3103.10,53.00
3084.10,65.20
3137.00,65.90
3046.40,61.30
2985.10,63.20
2943.20,58.60
3019.40,66.90
2942.40,68.90
3106.50,66.20
3042.80,74.20
3114.20,61.90
3053.20,57.60
2993.80,54.00
3010.10,71.50
2945.20,52.60
3038.50,56.00
2960.50,58.30
3026.80,71.30
3041.40,80.10
3236.30,87.50
3203.60,69.90
3109.60,79.10
3172.00,53.60
3039.20,50.00
3115.20,65.60
3156.20,72.20
3109.10,50.30
3206.60,64.90
3094.80,69.20
3120.20,68.20
3068.90,49.00
3264.40,68.20
3158.00,68.20
3061.40,60.90
3225.30,65.60
3264.00,60.90
3048.90,69.90
3126.80,66.60
3136.00,52.30
3205.40,71.90
3281.70,53.00
3141.50,61.30
3027.00,62.60
3068.30,62.60
2988.50,49.00
2996.60,51.00
3115.90,52.60
3118.00,67.50
3188.70,71.20
2964.50,64.70
3178.80,67.90
3190.10,63.90
3160.70,76.20
3235.50,71.90
3155.10,61.90
3172.20,56.30
3228.50,65.90
3296.20,70.50
3318.30,65.60
3168.50,67.50
3264.40,74.20
3209.40,60.60
3304.00,67.90
3236.50,72.20
3314.60,49.30
3261.90,58.60
3210.00,57.30
3186.00,78.80
3295.90,65.20
3160.00,73.20
3325.20,49.70
3192.80,68.50
3220.90,65.90
3207.40,67.20
3370.90,65.20
3222.50,60.60
3271.50,56.30
3176.10,68.20
3185.30,60.90
3773.50,56.20
3420.40,73.50
3342.00,69.90
3554.80,63.90
3594.70,78.10
3596.10,67.50
3622.90,78.50
3461.40,73.50
3418.50,63.90
3367.10,75.80
3430.60,66.90
3425.40,74.20
3374.10,78.10
3455.50,58.60
3483.40,71.30
3486.20,63.50
3492.30,61.60
3453.60,60.90
3439.40,70.50
3416.10,66.20
3510.60,70.90
3502.40,71.50
3416.70,63.90
3408.00,78.80
3496.90,75.20
3474.40,55.10
3459.60,78.10
3481.60,64.20
3503.60,71.50
3401.10,79.80
3064.70,52.90
3233.70,52.00
3219.00,69.90
3199.90,69.90
3238.50,77.80
3371.30,67.20
3342.10,61.90
3315.60,81.10
3123.00,58.30
3304.80,60.30
3327.50,71.90
3271.60,62.30
3398.60,75.80
3328.90,74.80
3329.80,69.20
3244.50,54.60
3339.40,74.80
3301.80,68.50
3312.50,62.90
3290.40,64.90
3342.60,69.90
3258.50,71.90
3324.40,63.20
3216.50,60.60
3302.00,63.90
3135.40,63.60
3148.40,73.50
3272.90,79.10
3346.00,78.10
3370.40,59.60
3573.80,87.50
3672.90,68.50
3724.40,74.50
3702.20,72.80
3694.30,76.50
3750.50,83.50
3823.70,75.20
3673.70,75.50
3601.90,69.50
3791.10,74.50
3726.10,83.80
3690.70,78.50
3690.30,61.90
3727.40,76.80
3662.40,63.60
3610.10,68.50
3732.60,79.50
3585.50,71.90
3590.60,80.80
3632.00,73.80
3663.60,69.90
3705.80,63.20
3514.50,76.50
3631.10,72.80
3729.20,81.80
3746.40,78.10
3591.00,76.80
3539.60,76.20
3712.00,67.50
3714.90,86.40
3611.80,68.80
3530.70,60.40
3567.70,77.50
3551.10,69.90
3538.30,79.80
3555.50,70.20
3658.80,72.20
3569.20,77.50
3672.00,78.10
3578.80,60.60
3580.10,81.10
3515.10,74.50
3554.70,66.20
3576.90,73.80
3486.50,71.50
3451.40,63.90
3569.90,68.50
3364.50,78.10
3528.10,77.20
3536.20,72.80
3385.90,75.80
3515.90,74.80
3474.00,68.90
3547.60,78.80
3468.70,77.20
3493.80,71.20
3688.10,75.20
3521.80,84.80
3575.90,66.20
3571.30,64.60
3487.50,52.90
3580.50,78.50
3493.40,66.60
3563.50,68.90
3775.80,67.90
3629.70,78.80
3734.40,75.50
3575.90,81.50
3689.90,71.20
3511.10,68.50
3592.10,73.20
3545.30,63.90
3501.80,76.80
3383.00,65.60
3552.60,74.80
3673.70,57.90
3604.70,64.60
3705.10,66.60
3569.60,66.90
3696.60,77.80
3705.40,59.90
3575.60,72.20
3587.80,69.90
3558.90,80.80
3404.10,57.60
3710.90,77.80
3326.80,70.20
3642.80,60.60
3638.80,72.80
3672.10,79.10
3910.70,99.90
3662.20,78.80
3815.50,75.20
3650.10,75.20
3740.10,79.10
3725.20,73.50
3534.30,69.90
3646.10,87.70
3771.80,74.20
3921.30,77.80
3856.80,78.80
3758.20,56.60
3792.80,84.80
3750.70,59.30
3830.60,68.90
3686.80,88.70
3632.40,76.50
3759.60,72.20
3746.00,81.10
3736.60,69.90
3617.20,58.30
3753.70,60.90
3595.80,72.20
3558.50,77.50
3708.00,80.50
3686.10,70.50
3551.00,72.50
3679.70,81.80
3648.50,72.80
3513.70,75.20
4335.20,99.90
3757.00,72.80
3706.90,79.10
3539.30,71.20
3644.50,75.50
3669.00,74.50
3788.60,77.50
3768.10,74.80
3734.50,69.50
3722.20,77.50
3960.00,66.20
3723.40,84.10
3737.30,76.50
3752.10,83.80
3802.60,68.90
3683.60,75.20
3699.70,78.10
3726.10,68.90
3767.60,79.80
3741.20,65.20
3756.70,79.80
3747.30,76.80
3718.50,62.60
3776.40,83.40
3691.00,66.60
3818.10,55.00
3857.50,82.50
3764.70,69.20
3725.20,74.50
3728.50,58.60
3292.40,99.90
3589.10,80.50
3500.60,79.50
3610.10,59.60
3698.20,63.60
3709.50,81.10
3682.10,81.80
3810.20,59.90
3747.30,77.20
3581.80,84.80
3565.90,73.20
3706.40,66.20
3576.10,84.40
3628.80,78.50
3584.40,68.20
3481.30,72.20
3383.60,66.20
3473.60,83.10
3369.90,74.80
3526.40,76.70
3423.80,69.20
3406.40,70.90
3511.90,57.60
3444.40,76.50
