#reactor,crimson-osd
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
352.80,88.20
660.50,94.00
657.30,93.40
660.30,94.00
657.30,93.40
658.30,93.70
660.90,93.70
657.50,93.70
660.70,93.70
657.10,93.70
658.50,93.70
659.50,93.70
658.10,93.70
660.50,93.70
658.80,93.40
657.60,93.70
659.90,93.70
658.90,93.40
657.50,93.70
660.20,94.00
657.80,93.70
660.60,93.70
658.90,93.70
657.20,93.70
660.90,93.70
657.80,93.70
660.50,94.00
657.20,93.40
658.40,93.70
660.60,93.70
668.80,93.80
656.50,93.40
654.30,93.40
653.80,93.40
655.30,93.40
654.60,93.40
655.00,93.00
655.90,93.40
654.10,93.40
656.90,93.40
653.60,93.40
654.20,93.00
655.90,93.40
654.70,93.40
656.60,93.40
653.60,93.40
653.20,93.40
656.50,93.40
654.50,93.40
656.20,93.00
652.80,93.70
654.60,92.70
655.90,94.00
653.60,93.00
656.50,93.40
653.80,93.00
655.00,93.40
656.30,93.40
653.60,93.40
656.20,93.40
674.90,93.80
657.50,94.00
655.00,93.40
654.60,93.40
658.30,93.70
654.00,93.40
657.00,93.70
654.90,93.00
655.20,93.70
656.80,93.70
654.60,93.40
656.80,93.70
654.90,93.40
654.60,93.40
657.10,93.40
655.60,93.40
656.50,93.70
654.90,93.40
654.50,93.40
657.50,93.70
653.90,93.00
657.80,93.70
653.90,93.40
655.10,93.40
656.60,93.70
654.50,93.40
657.10,93.70
654.20,93.40
655.60,93.40
656.70,93.70
635.10,88.20
661.20,93.70
659.20,94.00
661.20,94.00
658.50,94.00
658.90,94.00
661.20,94.00
658.30,93.70
660.70,94.40
658.80,93.70
659.60,94.00
660.00,94.00
659.30,93.70
660.60,94.40
659.50,93.70
658.40,94.00
660.80,94.00
659.20,94.00
661.10,94.00
658.60,93.70
659.30,93.70
660.20,94.00
658.90,94.00
661.10,94.40
658.90,93.40
658.30,94.00
661.20,94.00
658.60,94.00
661.50,94.00
658.90,93.70
662.70,93.80
662.70,94.70
660.80,94.40
663.80,94.40
660.80,94.00
663.50,94.70
660.50,94.40
662.80,94.70
660.40,94.00
663.50,94.70
660.20,94.00
663.80,94.70
661.20,94.00
662.40,94.40
660.90,94.70
663.20,94.40
663.50,94.40
661.20,94.40
662.50,94.40
661.80,94.40
663.10,94.40
660.90,94.40
662.80,94.40
661.20,94.40
663.10,94.40
660.90,94.40
663.20,94.70
660.50,93.70
663.50,94.70
661.20,94.00
674.90,93.80
662.20,94.40
665.00,94.70
662.80,94.40
664.20,94.70
661.90,94.40
662.90,94.40
664.30,95.00
662.90,94.00
662.20,94.70
664.40,94.70
663.10,94.40
664.70,94.70
661.80,94.40
662.90,94.40
664.70,94.70
662.90,94.70
664.10,94.40
662.50,94.70
662.00,94.40
665.20,94.40
662.30,94.70
664.70,94.70
663.20,94.40
662.20,94.40
664.50,94.40
662.20,94.70
662.60,94.40
665.40,94.40
662.00,94.40
668.80,93.80
665.20,94.70
662.60,94.40
664.50,94.70
662.60,94.00
664.50,94.70
661.40,94.40
664.80,94.40
662.60,94.70
664.10,94.70
664.80,94.40
662.50,94.40
663.40,94.70
661.50,94.00
665.00,94.70
661.20,94.00
665.00,94.70
662.60,94.40
665.10,94.40
661.50,94.40
664.80,94.40
661.90,94.40
663.50,94.40
663.20,94.40
664.50,94.70
663.20,94.40
663.40,94.40
662.80,94.40
664.90,94.70
661.50,94.00
662.70,93.80
664.40,94.00
663.20,94.70
665.00,94.70
662.80,94.40
666.10,94.70
662.90,94.40
663.20,94.40
665.80,95.00
662.50,94.40
665.40,94.70
663.20,94.00
662.60,94.40
665.80,94.70
662.50,94.40
666.10,94.70
663.20,94.00
663.20,94.40
665.70,95.00
662.60,94.00
665.40,94.70
662.10,94.40
662.90,94.40
665.40,94.70
663.90,94.40
665.40,94.70
662.90,94.00
664.00,94.40
664.70,94.70
662.90,94.40
650.30,87.50
662.80,94.00
664.50,94.70
662.50,93.70
664.00,94.70
664.80,94.40
661.70,94.00
663.80,94.40
661.20,94.00
665.50,94.40
663.10,94.70
662.10,93.70
664.80,94.40
661.50,94.00
664.80,94.40
664.90,94.40
662.10,94.00
664.10,94.40
662.20,94.00
664.80,94.40
665.40,94.40
661.90,94.00
664.80,94.00
662.50,94.40
664.30,94.00
663.80,94.70
661.20,93.70
663.70,94.40
662.80,94.00
664.10,94.40
656.60,93.80
663.90,94.00
665.50,94.70
663.20,94.00
665.70,94.40
662.90,94.00
663.80,94.40
665.80,94.40
662.50,94.00
665.70,94.70
663.60,94.00
663.50,94.00
665.10,94.70
663.80,94.00
665.50,94.40
662.90,94.00
662.90,94.00
666.50,94.70
663.10,94.00
664.80,94.40
664.30,94.00
662.90,93.70
666.30,94.70
663.30,94.00
665.20,94.40
663.10,94.40
662.50,94.00
666.40,94.40
663.10,94.00
665.70,94.40
641.00,94.10
665.20,94.70
662.90,94.00
665.20,94.70
663.20,94.40
663.20,94.40
665.20,94.40
663.50,94.40
664.80,94.70
662.90,94.40
662.10,94.00
664.80,94.40
662.20,94.40
665.70,94.40
662.50,94.00
662.10,94.00
664.20,94.70
663.70,94.00
664.70,94.40
662.60,94.40
662.90,94.40
665.10,94.40
663.60,94.00
664.20,94.70
662.80,94.00
662.60,94.40
666.10,94.40
662.60,94.00
664.70,94.40
662.90,94.40
656.40,93.80
664.80,94.70
662.30,93.70
665.10,94.70
662.30,94.00
664.40,94.70
661.20,93.70
664.50,94.40
668.60,95.00
668.60,95.30
670.30,95.00
669.00,95.00
669.30,95.00
669.00,95.30
669.70,95.00
669.10,95.00
669.00,95.30
670.10,95.00
668.70,95.00
670.60,95.30
669.70,95.30
671.60,95.30
669.60,95.00
668.00,95.30
670.20,95.00
671.40,95.30
670.30,95.00
669.70,95.30
669.60,95.00
669.00,95.30
674.90,93.80
664.70,94.40
666.20,94.70
665.20,94.40
664.30,94.40
666.20,94.70
664.60,94.40
666.50,94.70
664.70,94.40
664.70,94.70
665.60,94.40
664.70,94.00
666.70,95.00
664.00,94.00
665.00,94.00
666.20,95.00
664.60,94.40
666.80,94.40
663.50,94.00
665.30,94.40
666.50,94.70
664.10,94.40
664.30,94.40
667.10,95.00
664.60,94.40
667.10,94.70
664.20,94.40
663.30,94.00
667.80,94.70
663.60,94.40
662.50,99.90
661.60,93.70
663.40,94.40
660.60,94.00
664.20,94.00
663.80,94.70
659.60,94.00
664.00,94.00
661.30,94.00
662.80,94.40
662.80,94.40
660.90,93.70
663.20,94.40
661.90,94.00
662.70,94.00
664.50,94.40
661.30,94.00
663.10,94.40
660.90,93.70
663.80,94.40
664.10,94.40
662.00,94.00
663.50,94.00
661.30,94.40
663.50,94.00
664.50,94.40
661.00,94.00
664.80,94.70
662.30,93.70
664.10,94.40
