#reactor,crimson-osd
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
98.80,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
114.40,10.40
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
116.60,10.60
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
118.80,10.80
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
121.00,11.00
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
123.20,11.20
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
160.60,14.60
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
162.80,14.80
