#reactor,crimson-osd
662.50,99.90
660.60,94.70
660.60,95.30
659.90,95.00
658.60,94.40
659.00,94.70
656.20,94.00
656.40,94.00
656.20,94.40
658.80,94.40
654.60,94.70
655.70,94.40
657.60,94.00
657.50,94.00
658.40,94.40
657.60,94.70
657.40,94.70
658.10,94.40
654.90,94.40
660.70,94.70
656.90,94.00
658.40,94.40
657.80,94.40
658.60,94.70
657.20,94.00
655.90,93.70
658.30,94.70
656.10,94.40
658.00,94.70
656.20,93.70
674.90,99.90
650.90,93.70
663.20,94.70
658.60,93.70
654.60,93.70
659.60,94.40
658.90,95.40
662.30,94.70
656.20,93.70
657.80,95.00
659.70,94.40
657.20,94.70
660.50,95.00
664.10,95.00
668.40,95.30
659.90,94.00
666.70,95.70
666.90,95.40
666.70,95.00
668.10,95.30
660.30,95.00
663.30,94.00
661.80,94.40
663.10,94.70
662.50,95.70
662.80,94.70
666.40,94.70
660.40,95.40
656.20,93.70
660.90,94.00
681.00,99.90
667.50,95.00
671.60,96.00
664.80,95.40
673.40,96.00
665.70,95.00
667.50,95.30
670.50,95.40
670.40,96.00
666.30,95.00
668.40,95.40
669.30,96.00
661.20,94.40
670.10,96.00
674.90,96.00
670.80,96.00
674.00,96.00
671.00,95.70
670.90,96.00
668.80,95.70
669.50,95.40
671.60,95.70
668.20,95.40
668.90,95.70
668.60,95.40
672.90,96.00
664.30,95.00
667.30,95.00
672.20,95.70
663.80,95.00
668.80,93.80
677.10,96.70
673.60,96.00
674.80,96.00
672.70,95.70
673.10,96.00
673.20,95.30
667.90,95.40
671.40,95.40
675.50,96.70
672.50,95.70
676.30,96.00
673.10,96.00
671.90,95.40
674.40,96.00
674.50,96.00
678.80,96.70
673.50,96.00
676.30,96.40
676.20,96.30
675.10,96.00
678.70,96.70
673.50,96.00
676.50,96.40
676.10,96.30
675.80,96.40
676.70,96.30
675.60,96.40
677.20,96.30
672.90,96.00
681.00,99.90
675.90,96.30
672.80,96.40
674.20,96.00
677.60,96.00
672.40,96.40
675.00,96.30
670.70,95.70
677.10,96.40
673.60,96.00
674.80,96.00
675.20,96.40
674.60,96.70
674.50,95.70
676.80,96.70
675.10,96.00
672.80,95.70
676.60,96.70
673.10,96.00
675.20,96.30
673.40,96.00
673.20,96.00
676.10,96.70
673.90,96.00
677.30,96.70
671.10,95.40
671.30,96.00
