#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86.00,63.10,19.00,0.00,0.00,0.00,0.00,0.00
90.00,58.90,18.20,0.00,0.00,0.00,0.00,0.00
85.10,65.50,19.00,0.00,0.00,0.00,0.00,0.00
88.20,60.10,18.90,0.00,0.00,0.00,0.00,0.00
87.80,61.80,19.70,0.00,0.00,0.00,0.00,0.00
85.40,59.90,17.70,0.00,0.00,0.00,0.00,0.00
87.70,61.00,19.90,0.00,0.00,0.00,0.00,0.00
84.40,63.90,19.20,0.00,0.00,0.00,0.00,0.00
86.20,58.80,18.30,0.00,0.00,0.00,0.00,0.00
88.60,62.10,19.00,0.00,0.00,0.00,0.00,0.00
87.90,62.40,21.30,0.00,0.00,0.00,0.00,0.00
87.80,58.90,17.00,0.00,0.00,0.00,0.00,0.00
87.10,64.00,20.20,0.00,0.00,0.00,0.00,0.00
84.90,59.70,18.20,0.00,0.00,0.00,0.00,0.00
90.00,61.50,20.60,0.00,0.00,0.00,0.00,0.00
86.70,61.80,18.80,0.00,0.00,0.00,0.00,0.00
89.40,63.80,19.40,0.00,0.00,0.00,0.00,0.00
85.10,60.90,18.40,0.00,0.00,0.00,0.00,0.00
86.80,60.50,18.90,0.00,0.00,0.00,0.00,0.00
90.00,62.40,20.30,0.00,0.00,0.00,0.00,0.00
87.50,62.60,17.80,0.00,0.00,0.00,0.00,0.00
91.50,61.40,19.70,0.00,0.00,0.00,0.00,0.00
91.70,63.80,20.60,0.00,0.00,0.00,0.00,0.00
85.60,59.30,17.60,0.00,0.00,0.00,0.00,0.00
86.20,62.60,18.50,0.00,0.00,0.00,0.00,0.00
87.10,61.50,21.10,0.00,0.00,0.00,0.00,0.00
90.40,63.10,17.00,0.00,0.00,0.00,0.00,0.00
89.10,62.60,21.20,0.00,0.00,0.00,0.00,0.00
89.10,62.40,18.70,0.00,0.00,0.00,0.00,0.00
55.90,68.30,6.20,0.00,0.00,0.00,0.00,0.00
91.40,60.60,19.80,0.00,0.00,0.00,0.00,0.00
85.90,62.40,17.80,0.00,0.00,0.00,0.00,0.00
88.20,63.00,21.00,0.00,0.00,0.00,0.00,0.00
84.60,60.40,16.80,0.00,0.00,0.00,0.00,0.00
87.10,64.40,18.20,0.00,0.00,0.00,0.00,0.00
86.70,60.60,19.20,0.00,0.00,0.00,0.00,0.00
88.20,63.90,18.60,0.00,0.00,0.00,0.00,0.00
85.70,60.40,18.80,0.00,0.00,0.00,0.00,0.00
86.50,61.80,18.00,0.00,0.00,0.00,0.00,0.00
87.60,61.50,19.70,0.00,0.00,0.00,0.00,0.00
83.30,59.00,17.60,0.00,0.00,0.00,0.00,0.00
85.20,60.00,18.30,0.00,0.00,0.00,0.00,0.00
89.50,65.90,19.50,0.00,0.00,0.00,0.00,0.00
89.30,59.90,19.90,0.00,0.00,0.00,0.00,0.00
87.10,62.00,16.80,0.00,0.00,0.00,0.00,0.00
82.50,60.70,19.70,0.00,0.00,0.00,0.00,0.00
93.20,64.60,19.70,0.00,0.00,0.00,0.00,0.00
83.70,58.80,18.20,0.00,0.00,0.00,0.00,0.00
84.90,60.80,16.90,0.00,0.00,0.00,0.00,0.00
89.90,64.00,18.60,0.00,0.00,0.00,0.00,0.00
81.60,58.10,19.40,0.00,0.00,0.00,0.00,0.00
85.10,60.30,17.90,0.00,0.00,0.00,0.00,0.00
86.40,62.20,18.20,0.00,0.00,0.00,0.00,0.00
86.60,62.60,18.20,0.00,0.00,0.00,0.00,0.00
92.40,62.50,19.20,0.00,0.00,0.00,0.00,0.00
86.50,62.90,19.30,0.00,0.00,0.00,0.00,0.00
89.70,63.90,20.50,0.00,0.00,0.00,0.00,0.00
83.50,60.50,18.50,0.00,0.00,0.00,0.00,0.00
86.10,59.60,18.20,0.00,0.00,0.00,0.00,0.00
93.00,55.90,0.00,0.00,0.00,0.00,0.00,0.00
85.00,60.30,18.80,0.00,0.00,0.00,0.00,0.00
83.90,57.80,19.40,0.00,0.00,0.00,0.00,0.00
85.50,59.30,17.40,0.00,0.00,0.00,0.00,0.00
85.50,61.00,17.80,0.00,0.00,0.00,0.00,0.00
85.50,59.70,20.70,0.00,0.00,0.00,0.00,0.00
86.10,60.00,16.90,0.00,0.00,0.00,0.00,0.00
85.80,61.30,18.50,0.00,0.00,0.00,0.00,0.00
89.80,61.40,17.80,0.00,0.00,0.00,0.00,0.00
84.60,62.50,19.90,0.00,0.00,0.00,0.00,0.00
89.70,59.50,19.70,0.00,0.00,0.00,0.00,0.00
83.60,60.40,18.30,0.00,0.00,0.00,0.00,0.00
82.40,59.00,16.40,0.00,0.00,0.00,0.00,0.00
88.90,59.80,20.00,0.00,0.00,0.00,0.00,0.00
86.50,59.50,18.50,0.00,0.00,0.00,0.00,0.00
84.80,62.50,20.00,0.00,0.00,0.00,0.00,0.00
90.80,60.60,18.50,0.00,0.00,0.00,0.00,0.00
89.30,63.60,18.20,0.00,0.00,0.00,0.00,0.00
83.60,58.90,17.10,0.00,0.00,0.00,0.00,0.00
89.60,62.10,21.90,0.00,0.00,0.00,0.00,0.00
84.80,60.50,17.30,0.00,0.00,0.00,0.00,0.00
83.90,57.40,17.10,0.00,0.00,0.00,0.00,0.00
85.60,63.20,20.30,0.00,0.00,0.00,0.00,0.00
87.10,57.90,17.20,0.00,0.00,0.00,0.00,0.00
86.70,60.40,19.90,0.00,0.00,0.00,0.00,0.00
87.40,62.40,19.20,0.00,0.00,0.00,0.00,0.00
83.90,61.70,17.10,0.00,0.00,0.00,0.00,0.00
87.20,59.10,20.00,0.00,0.00,0.00,0.00,0.00
84.50,58.90,18.40,0.00,0.00,0.00,0.00,0.00
87.90,61.70,18.60,0.00,0.00,0.00,0.00,0.00
99.50,43.40,6.20,0.00,0.00,0.00,0.00,0.00
84.00,57.70,20.00,0.00,0.00,0.00,0.00,0.00
84.00,61.70,17.60,0.00,0.00,0.00,0.00,0.00
86.30,59.10,17.90,0.00,0.00,0.00,0.00,0.00
87.80,61.80,19.30,0.00,0.00,0.00,0.00,0.00
83.30,58.80,16.00,0.00,0.00,0.00,0.00,0.00
84.60,62.60,19.90,0.00,0.00,0.00,0.00,0.00
89.40,60.80,18.20,0.00,0.00,0.00,0.00,0.00
86.90,61.50,18.60,0.00,0.00,0.00,0.00,0.00
85.80,59.30,17.50,0.00,0.00,0.00,0.00,0.00
91.10,62.40,20.80,0.00,0.00,0.00,0.00,0.00
83.30,60.40,18.00,0.00,0.00,0.00,0.00,0.00
90.20,63.80,19.00,0.00,0.00,0.00,0.00,0.00
86.20,59.10,17.00,0.00,0.00,0.00,0.00,0.00
86.10,61.90,18.20,0.00,0.00,0.00,0.00,0.00
86.60,60.10,20.70,0.00,0.00,0.00,0.00,0.00
84.90,62.20,18.90,0.00,0.00,0.00,0.00,0.00
89.40,61.30,17.80,0.00,0.00,0.00,0.00,0.00
88.10,57.50,19.70,0.00,0.00,0.00,0.00,0.00
87.70,63.70,19.20,0.00,0.00,0.00,0.00,0.00
88.80,63.90,18.10,0.00,0.00,0.00,0.00,0.00
84.60,58.60,18.70,0.00,0.00,0.00,0.00,0.00
85.20,58.80,17.70,0.00,0.00,0.00,0.00,0.00
87.40,59.70,19.10,0.00,0.00,0.00,0.00,0.00
85.50,61.40,17.40,0.00,0.00,0.00,0.00,0.00
88.30,60.30,20.00,0.00,0.00,0.00,0.00,0.00
86.80,63.80,16.40,0.00,0.00,0.00,0.00,0.00
88.70,60.20,21.00,0.00,0.00,0.00,0.00,0.00
84.30,60.50,18.90,0.00,0.00,0.00,0.00,0.00
83.60,59.60,16.20,0.00,0.00,0.00,0.00,0.00
62.10,80.70,6.20,0.00,0.00,0.00,0.00,0.00
84.30,55.80,18.30,0.00,0.00,0.00,0.00,0.00
82.50,61.30,19.20,0.00,0.00,0.00,0.00,0.00
92.20,63.80,17.50,0.00,0.00,0.00,0.00,0.00
87.40,59.70,18.60,0.00,0.00,0.00,0.00,0.00
85.90,60.40,18.80,0.00,0.00,0.00,0.00,0.00
83.60,61.30,17.30,0.00,0.00,0.00,0.00,0.00
84.10,58.60,17.90,0.00,0.00,0.00,0.00,0.00
83.10,59.50,17.90,0.00,0.00,0.00,0.00,0.00
85.30,57.10,17.40,0.00,0.00,0.00,0.00,0.00
86.20,61.80,17.90,0.00,0.00,0.00,0.00,0.00
86.80,59.50,20.70,0.00,0.00,0.00,0.00,0.00
89.00,62.80,18.70,0.00,0.00,0.00,0.00,0.00
85.30,59.70,16.20,0.00,0.00,0.00,0.00,0.00
84.40,57.30,19.30,0.00,0.00,0.00,0.00,0.00
87.50,60.60,18.90,0.00,0.00,0.00,0.00,0.00
85.20,62.70,19.80,0.00,0.00,0.00,0.00,0.00
88.40,58.90,17.50,0.00,0.00,0.00,0.00,0.00
86.00,61.40,17.80,0.00,0.00,0.00,0.00,0.00
85.80,61.00,15.50,0.00,0.00,0.00,0.00,0.00
89.50,62.20,20.00,0.00,0.00,0.00,0.00,0.00
86.80,59.80,19.80,0.00,0.00,0.00,0.00,0.00
86.30,59.70,19.40,0.00,0.00,0.00,0.00,0.00
81.70,61.00,18.80,0.00,0.00,0.00,0.00,0.00
86.40,58.50,16.90,0.00,0.00,0.00,0.00,0.00
87.10,64.20,17.50,0.00,0.00,0.00,0.00,0.00
85.70,60.50,19.50,0.00,0.00,0.00,0.00,0.00
87.00,60.50,19.00,0.00,0.00,0.00,0.00,0.00
86.70,61.70,19.00,0.00,0.00,0.00,0.00,0.00
86.20,61.50,19.20,0.00,0.00,0.00,0.00,0.00
62.00,49.60,12.40,0.00,0.00,0.00,0.00,0.00
89.10,63.70,17.40,0.00,0.00,0.00,0.00,0.00
