#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.00,27.20,6.90,0.00,0.00,0.00,0.00,0.00
16.70,26.70,7.00,0.00,0.00,0.00,0.00,0.00
17.60,27.60,6.30,0.00,0.00,0.00,0.00,0.00
17.00,26.70,7.30,0.00,0.00,0.00,0.00,0.00
17.30,27.90,7.30,0.00,0.00,0.00,0.00,0.00
17.70,27.00,6.70,0.00,0.00,0.00,0.00,0.00
17.60,27.20,6.90,0.00,0.00,0.00,0.00,0.00
17.40,27.30,7.30,0.00,0.00,0.00,0.00,0.00
16.90,27.20,6.30,0.00,0.00,0.00,0.00,0.00
17.40,27.70,7.70,0.00,0.00,0.00,0.00,0.00
16.70,27.00,7.00,0.00,0.00,0.00,0.00,0.00
17.20,26.90,6.60,0.00,0.00,0.00,0.00,0.00
20.30,25.90,6.90,0.00,0.00,0.00,0.00,0.00
19.70,26.30,6.30,0.00,0.00,0.00,0.00,0.00
19.00,26.30,8.30,0.00,0.00,0.00,0.00,0.00
21.30,24.60,8.30,0.00,0.00,0.00,0.00,0.00
20.30,25.30,8.30,0.00,0.00,0.00,0.00,0.00
19.00,25.90,8.90,0.00,0.00,0.00,0.00,0.00
17.40,26.00,8.60,0.00,0.00,0.00,0.00,0.00
16.60,26.90,8.30,0.00,0.00,0.00,0.00,0.00
16.70,26.30,8.30,0.00,0.00,0.00,0.00,0.00
17.30,26.60,8.60,0.00,0.00,0.00,0.00,0.00
17.00,26.70,8.00,0.00,0.00,0.00,0.00,0.00
16.90,26.60,8.30,0.00,0.00,0.00,0.00,0.00
17.00,27.30,8.60,0.00,0.00,0.00,0.00,0.00
16.90,26.20,9.60,0.00,0.00,0.00,0.00,0.00
17.30,27.00,8.30,0.00,0.00,0.00,0.00,0.00
16.60,26.90,8.30,0.00,0.00,0.00,0.00,0.00
17.60,26.00,8.60,0.00,0.00,0.00,0.00,0.00
13.40,33.30,6.70,0.00,0.00,0.00,0.00,0.00
31.30,40.00,14.00,0.00,0.00,0.00,0.00,0.00
28.90,39.90,11.90,0.00,0.00,0.00,0.00,0.00
28.30,40.30,11.00,0.00,0.00,0.00,0.00,0.00
28.30,39.90,10.90,0.00,0.00,0.00,0.00,0.00
28.60,40.30,13.00,0.00,0.00,0.00,0.00,0.00
29.00,39.50,11.30,0.00,0.00,0.00,0.00,0.00
28.30,40.30,10.70,0.00,0.00,0.00,0.00,0.00
29.60,40.20,10.90,0.00,0.00,0.00,0.00,0.00
28.00,40.00,10.60,0.00,0.00,0.00,0.00,0.00
28.60,40.20,11.30,0.00,0.00,0.00,0.00,0.00
29.00,40.00,11.60,0.00,0.00,0.00,0.00,0.00
29.30,40.30,11.00,0.00,0.00,0.00,0.00,0.00
28.60,40.20,11.60,0.00,0.00,0.00,0.00,0.00
28.30,40.30,11.40,0.00,0.00,0.00,0.00,0.00
28.90,40.50,11.30,0.00,0.00,0.00,0.00,0.00
28.30,40.00,10.30,0.00,0.00,0.00,0.00,0.00
28.30,40.20,10.90,0.00,0.00,0.00,0.00,0.00
28.60,40.70,10.70,0.00,0.00,0.00,0.00,0.00
28.00,39.90,11.30,0.00,0.00,0.00,0.00,0.00
29.00,41.00,10.70,0.00,0.00,0.00,0.00,0.00
28.30,39.50,11.20,0.00,0.00,0.00,0.00,0.00
28.60,40.70,11.00,0.00,0.00,0.00,0.00,0.00
28.60,40.20,10.60,0.00,0.00,0.00,0.00,0.00
28.30,40.00,10.60,0.00,0.00,0.00,0.00,0.00
29.00,40.70,11.00,0.00,0.00,0.00,0.00,0.00
27.90,39.90,11.00,0.00,0.00,0.00,0.00,0.00
29.00,41.00,11.00,0.00,0.00,0.00,0.00,0.00
28.00,40.20,10.90,0.00,0.00,0.00,0.00,0.00
28.30,39.70,12.00,0.00,0.00,0.00,0.00,0.00
26.60,40.00,13.30,0.00,0.00,0.00,0.00,0.00
39.70,47.00,14.30,0.00,0.00,0.00,0.00,0.00
38.90,45.80,14.60,0.00,0.00,0.00,0.00,0.00
39.70,47.00,14.60,0.00,0.00,0.00,0.00,0.00
39.20,45.80,14.00,0.00,0.00,0.00,0.00,0.00
40.00,47.00,14.60,0.00,0.00,0.00,0.00,0.00
39.20,46.80,14.30,0.00,0.00,0.00,0.00,0.00
39.00,46.30,14.00,0.00,0.00,0.00,0.00,0.00
39.50,46.80,15.60,0.00,0.00,0.00,0.00,0.00
39.40,46.00,13.70,0.00,0.00,0.00,0.00,0.00
39.20,46.80,14.60,0.00,0.00,0.00,0.00,0.00
39.70,46.70,14.30,0.00,0.00,0.00,0.00,0.00
38.90,46.50,14.60,0.00,0.00,0.00,0.00,0.00
39.70,47.00,15.30,0.00,0.00,0.00,0.00,0.00
39.00,46.30,14.00,0.00,0.00,0.00,0.00,0.00
39.50,46.50,14.00,0.00,0.00,0.00,0.00,0.00
39.00,46.70,14.00,0.00,0.00,0.00,0.00,0.00
38.90,45.80,14.60,0.00,0.00,0.00,0.00,0.00
40.00,47.30,14.30,0.00,0.00,0.00,0.00,0.00
38.90,45.80,15.30,0.00,0.00,0.00,0.00,0.00
39.40,47.00,15.00,0.00,0.00,0.00,0.00,0.00
38.90,46.20,14.30,0.00,0.00,0.00,0.00,0.00
39.30,47.00,14.60,0.00,0.00,0.00,0.00,0.00
39.50,46.20,14.30,0.00,0.00,0.00,0.00,0.00
39.40,46.70,14.30,0.00,0.00,0.00,0.00,0.00
39.50,46.50,14.90,0.00,0.00,0.00,0.00,0.00
39.00,47.00,14.00,0.00,0.00,0.00,0.00,0.00
40.30,47.00,14.30,0.00,0.00,0.00,0.00,0.00
39.20,46.80,14.30,0.00,0.00,0.00,0.00,0.00
39.40,46.30,14.00,0.00,0.00,0.00,0.00,0.00
33.30,33.30,13.30,0.00,0.00,0.00,0.00,0.00
48.20,47.50,18.20,0.00,0.00,0.00,0.00,0.00
48.00,46.70,16.30,0.00,0.00,0.00,0.00,0.00
47.20,47.20,16.90,0.00,0.00,0.00,0.00,0.00
48.00,46.70,17.60,0.00,0.00,0.00,0.00,0.00
48.60,47.50,17.60,0.00,0.00,0.00,0.00,0.00
47.00,46.70,18.60,0.00,0.00,0.00,0.00,0.00
47.50,46.50,16.30,0.00,0.00,0.00,0.00,0.00
48.60,48.00,17.30,0.00,0.00,0.00,0.00,0.00
47.80,46.50,16.60,0.00,0.00,0.00,0.00,0.00
48.00,48.00,16.60,0.00,0.00,0.00,0.00,0.00
47.80,46.80,16.90,0.00,0.00,0.00,0.00,0.00
47.70,47.00,16.60,0.00,0.00,0.00,0.00,0.00
47.70,47.30,16.60,0.00,0.00,0.00,0.00,0.00
47.80,46.80,16.30,0.00,0.00,0.00,0.00,0.00
48.30,47.70,19.00,0.00,0.00,0.00,0.00,0.00
47.90,46.50,16.90,0.00,0.00,0.00,0.00,0.00
47.70,47.30,16.70,0.00,0.00,0.00,0.00,0.00
