#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.00,28.00,6.60,0.00,0.00,0.00,0.00,0.00
16.30,27.90,6.30,0.00,0.00,0.00,0.00,0.00
16.60,28.00,7.00,0.00,0.00,0.00,0.00,0.00
16.60,27.90,7.30,0.00,0.00,0.00,0.00,0.00
17.00,28.00,7.00,0.00,0.00,0.00,0.00,0.00
16.70,28.30,7.00,0.00,0.00,0.00,0.00,0.00
17.30,28.20,7.30,0.00,0.00,0.00,0.00,0.00
16.60,28.20,6.90,0.00,0.00,0.00,0.00,0.00
16.70,28.30,6.60,0.00,0.00,0.00,0.00,0.00
17.30,28.20,6.60,0.00,0.00,0.00,0.00,0.00
16.30,28.00,6.70,0.00,0.00,0.00,0.00,0.00
16.90,27.90,6.90,0.00,0.00,0.00,0.00,0.00
17.00,28.30,7.30,0.00,0.00,0.00,0.00,0.00
16.70,28.30,7.00,0.00,0.00,0.00,0.00,0.00
16.90,28.60,6.60,0.00,0.00,0.00,0.00,0.00
16.70,28.30,7.30,0.00,0.00,0.00,0.00,0.00
17.30,27.90,7.30,0.00,0.00,0.00,0.00,0.00
17.00,28.00,6.70,0.00,0.00,0.00,0.00,0.00
17.30,27.60,7.30,0.00,0.00,0.00,0.00,0.00
16.70,28.30,7.30,0.00,0.00,0.00,0.00,0.00
17.30,28.20,6.00,0.00,0.00,0.00,0.00,0.00
17.00,28.30,7.00,0.00,0.00,0.00,0.00,0.00
16.90,28.20,6.90,0.00,0.00,0.00,0.00,0.00
17.00,28.30,6.60,0.00,0.00,0.00,0.00,0.00
16.90,28.60,6.60,0.00,0.00,0.00,0.00,0.00
17.30,28.30,6.60,0.00,0.00,0.00,0.00,0.00
16.60,28.90,6.90,0.00,0.00,0.00,0.00,0.00
17.00,27.00,7.60,0.00,0.00,0.00,0.00,0.00
17.30,26.20,7.90,0.00,0.00,0.00,0.00,0.00
25.00,25.00,18.70,0.00,0.00,0.00,0.00,0.00
29.00,39.30,11.00,0.00,0.00,0.00,0.00,0.00
28.30,39.00,10.30,0.00,0.00,0.00,0.00,0.00
28.00,39.20,10.90,0.00,0.00,0.00,0.00,0.00
28.00,38.70,10.70,0.00,0.00,0.00,0.00,0.00
28.00,38.90,11.30,0.00,0.00,0.00,0.00,0.00
28.00,39.00,10.60,0.00,0.00,0.00,0.00,0.00
28.60,38.50,10.90,0.00,0.00,0.00,0.00,0.00
28.30,39.30,11.00,0.00,0.00,0.00,0.00,0.00
27.60,38.90,10.30,0.00,0.00,0.00,0.00,0.00
28.70,39.30,11.30,0.00,0.00,0.00,0.00,0.00
28.00,38.90,10.30,0.00,0.00,0.00,0.00,0.00
28.30,38.30,11.00,0.00,0.00,0.00,0.00,0.00
27.70,39.00,11.60,0.00,0.00,0.00,0.00,0.00
28.30,38.50,10.60,0.00,0.00,0.00,0.00,0.00
28.60,39.70,11.30,0.00,0.00,0.00,0.00,0.00
28.30,39.20,10.30,0.00,0.00,0.00,0.00,0.00
27.40,38.30,11.00,0.00,0.00,0.00,0.00,0.00
28.90,39.20,10.90,0.00,0.00,0.00,0.00,0.00
27.70,39.00,11.00,0.00,0.00,0.00,0.00,0.00
28.60,39.20,10.60,0.00,0.00,0.00,0.00,0.00
28.00,39.30,11.00,0.00,0.00,0.00,0.00,0.00
28.60,38.90,10.30,0.00,0.00,0.00,0.00,0.00
27.70,39.00,11.70,0.00,0.00,0.00,0.00,0.00
27.60,38.90,10.60,0.00,0.00,0.00,0.00,0.00
28.70,39.30,10.70,0.00,0.00,0.00,0.00,0.00
28.00,38.70,10.90,0.00,0.00,0.00,0.00,0.00
28.00,39.50,10.60,0.00,0.00,0.00,0.00,0.00
28.30,39.00,10.60,0.00,0.00,0.00,0.00,0.00
28.30,38.50,10.30,0.00,0.00,0.00,0.00,0.00
26.60,26.70,13.30,0.00,0.00,0.00,0.00,0.00
38.60,45.30,14.00,0.00,0.00,0.00,0.00,0.00
37.50,44.20,13.30,0.00,0.00,0.00,0.00,0.00
38.30,45.00,14.60,0.00,0.00,0.00,0.00,0.00
38.20,44.90,14.00,0.00,0.00,0.00,0.00,0.00
38.00,45.00,14.00,0.00,0.00,0.00,0.00,0.00
37.80,44.20,13.30,0.00,0.00,0.00,0.00,0.00
38.00,44.70,13.60,0.00,0.00,0.00,0.00,0.00
37.80,44.90,14.30,0.00,0.00,0.00,0.00,0.00
37.70,44.00,14.00,0.00,0.00,0.00,0.00,0.00
38.60,45.20,14.30,0.00,0.00,0.00,0.00,0.00
38.30,44.70,13.30,0.00,0.00,0.00,0.00,0.00
38.00,44.70,13.60,0.00,0.00,0.00,0.00,0.00
38.60,44.90,13.90,0.00,0.00,0.00,0.00,0.00
37.40,45.00,13.30,0.00,0.00,0.00,0.00,0.00
38.60,44.90,13.60,0.00,0.00,0.00,0.00,0.00
37.70,44.70,14.00,0.00,0.00,0.00,0.00,0.00
38.20,44.50,13.30,0.00,0.00,0.00,0.00,0.00
38.00,45.00,13.60,0.00,0.00,0.00,0.00,0.00
38.20,44.50,13.90,0.00,0.00,0.00,0.00,0.00
38.30,45.30,13.70,0.00,0.00,0.00,0.00,0.00
37.20,43.50,14.90,0.00,0.00,0.00,0.00,0.00
38.60,45.00,13.70,0.00,0.00,0.00,0.00,0.00
37.50,44.20,13.60,0.00,0.00,0.00,0.00,0.00
38.00,44.30,14.00,0.00,0.00,0.00,0.00,0.00
38.90,45.20,13.30,0.00,0.00,0.00,0.00,0.00
37.70,44.30,13.30,0.00,0.00,0.00,0.00,0.00
38.60,45.70,14.00,0.00,0.00,0.00,0.00,0.00
38.20,44.50,13.30,0.00,0.00,0.00,0.00,0.00
38.00,45.00,14.00,0.00,0.00,0.00,0.00,0.00
33.30,26.70,13.30,0.00,0.00,0.00,0.00,0.00
46.90,46.50,16.20,0.00,0.00,0.00,0.00,0.00
45.70,45.70,16.00,0.00,0.00,0.00,0.00,0.00
47.20,46.50,16.90,0.00,0.00,0.00,0.00,0.00
46.00,46.00,15.70,0.00,0.00,0.00,0.00,0.00
46.90,46.20,16.20,0.00,0.00,0.00,0.00,0.00
45.40,45.30,16.30,0.00,0.00,0.00,0.00,0.00
46.60,45.20,16.60,0.00,0.00,0.00,0.00,0.00
46.00,46.30,16.00,0.00,0.00,0.00,0.00,0.00
46.20,46.20,16.20,0.00,0.00,0.00,0.00,0.00
47.40,46.30,16.00,0.00,0.00,0.00,0.00,0.00
46.60,45.70,16.40,0.00,0.00,0.00,0.00,0.00
45.50,45.50,15.90,0.00,0.00,0.00,0.00,0.00
47.40,47.00,16.60,0.00,0.00,0.00,0.00,0.00
45.80,45.80,15.30,0.00,0.00,0.00,0.00,0.00
46.60,46.00,16.60,0.00,0.00,0.00,0.00,0.00
45.50,45.20,17.60,0.00,0.00,0.00,0.00,0.00
46.60,46.00,16.30,0.00,0.00,0.00,0.00,0.00
46.90,46.20,15.90,0.00,0.00,0.00,0.00,0.00
45.70,45.70,16.00,0.00,0.00,0.00,0.00,0.00
46.90,46.50,16.20,0.00,0.00,0.00,0.00,0.00
46.70,45.70,16.30,0.00,0.00,0.00,0.00,0.00
46.60,46.20,15.60,0.00,0.00,0.00,0.00,0.00
46.30,46.00,16.30,0.00,0.00,0.00,0.00,0.00
46.50,46.20,16.20,0.00,0.00,0.00,0.00,0.00
47.00,46.00,16.00,0.00,0.00,0.00,0.00,0.00
45.80,45.50,16.20,0.00,0.00,0.00,0.00,0.00
47.00,46.70,16.00,0.00,0.00,0.00,0.00,0.00
46.30,46.00,15.70,0.00,0.00,0.00,0.00,0.00
47.20,46.50,17.00,0.00,0.00,0.00,0.00,0.00
33.30,33.30,6.70,0.00,0.00,0.00,0.00,0.00
53.50,48.50,20.00,0.00,0.00,0.00,0.00,0.00
54.30,49.30,19.00,0.00,0.00,0.00,0.00,0.00
52.30,51.30,22.00,0.00,0.00,0.00,0.00,0.00
53.50,48.50,18.90,0.00,0.00,0.00,0.00,0.00
54.00,48.70,19.70,0.00,0.00,0.00,0.00,0.00
53.50,48.20,18.90,0.00,0.00,0.00,0.00,0.00
53.00,48.70,19.30,0.00,0.00,0.00,0.00,0.00
54.00,48.70,19.30,0.00,0.00,0.00,0.00,0.00
53.20,48.20,18.60,0.00,0.00,0.00,0.00,0.00
54.60,49.70,20.00,0.00,0.00,0.00,0.00,0.00
53.10,48.20,18.60,0.00,0.00,0.00,0.00,0.00
53.70,48.70,19.00,0.00,0.00,0.00,0.00,0.00
53.40,48.70,20.00,0.00,0.00,0.00,0.00,0.00
53.50,48.50,19.60,0.00,0.00,0.00,0.00,0.00
54.30,48.70,19.00,0.00,0.00,0.00,0.00,0.00
53.50,48.50,18.90,0.00,0.00,0.00,0.00,0.00
53.70,48.70,18.70,0.00,0.00,0.00,0.00,0.00
54.00,49.00,19.60,0.00,0.00,0.00,0.00,0.00
52.80,48.20,19.20,0.00,0.00,0.00,0.00,0.00
54.60,49.00,19.60,0.00,0.00,0.00,0.00,0.00
53.20,48.20,18.30,0.00,0.00,0.00,0.00,0.00
55.00,49.70,19.30,0.00,0.00,0.00,0.00,0.00
54.30,49.30,19.30,0.00,0.00,0.00,0.00,0.00
53.50,48.20,18.60,0.00,0.00,0.00,0.00,0.00
54.60,49.30,19.30,0.00,0.00,0.00,0.00,0.00
53.20,47.80,18.90,0.00,0.00,0.00,0.00,0.00
54.60,49.70,19.30,0.00,0.00,0.00,0.00,0.00
53.40,48.00,18.60,0.00,0.00,0.00,0.00,0.00
52.80,47.20,19.90,0.00,0.00,0.00,0.00,0.00
40.00,26.70,13.30,0.00,0.00,0.00,0.00,0.00
62.80,49.80,19.60,0.00,0.00,0.00,0.00,0.00
57.70,48.70,19.00,0.00,0.00,0.00,0.00,0.00
56.80,49.50,19.90,0.00,0.00,0.00,0.00,0.00
56.00,48.30,20.60,0.00,0.00,0.00,0.00,0.00
57.20,49.50,20.20,0.00,0.00,0.00,0.00,0.00
56.60,49.00,19.60,0.00,0.00,0.00,0.00,0.00
56.80,49.20,19.60,0.00,0.00,0.00,0.00,0.00
57.40,49.70,20.30,0.00,0.00,0.00,0.00,0.00
58.00,49.70,19.60,0.00,0.00,0.00,0.00,0.00
56.10,48.80,19.60,0.00,0.00,0.00,0.00,0.00
56.60,49.00,19.90,0.00,0.00,0.00,0.00,0.00
55.50,47.50,21.20,0.00,0.00,0.00,0.00,0.00
57.40,49.70,20.00,0.00,0.00,0.00,0.00,0.00
56.40,48.50,19.60,0.00,0.00,0.00,0.00,0.00
57.70,50.00,19.70,0.00,0.00,0.00,0.00,0.00
61.80,48.80,19.60,0.00,0.00,0.00,0.00,0.00
60.00,49.70,19.60,0.00,0.00,0.00,0.00,0.00
56.80,49.80,19.60,0.00,0.00,0.00,0.00,0.00
57.00,49.00,19.70,0.00,0.00,0.00,0.00,0.00
56.80,48.80,20.20,0.00,0.00,0.00,0.00,0.00
56.60,49.00,19.30,0.00,0.00,0.00,0.00,0.00
57.50,49.80,20.60,0.00,0.00,0.00,0.00,0.00
56.60,48.30,19.00,0.00,0.00,0.00,0.00,0.00
56.80,49.20,20.20,0.00,0.00,0.00,0.00,0.00
57.70,49.70,20.00,0.00,0.00,0.00,0.00,0.00
55.70,48.30,20.70,0.00,0.00,0.00,0.00,0.00
57.20,49.80,20.20,0.00,0.00,0.00,0.00,0.00
56.80,49.20,19.30,0.00,0.00,0.00,0.00,0.00
56.60,48.70,20.40,0.00,0.00,0.00,0.00,0.00
33.30,33.30,13.30,0.00,0.00,0.00,0.00,0.00
60.80,51.20,21.60,0.00,0.00,0.00,0.00,0.00
60.00,50.30,21.30,0.00,0.00,0.00,0.00,0.00
59.20,49.80,20.60,0.00,0.00,0.00,0.00,0.00
59.40,50.30,22.30,0.00,0.00,0.00,0.00,0.00
61.00,51.00,21.00,0.00,0.00,0.00,0.00,0.00
59.50,49.80,21.60,0.00,0.00,0.00,0.00,0.00
59.70,50.30,21.00,0.00,0.00,0.00,0.00,0.00
60.80,50.80,21.60,0.00,0.00,0.00,0.00,0.00
59.70,50.30,21.30,0.00,0.00,0.00,0.00,0.00
59.20,49.80,22.60,0.00,0.00,0.00,0.00,0.00
60.00,50.70,21.00,0.00,0.00,0.00,0.00,0.00
59.10,49.80,20.90,0.00,0.00,0.00,0.00,0.00
61.00,51.00,21.60,0.00,0.00,0.00,0.00,0.00
59.80,50.20,20.60,0.00,0.00,0.00,0.00,0.00
60.30,50.30,21.70,0.00,0.00,0.00,0.00,0.00
59.50,49.80,20.60,0.00,0.00,0.00,0.00,0.00
60.30,50.70,21.60,0.00,0.00,0.00,0.00,0.00
60.40,51.20,21.30,0.00,0.00,0.00,0.00,0.00
59.70,50.30,21.70,0.00,0.00,0.00,0.00,0.00
61.20,51.20,21.60,0.00,0.00,0.00,0.00,0.00
59.70,50.70,20.70,0.00,0.00,0.00,0.00,0.00
60.60,50.30,21.30,0.00,0.00,0.00,0.00,0.00
58.80,49.50,22.60,0.00,0.00,0.00,0.00,0.00
58.60,49.70,21.00,0.00,0.00,0.00,0.00,0.00
61.20,51.20,21.60,0.00,0.00,0.00,0.00,0.00
58.60,49.70,20.60,0.00,0.00,0.00,0.00,0.00
60.40,50.50,21.30,0.00,0.00,0.00,0.00,0.00
59.40,50.70,21.30,0.00,0.00,0.00,0.00,0.00
59.80,50.20,20.60,0.00,0.00,0.00,0.00,0.00
46.70,40.00,20.00,0.00,0.00,0.00,0.00,0.00
59.40,48.70,20.60,0.00,0.00,0.00,0.00,0.00
59.50,48.50,20.60,0.00,0.00,0.00,0.00,0.00
57.70,48.00,20.00,0.00,0.00,0.00,0.00,0.00
56.50,45.80,20.60,0.00,0.00,0.00,0.00,0.00
59.40,48.30,20.30,0.00,0.00,0.00,0.00,0.00
59.20,48.50,20.60,0.00,0.00,0.00,0.00,0.00
58.30,48.30,20.30,0.00,0.00,0.00,0.00,0.00
58.80,47.80,20.30,0.00,0.00,0.00,0.00,0.00
58.00,47.30,20.70,0.00,0.00,0.00,0.00,0.00
60.10,49.50,20.60,0.00,0.00,0.00,0.00,0.00
57.00,46.70,22.00,0.00,0.00,0.00,0.00,0.00
59.40,48.30,20.00,0.00,0.00,0.00,0.00,0.00
59.50,48.80,20.90,0.00,0.00,0.00,0.00,0.00
58.60,48.30,20.60,0.00,0.00,0.00,0.00,0.00
59.20,48.20,20.90,0.00,0.00,0.00,0.00,0.00
59.00,48.30,20.30,0.00,0.00,0.00,0.00,0.00
58.80,47.80,20.60,0.00,0.00,0.00,0.00,0.00
58.00,47.70,20.00,0.00,0.00,0.00,0.00,0.00
58.10,47.80,20.50,0.00,0.00,0.00,0.00,0.00
59.00,49.00,20.60,0.00,0.00,0.00,0.00,0.00
58.50,47.80,20.60,0.00,0.00,0.00,0.00,0.00
58.30,48.30,20.60,0.00,0.00,0.00,0.00,0.00
57.50,47.20,19.30,0.00,0.00,0.00,0.00,0.00
57.40,46.70,21.30,0.00,0.00,0.00,0.00,0.00
59.20,48.50,20.60,0.00,0.00,0.00,0.00,0.00
58.30,47.70,20.70,0.00,0.00,0.00,0.00,0.00
57.80,47.50,20.30,0.00,0.00,0.00,0.00,0.00
58.60,48.00,20.60,0.00,0.00,0.00,0.00,0.00
59.20,48.80,20.20,0.00,0.00,0.00,0.00,0.00
46.70,40.00,20.00,0.00,0.00,0.00,0.00,0.00
61.00,50.00,21.30,0.00,0.00,0.00,0.00,0.00
60.50,48.80,22.00,0.00,0.00,0.00,0.00,0.00
58.60,48.30,22.00,0.00,0.00,0.00,0.00,0.00
60.10,49.20,21.20,0.00,0.00,0.00,0.00,0.00
61.70,50.00,21.70,0.00,0.00,0.00,0.00,0.00
59.70,49.00,21.30,0.00,0.00,0.00,0.00,0.00
60.40,49.20,21.90,0.00,0.00,0.00,0.00,0.00
60.70,49.70,21.60,0.00,0.00,0.00,0.00,0.00
58.80,48.20,21.20,0.00,0.00,0.00,0.00,0.00
60.60,49.30,22.60,0.00,0.00,0.00,0.00,0.00
60.40,49.20,21.60,0.00,0.00,0.00,0.00,0.00
60.30,49.30,21.30,0.00,0.00,0.00,0.00,0.00
61.20,49.80,21.90,0.00,0.00,0.00,0.00,0.00
60.00,49.00,21.30,0.00,0.00,0.00,0.00,0.00
61.20,49.80,21.60,0.00,0.00,0.00,0.00,0.00
60.00,48.70,21.30,0.00,0.00,0.00,0.00,0.00
59.20,48.50,20.90,0.00,0.00,0.00,0.00,0.00
60.30,49.00,21.60,0.00,0.00,0.00,0.00,0.00
59.80,49.20,21.60,0.00,0.00,0.00,0.00,0.00
60.30,49.30,21.60,0.00,0.00,0.00,0.00,0.00
60.30,49.00,21.30,0.00,0.00,0.00,0.00,0.00
59.80,48.50,23.20,0.00,0.00,0.00,0.00,0.00
59.40,48.30,20.70,0.00,0.00,0.00,0.00,0.00
59.20,48.20,21.20,0.00,0.00,0.00,0.00,0.00
61.40,50.30,22.40,0.00,0.00,0.00,0.00,0.00
59.20,48.20,20.90,0.00,0.00,0.00,0.00,0.00
61.40,50.00,21.70,0.00,0.00,0.00,0.00,0.00
