crimson-osd,reactor
99.90,66.70
96.00,61.30
95.70,61.10
96.70,60.30
95.70,61.50
96.00,60.00
96.30,60.30
96.00,60.80
95.70,60.80
96.30,61.30
96.00,61.10
96.00,61.30
96.00,61.50
96.00,61.30
96.30,61.70
95.70,61.10
96.30,61.30
96.00,61.10
96.30,61.30
95.70,61.50
96.30,61.70
95.70,61.80
96.30,61.70
96.00,60.80
96.00,62.00
96.00,61.10
96.30,61.30
96.00,60.10
96.00,61.70
95.30,62.10
87.50,87.50
88.70,93.70
89.70,93.70
89.00,94.00
89.70,93.70
88.70,93.70
89.30,93.70
89.40,93.70
89.70,94.00
88.70,93.40
89.30,94.00
89.00,93.70
89.30,94.30
88.70,92.70
89.40,94.00
89.30,94.00
88.70,93.70
89.70,93.70
89.00,93.70
89.00,93.70
89.40,94.00
89.30,93.70
89.00,94.00
89.30,94.00
89.40,93.00
89.00,94.30
90.00,93.70
89.00,94.00
89.00,93.70
89.40,93.70
93.30,93.30
93.30,92.30
93.40,92.40
93.30,91.30
93.40,92.00
93.70,92.30
93.00,91.70
93.70,92.30
93.00,91.70
93.00,92.00
93.00,92.00
93.70,92.70
93.30,92.00
93.70,92.00
93.30,92.30
93.70,92.40
93.30,92.00
93.40,92.00
93.70,92.30
93.40,91.70
93.30,92.30
92.00,90.40
93.70,92.30
93.00,91.70
93.30,92.30
93.40,91.70
93.70,92.30
93.70,92.30
93.40,92.70
93.70,92.00
93.30,93.30
94.70,90.70
94.30,90.70
94.40,90.70
95.30,90.70
94.70,90.70
94.70,91.70
94.00,90.00
94.70,90.70
94.70,90.70
95.00,91.30
94.70,90.70
95.00,90.70
94.70,90.70
94.70,91.00
94.70,90.70
93.00,89.40
95.30,91.00
94.40,90.40
95.00,91.00
94.70,90.70
95.00,91.00
94.40,90.70
95.00,91.00
94.70,90.40
95.00,91.30
94.40,90.40
95.30,91.30
94.30,91.30
95.00,90.70
93.30,93.30
95.30,89.70
95.70,90.70
95.70,88.00
95.30,90.40
95.00,89.70
95.30,90.00
96.00,90.30
96.00,90.70
95.70,90.40
95.70,91.00
95.30,90.40
96.00,90.30
94.30,89.00
95.30,90.40
95.70,90.70
95.70,90.70
95.70,91.00
95.70,90.70
95.30,90.70
96.00,90.00
95.00,91.00
96.00,90.30
95.70,90.70
95.30,90.40
95.70,90.70
95.30,90.40
96.00,91.00
95.70,90.30
94.00,89.00
99.90,93.30
95.70,90.40
96.30,92.00
96.00,91.00
95.30,91.30
95.70,91.40
96.30,91.70
96.00,91.00
96.00,92.00
96.30,91.70
96.00,91.40
96.00,91.30
94.70,90.00
96.00,92.00
96.00,91.40
96.00,91.70
96.00,91.40
96.00,91.70
96.00,91.70
96.30,91.30
96.00,91.00
96.00,92.00
96.00,91.40
96.30,91.70
95.70,91.40
96.00,91.30
94.70,90.30
95.70,91.40
96.30,91.70
96.30,92.00
99.90,99.90
94.00,96.00
95.00,96.30
94.70,96.30
94.30,95.70
95.00,96.30
94.70,96.00
95.00,96.70
95.00,96.00
94.70,96.70
93.00,94.70
95.00,96.70
94.70,96.00
95.00,96.30
94.40,96.00
95.00,96.30
94.70,96.00
95.00,96.70
94.70,96.00
94.70,96.30
94.70,96.30
95.00,96.30
95.00,96.30
93.00,95.00
94.70,96.00
94.70,96.00
95.00,96.30
94.70,96.30
95.00,96.30
94.70,96.30
93.30,93.30
97.00,91.00
96.70,90.40
97.00,91.00
95.70,90.00
97.30,90.70
96.70,91.00
96.70,90.70
97.00,90.70
97.30,90.70
96.70,91.00
95.30,89.70
97.00,91.30
96.70,90.70
97.00,91.00
96.70,91.00
97.00,91.00
96.70,90.40
97.00,91.00
97.00,90.70
96.70,91.00
97.00,91.00
97.00,91.00
96.70,90.40
95.30,89.70
97.00,91.00
96.70,90.70
96.70,90.70
97.30,91.30
96.70,90.70
99.90,99.90
95.00,97.00
94.70,96.70
94.30,96.30
95.00,96.70
94.70,97.00
95.30,96.70
94.70,97.00
95.30,97.00
94.40,96.70
93.30,95.70
95.00,96.70
95.00,96.70
94.70,97.00
95.00,96.70
94.70,96.70
95.00,97.30
94.70,96.70
95.00,97.30
94.40,96.30
95.30,97.00
95.00,97.00
93.40,95.30
95.30,96.70
95.00,96.70
94.70,97.30
94.70,96.30
94.70,97.00
94.70,96.70
95.30,97.30
99.90,86.70
97.00,91.00
97.00,90.70
97.00,90.70
96.70,90.30
96.70,90.70
97.30,91.00
97.00,90.70
97.00,90.70
97.30,91.00
95.70,89.40
97.00,91.00
97.00,90.70
97.00,90.70
97.30,91.00
97.00,90.40
97.00,91.00
97.00,90.40
97.30,91.00
97.00,91.00
97.00,90.40
97.30,91.00
96.70,90.70
97.30,90.70
96.00,90.00
96.70,90.40
97.30,90.70
97.00,90.40
97.00,91.00
97.30,91.00
