crimson-osd,reactor
99.90,60.00
96.70,53.00
96.30,55.50
96.70,58.00
96.70,57.50
96.30,56.00
96.70,55.10
96.70,54.00
96.30,55.10
97.00,54.30
96.30,55.10
96.70,56.70
96.00,55.50
96.00,56.00
95.70,53.80
96.70,54.70
95.30,54.50
96.70,53.60
95.30,55.50
96.30,55.00
95.30,55.50
95.70,55.70
95.00,54.50
95.70,55.30
95.30,54.80
95.30,55.30
95.00,56.10
95.70,54.70
95.70,54.30
95.00,54.80
80.00,93.30
77.40,94.00
76.30,93.70
76.40,93.40
77.00,93.30
77.10,94.00
78.00,94.00
77.10,93.40
77.70,94.30
76.70,93.00
76.70,93.70
77.70,93.70
77.70,94.00
76.40,93.70
76.30,93.70
76.40,93.70
77.00,94.30
77.70,93.70
76.70,93.40
76.30,93.60
76.40,93.00
76.70,93.00
76.10,92.70
76.30,93.70
76.10,93.00
76.30,93.60
76.70,93.00
78.00,93.70
75.70,93.40
77.70,93.70
80.00,93.30
84.70,92.30
86.00,92.00
86.70,92.00
86.00,92.30
85.70,92.70
86.00,92.30
86.00,91.70
85.00,92.30
85.00,92.70
85.70,92.00
85.70,92.30
85.70,92.40
85.30,92.30
86.00,92.00
85.70,92.60
85.70,92.40
85.70,91.70
85.40,92.00
87.00,92.00
85.00,92.30
85.70,92.30
86.00,92.00
86.00,92.70
86.00,92.00
86.00,92.70
84.70,92.30
85.30,92.70
86.00,92.30
86.00,91.70
81.20,81.20
91.00,92.30
90.70,91.70
90.70,93.30
91.00,92.00
90.40,91.70
90.00,93.00
89.40,92.00
90.30,92.60
90.70,91.70
90.00,92.70
90.00,92.00
90.30,92.60
90.40,92.00
90.70,92.30
89.70,92.00
90.70,93.00
90.70,92.30
90.70,92.30
90.00,92.40
90.30,92.60
90.30,92.30
90.00,92.70
90.70,92.30
90.40,92.70
90.70,92.30
90.40,92.00
90.70,93.00
90.40,92.00
91.30,93.00
99.90,93.30
94.30,92.00
94.70,92.00
94.70,92.30
93.70,92.40
93.30,93.00
92.70,92.00
94.30,92.60
94.00,91.70
93.70,93.00
94.40,92.00
94.70,92.30
93.40,92.30
93.70,93.00
93.40,92.70
94.00,93.00
93.70,92.30
94.30,92.70
94.40,91.70
93.70,92.70
93.40,92.30
93.30,93.30
93.70,93.30
93.70,92.70
93.30,92.70
94.40,93.00
94.30,91.70
93.40,92.00
94.30,92.30
93.00,93.00
99.90,86.70
95.70,85.30
95.70,86.00
96.00,85.60
95.00,86.70
95.70,86.00
95.70,86.40
95.70,86.60
96.00,85.00
96.30,87.30
95.70,86.00
95.30,88.00
96.30,85.70
95.70,86.00
95.70,84.40
95.70,87.00
96.30,85.60
95.30,86.00
96.00,84.30
96.00,85.70
96.30,85.00
96.00,84.70
95.70,87.00
95.00,87.70
96.00,87.00
95.70,87.30
96.70,85.70
95.70,84.70
96.00,85.00
96.00,88.00
93.30,99.90
94.30,91.00
96.30,88.00
96.30,89.00
