#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.00,9.00,4.30,0.00,0.00,0.00,0.00,0.00
13.30,8.70,4.00,0.00,0.00,0.00,0.00,0.00
14.00,9.30,4.30,0.00,0.00,0.00,0.00,0.00
13.70,8.70,4.00,0.00,0.00,0.00,0.00,0.00
14.30,9.00,3.70,0.00,0.00,0.00,0.00,0.00
13.70,9.00,4.30,0.00,0.00,0.00,0.00,0.00
13.30,9.00,4.00,0.00,0.00,0.00,0.00,0.00
14.00,9.30,4.40,0.00,0.00,0.00,0.00,0.00
13.30,8.30,4.00,0.00,0.00,0.00,0.00,0.00
13.70,9.40,4.30,0.00,0.00,0.00,0.00,0.00
13.60,8.60,3.60,0.00,0.00,0.00,0.00,0.00
13.30,9.00,4.30,0.00,0.00,0.00,0.00,0.00
14.00,8.70,4.00,0.00,0.00,0.00,0.00,0.00
13.30,9.30,4.00,0.00,0.00,0.00,0.00,0.00
13.70,9.00,4.00,0.00,0.00,0.00,0.00,0.00
13.30,8.30,4.60,0.00,0.00,0.00,0.00,0.00
13.30,9.30,4.00,0.00,0.00,0.00,0.00,0.00
13.30,8.60,4.00,0.00,0.00,0.00,0.00,0.00
13.70,9.00,4.30,0.00,0.00,0.00,0.00,0.00
13.60,9.00,3.70,0.00,0.00,0.00,0.00,0.00
13.30,8.60,4.30,0.00,0.00,0.00,0.00,0.00
14.00,9.40,3.70,0.00,0.00,0.00,0.00,0.00
13.70,8.70,4.40,0.00,0.00,0.00,0.00,0.00
13.00,9.30,3.70,0.00,0.00,0.00,0.00,0.00
14.30,9.00,4.60,0.00,0.00,0.00,0.00,0.00
13.30,9.30,3.60,0.00,0.00,0.00,0.00,0.00
14.00,8.70,4.30,0.00,0.00,0.00,0.00,0.00
13.30,9.00,4.30,0.00,0.00,0.00,0.00,0.00
13.70,9.30,3.60,0.00,0.00,0.00,0.00,0.00
13.30,6.70,6.70,0.00,0.00,0.00,0.00,0.00
17.90,13.20,5.90,0.00,0.00,0.00,0.00,0.00
17.70,13.00,6.00,0.00,0.00,0.00,0.00,0.00
17.60,13.60,5.60,0.00,0.00,0.00,0.00,0.00
17.70,13.00,5.60,0.00,0.00,0.00,0.00,0.00
17.70,13.00,6.30,0.00,0.00,0.00,0.00,0.00
17.30,16.30,5.90,0.00,0.00,0.00,0.00,0.00
17.00,16.30,5.60,0.00,0.00,0.00,0.00,0.00
17.60,16.60,5.60,0.00,0.00,0.00,0.00,0.00
17.30,16.60,6.00,0.00,0.00,0.00,0.00,0.00
17.60,16.60,6.30,0.00,0.00,0.00,0.00,0.00
17.30,16.90,5.60,0.00,0.00,0.00,0.00,0.00
17.00,16.30,5.60,0.00,0.00,0.00,0.00,0.00
17.60,16.90,5.60,0.00,0.00,0.00,0.00,0.00
17.00,16.30,6.30,0.00,0.00,0.00,0.00,0.00
17.60,16.60,5.30,0.00,0.00,0.00,0.00,0.00
17.30,16.60,6.30,0.00,0.00,0.00,0.00,0.00
17.30,16.30,5.70,0.00,0.00,0.00,0.00,0.00
17.30,16.90,5.60,0.00,0.00,0.00,0.00,0.00
17.30,16.00,5.60,0.00,0.00,0.00,0.00,0.00
17.60,17.20,5.90,0.00,0.00,0.00,0.00,0.00
17.00,16.60,5.30,0.00,0.00,0.00,0.00,0.00
17.60,16.90,6.60,0.00,0.00,0.00,0.00,0.00
17.30,16.00,5.60,0.00,0.00,0.00,0.00,0.00
17.30,16.90,5.60,0.00,0.00,0.00,0.00,0.00
17.30,17.00,5.70,0.00,0.00,0.00,0.00,0.00
17.30,16.30,6.30,0.00,0.00,0.00,0.00,0.00
17.70,16.60,5.60,0.00,0.00,0.00,0.00,0.00
17.30,16.60,5.90,0.00,0.00,0.00,0.00,0.00
16.70,16.30,5.60,0.00,0.00,0.00,0.00,0.00
6.70,6.70,0.00,0.00,0.00,0.00,0.00,0.00
19.60,15.20,6.90,0.00,0.00,0.00,0.00,0.00
19.00,15.70,6.30,0.00,0.00,0.00,0.00,0.00
19.30,14.90,6.30,0.00,0.00,0.00,0.00,0.00
19.00,16.00,7.00,0.00,0.00,0.00,0.00,0.00
19.60,15.20,6.30,0.00,0.00,0.00,0.00,0.00
19.30,15.30,6.30,0.00,0.00,0.00,0.00,0.00
18.60,15.20,6.30,0.00,0.00,0.00,0.00,0.00
19.70,15.70,6.60,0.00,0.00,0.00,0.00,0.00
18.90,15.20,7.30,0.00,0.00,0.00,0.00,0.00
19.30,15.40,6.30,0.00,0.00,0.00,0.00,0.00
