crimson-osd,reactor
93.30,53.30
93.70,54.80
93.70,54.00
93.70,53.80
94.30,54.30
93.40,54.80
94.30,53.30
93.70,55.50
94.30,54.00
93.70,54.80
93.70,54.30
94.00,53.50
94.00,55.00
93.40,54.20
94.30,53.60
94.00,56.00
93.40,53.80
93.70,54.00
93.40,55.80
94.00,54.30
94.00,54.50
93.30,54.70
94.00,54.50
94.00,55.00
93.40,54.20
95.00,54.60
93.40,55.50
94.00,54.00
93.70,54.50
94.30,54.30
86.70,73.30
93.70,70.80
94.30,70.70
93.00,70.80
94.30,71.30
93.70,70.00
93.70,71.40
95.00,70.00
93.40,71.40
94.00,70.30
93.70,71.40
94.00,69.80
93.70,70.30
94.40,70.40
93.70,71.00
94.00,69.40
94.70,69.70
94.00,71.00
93.70,71.10
93.70,70.00
94.40,69.10
94.00,71.30
93.70,70.10
93.70,70.00
94.40,70.40
94.00,70.00
93.70,70.40
94.70,69.30
93.70,71.70
93.30,71.30
86.70,93.30
86.40,92.00
85.30,92.30
85.70,91.70
86.00,92.70
86.00,91.70
85.30,92.30
85.40,92.30
85.70,92.30
85.70,92.40
86.30,92.00
86.40,91.40
85.30,92.90
85.70,91.70
85.70,92.30
85.70,92.40
86.00,92.00
85.40,92.00
85.70,92.30
85.70,92.30
85.70,92.00
85.00,92.70
85.70,92.30
85.70,91.70
85.30,92.70
86.00,92.00
85.40,92.30
86.00,92.30
86.00,92.30
85.70,92.60
99.90,80.00
94.00,86.00
93.40,86.00
93.00,87.00
93.40,86.00
94.30,86.30
93.40,85.40
94.00,85.60
93.40,85.00
93.30,85.70
94.00,85.60
93.00,85.00
94.00,87.00
93.00,85.40
94.00,85.70
92.70,85.70
93.70,86.00
93.70,87.00
94.00,86.00
93.70,85.40
93.70,86.30
93.40,86.00
93.70,86.30
93.00,85.70
94.00,85.70
93.70,86.30
94.00,85.70
93.40,85.00
93.70,85.60
93.70,86.00
99.90,93.30
93.70,92.00
94.40,93.00
94.00,92.70
94.00,92.40
94.30,92.60
93.70,91.70
94.70,92.30
93.40,91.70
94.00,92.00
93.40,91.70
94.00,92.30
94.40,92.30
93.70,93.00
93.40,92.40
95.00,92.00
92.40,93.00
94.00,93.00
93.70,92.00
93.70,93.00
94.00,93.00
93.70,92.70
94.30,92.70
94.40,92.00
94.00,92.70
93.40,93.00
94.30,93.00
93.70,92.00
94.30,92.30
93.70,93.60
99.90,80.00
95.70,86.60
95.70,84.40
95.70,85.60
95.00,87.40
96.30,86.00
95.30,87.00
96.00,86.60
95.30,84.70
97.00,84.00
95.70,86.40
96.70,84.60
95.30,85.00
96.00,86.70
95.70,85.70
96.00,84.30
95.30,86.00
96.00,88.70
95.70,86.00
95.30,88.70
96.30,86.90
95.00,86.70
96.00,87.00
96.00,86.00
95.70,87.60
95.70,84.70
96.30,87.00
96.30,84.40
95.70,87.00
95.70,84.70
99.90,93.30
97.30,90.40
97.30,88.00
97.30,87.70
97.00,90.30
96.70,90.00
96.30,89.30
97.00,88.40
96.70,90.30
93.70,92.70
96.70,89.60
96.30,89.00
97.30,88.30
96.70,89.70
97.00,88.70
96.30,91.00
95.70,91.00
96.70,90.30
95.70,89.00
96.30,89.00
97.00,90.30
95.70,89.30
96.30,88.40
98.00,90.30
97.70,89.30
96.00,89.30
97.30,90.70
97.30,89.30
96.00,89.40
98.00,89.60
93.30,99.90
96.70,87.40
96.70,87.70
98.30,87.00
98.70,88.30
97.30,88.30
98.30,90.00
96.30,88.00
98.30,89.00
96.00,88.70
96.30,87.00
98.00,87.00
98.00,87.70
97.30,88.70
97.70,91.00
97.30,89.30
98.00,89.00
98.00,87.00
97.00,87.40
96.30,88.70
97.70,88.00
95.70,90.00
96.70,89.40
97.30,89.70
96.30,87.70
97.70,89.00
96.70,88.00
96.30,91.30
97.70,85.70
98.00,88.70
93.30,73.30
95.00,90.00
98.00,87.70
95.70,89.70
96.70,89.60
19.60,16.60
0.70,0.30
0.70,0.70
0.70,1.00
0.30,0.30
0.70,0.30
1.00,0.70
0.30,0.70
1.00,0.70
0.70,0.30
0.30,0.70
1.00,0.70
0.70,0.30
0.30,0.70
1.00,1.00
0.30,0.30
1.30,1.00
0.30,0.30
0.30,0.30
1.00,0.70
0.30,0.70
1.00,0.70
0.70,0.30
0.30,0.70
1.00,0.70
99.90,86.70
98.30,88.00
98.00,87.00
91.70,81.00
0.70,0.30
0.30,0.30
1.00,1.00
0.70,0.70
0.30,0.30
1.00,1.00
0.70,0.30
0.70,0.70
0.70,0.70
0.70,0.30
0.70,1.00
0.30,0.30
1.00,0.30
0.70,1.00
0.30,0.30
1.30,0.70
0.30,0.70
0.70,0.30
0.70,1.00
0.70,0.30
0.70,0.70
1.00,0.70
0.30,0.70
1.00,0.70
0.30,0.70
0.70,0.30
99.90,86.70
96.70,88.60
98.30,86.30
97.30,87.30
98.00,88.40
98.70,87.00
96.30,87.70
97.30,89.30
97.00,89.30
99.00,85.70
98.30,87.00
98.70,88.00
98.30,87.40
98.30,87.60
97.30,86.70
97.00,89.30
98.00,86.00
99.00,87.30
88.70,77.70
1.00,0.30
0.70,1.00
0.70,0.30
0.30,0.30
1.00,1.00
0.70,0.30
0.30,0.30
0.70,0.70
0.30,0.70
1.30,0.70
0.30,0.30
99.90,80.00
97.30,75.10
95.30,75.70
97.30,73.70
97.00,78.60
97.00,74.30
97.00,77.10
96.30,76.70
97.00,74.70
9.30,6.30
1.00,0.70
0.70,0.70
0.30,0.30
1.00,1.00
0.30,0.30
0.70,0.30
1.00,1.00
0.30,0.30
1.30,0.70
0.30,0.70
0.30,0.70
1.30,0.70
0.30,0.30
0.30,0.30
1.00,0.70
0.70,0.70
0.70,0.70
0.70,0.30
0.30,1.00
1.00,0.70
99.90,80.00
99.00,86.70
36.20,30.90
1.00,0.70
0.70,0.70
0.30,0.30
1.00,0.70
0.30,0.70
0.70,0.30
1.00,0.70
0.30,0.00
0.70,1.00
1.00,0.30
0.30,0.30
0.70,0.70
0.70,0.70
0.30,0.70
0.70,0.70
0.70,0.30
1.00,0.70
0.30,0.30
0.70,0.70
0.70,0.30
0.70,0.70
0.30,0.30
1.00,0.70
0.70,0.30
0.70,0.70
0.70,0.30
0.30,1.00
6.20,0.00
0.30,0.30
0.70,0.70
1.00,0.30
0.70,1.30
0.30,0.30
0.70,0.30
1.00,0.70
0.30,0.30
0.70,0.70
0.70,0.70
0.70,0.30
0.70,1.00
0.70,0.30
0.30,0.30
1.30,0.70
0.30,0.30
0.30,1.00
0.70,0.70
0.70,0.30
1.00,0.30
0.70,0.70
0.30,0.70
0.70,0.30
1.00,1.00
0.30,0.30
0.70,0.70
0.70,0.30
1.00,1.00
0.30,0.30
