#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.00,10.00,4.00,0.00,0.00,0.00,0.00,0.00
13.60,9.90,3.70,0.00,0.00,0.00,0.00,0.00
13.70,9.70,4.70,0.00,0.00,0.00,0.00,0.00
13.60,10.60,4.00,0.00,0.00,0.00,0.00,0.00
14.00,10.30,4.00,0.00,0.00,0.00,0.00,0.00
13.70,10.00,4.00,0.00,0.00,0.00,0.00,0.00
13.60,10.30,4.00,0.00,0.00,0.00,0.00,0.00
14.00,10.00,4.30,0.00,0.00,0.00,0.00,0.00
13.30,9.90,3.60,0.00,0.00,0.00,0.00,0.00
14.00,10.00,4.30,0.00,0.00,0.00,0.00,0.00
13.60,9.90,4.00,0.00,0.00,0.00,0.00,0.00
13.70,10.00,3.70,0.00,0.00,0.00,0.00,0.00
14.00,9.00,4.40,0.00,0.00,0.00,0.00,0.00
13.70,8.70,4.00,0.00,0.00,0.00,0.00,0.00
14.00,10.00,4.00,0.00,0.00,0.00,0.00,0.00
13.70,10.00,4.30,0.00,0.00,0.00,0.00,0.00
13.60,10.30,4.00,0.00,0.00,0.00,0.00,0.00
13.70,10.30,4.00,0.00,0.00,0.00,0.00,0.00
13.60,10.00,4.00,0.00,0.00,0.00,0.00,0.00
14.00,10.30,4.70,0.00,0.00,0.00,0.00,0.00
13.30,10.00,4.00,0.00,0.00,0.00,0.00,0.00
14.00,10.70,3.70,0.00,0.00,0.00,0.00,0.00
13.70,9.70,4.00,0.00,0.00,0.00,0.00,0.00
13.30,10.00,4.00,0.00,0.00,0.00,0.00,0.00
14.00,10.40,4.00,0.00,0.00,0.00,0.00,0.00
13.60,10.60,4.30,0.00,0.00,0.00,0.00,0.00
13.70,10.00,4.00,0.00,0.00,0.00,0.00,0.00
13.60,10.30,4.30,0.00,0.00,0.00,0.00,0.00
13.70,10.00,3.70,0.00,0.00,0.00,0.00,0.00
13.30,13.40,6.70,0.00,0.00,0.00,0.00,0.00
18.00,13.40,5.30,0.00,0.00,0.00,0.00,0.00
17.90,13.20,5.90,0.00,0.00,0.00,0.00,0.00
18.00,13.40,6.00,0.00,0.00,0.00,0.00,0.00
17.60,13.60,5.70,0.00,0.00,0.00,0.00,0.00
17.70,13.40,6.00,0.00,0.00,0.00,0.00,0.00
17.90,13.20,5.30,0.00,0.00,0.00,0.00,0.00
17.70,13.00,6.00,0.00,0.00,0.00,0.00,0.00
18.30,13.20,5.90,0.00,0.00,0.00,0.00,0.00
18.30,13.70,5.70,0.00,0.00,0.00,0.00,0.00
17.60,13.20,6.30,0.00,0.00,0.00,0.00,0.00
17.70,13.40,5.30,0.00,0.00,0.00,0.00,0.00
17.90,13.20,6.30,0.00,0.00,0.00,0.00,0.00
17.70,13.40,5.00,0.00,0.00,0.00,0.00,0.00
17.60,12.90,7.00,0.00,0.00,0.00,0.00,0.00
18.00,13.70,6.60,0.00,0.00,0.00,0.00,0.00
17.30,12.60,6.30,0.00,0.00,0.00,0.00,0.00
17.70,13.40,6.60,0.00,0.00,0.00,0.00,0.00
17.70,13.40,6.70,0.00,0.00,0.00,0.00,0.00
18.30,13.20,6.60,0.00,0.00,0.00,0.00,0.00
17.70,13.40,6.60,0.00,0.00,0.00,0.00,0.00
17.60,13.20,6.60,0.00,0.00,0.00,0.00,0.00
17.30,13.00,7.30,0.00,0.00,0.00,0.00,0.00
18.30,13.30,6.60,0.00,0.00,0.00,0.00,0.00
17.00,12.60,6.00,0.00,0.00,0.00,0.00,0.00
17.90,14.00,6.60,0.00,0.00,0.00,0.00,0.00
17.70,13.00,6.30,0.00,0.00,0.00,0.00,0.00
17.60,13.30,7.00,0.00,0.00,0.00,0.00,0.00
18.00,13.00,6.30,0.00,0.00,0.00,0.00,0.00
17.60,13.20,6.90,0.00,0.00,0.00,0.00,0.00
6.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.60,15.60,6.60,0.00,0.00,0.00,0.00,0.00
19.00,15.00,6.00,0.00,0.00,0.00,0.00,0.00
19.60,15.60,6.60,0.00,0.00,0.00,0.00,0.00
19.00,16.00,6.70,0.00,0.00,0.00,0.00,0.00
19.60,15.20,6.00,0.00,0.00,0.00,0.00,0.00
19.00,15.40,6.30,0.00,0.00,0.00,0.00,0.00
18.90,15.20,7.20,0.00,0.00,0.00,0.00,0.00
19.30,15.40,6.00,0.00,0.00,0.00,0.00,0.00
18.90,15.20,6.30,0.00,0.00,0.00,0.00,0.00
19.70,15.70,6.60,0.00,0.00,0.00,0.00,0.00
19.30,15.70,6.00,0.00,0.00,0.00,0.00,0.00
18.90,14.90,6.60,0.00,0.00,0.00,0.00,0.00
19.70,15.70,6.30,0.00,0.00,0.00,0.00,0.00
18.90,15.60,6.30,0.00,0.00,0.00,0.00,0.00
19.70,15.30,6.60,0.00,0.00,0.00,0.00,0.00
19.30,15.60,6.60,0.00,0.00,0.00,0.00,0.00
19.00,15.00,6.30,0.00,0.00,0.00,0.00,0.00
19.60,15.60,6.90,0.00,0.00,0.00,0.00,0.00
19.00,15.00,6.30,0.00,0.00,0.00,0.00,0.00
19.60,15.60,6.30,0.00,0.00,0.00,0.00,0.00
19.00,16.00,6.30,0.00,0.00,0.00,0.00,0.00
19.60,15.20,6.60,0.00,0.00,0.00,0.00,0.00
19.30,15.40,6.30,0.00,0.00,0.00,0.00,0.00
