reactor,crimson-osd
80.00,93.30
68.10,95.70
68.70,96.30
67.80,95.70
69.00,96.00
68.80,95.70
69.00,96.30
68.70,96.00
68.80,96.00
69.30,96.00
68.80,96.00
67.70,96.30
68.10,95.30
69.00,96.00
69.80,95.70
68.30,96.30
68.80,95.70
69.70,96.30
68.80,95.70
69.70,96.00
68.40,96.00
69.30,96.00
68.80,96.00
69.70,96.00
69.80,95.70
69.00,96.30
69.10,95.70
68.70,95.30
68.30,96.30
68.40,95.70
93.30,80.00
93.40,85.00
94.00,86.00
93.40,84.70
94.00,85.30
93.00,85.40
94.00,85.70
93.40,85.00
94.00,85.70
93.70,85.70
93.70,85.70
93.70,85.00
94.00,85.30
93.00,84.70
93.70,85.70
93.70,85.40
93.70,85.70
93.70,85.70
94.00,85.70
93.40,85.70
94.00,85.30
94.00,85.70
93.40,85.40
94.30,86.30
93.00,85.00
94.00,85.70
94.00,84.70
93.70,86.00
93.40,85.40
94.00,86.00
93.30,93.30
94.40,93.00
94.70,93.70
93.70,93.00
94.70,94.00
94.70,93.00
94.30,93.70
95.00,93.70
94.40,93.40
94.00,93.00
94.00,93.40
94.70,93.70
94.40,93.40
94.70,94.00
94.40,93.00
94.70,94.00
94.00,93.40
94.70,93.70
94.40,93.40
95.00,93.70
92.70,92.00
94.30,93.70
94.40,93.70
94.70,93.70
94.40,93.40
95.00,93.70
94.40,93.00
94.30,93.70
94.70,94.00
94.40,93.40
93.30,93.30
94.40,90.40
94.70,90.70
94.70,90.70
94.70,91.00
94.40,90.70
94.70,91.00
94.00,90.00
94.70,90.70
94.70,91.00
94.70,90.70
94.70,91.00
94.70,91.00
94.30,90.30
94.40,90.70
95.00,91.30
93.00,88.70
95.00,91.30
94.40,91.00
95.00,91.00
94.40,91.00
94.70,91.30
95.30,91.00
94.40,90.70
94.70,91.00
94.70,90.70
94.70,91.00
94.70,90.70
94.70,90.70
94.40,90.70
93.30,99.90
91.00,95.00
91.70,95.30
91.70,95.70
91.70,95.00
90.70,95.00
91.70,95.00
92.30,96.00
91.70,95.00
92.30,95.70
91.70,95.30
92.00,95.70
91.40,95.00
90.70,94.30
91.70,95.30
91.70,95.70
91.70,95.30
91.40,95.70
92.00,95.70
91.00,95.00
91.70,95.70
91.40,95.00
91.30,95.70
91.00,95.30
92.00,95.70
91.70,95.30
91.70,95.30
91.40,95.30
91.70,95.30
89.70,94.00
93.30,93.30
95.70,90.70
95.70,91.70
96.70,91.30
95.00,90.70
96.00,91.70
96.00,91.00
96.00,92.00
96.00,91.00
96.30,91.70
95.70,91.40
96.00,91.00
94.70,89.70
96.00,91.70
96.00,91.40
96.00,91.30
96.30,92.30
95.70,91.00
96.70,91.00
96.00,91.00
96.00,91.70
96.30,91.40
95.70,91.30
96.00,91.00
96.30,91.70
96.00,91.40
94.70,90.00
96.00,91.70
96.30,91.30
96.00,91.70
93.30,93.30
97.00,92.30
96.30,91.70
96.70,92.30
95.70,91.40
97.00,91.70
96.30,91.70
97.00,92.00
95.70,91.00
96.70,92.30
96.70,92.00
95.00,90.70
97.00,92.70
96.30,92.00
96.70,92.70
96.30,91.70
96.70,92.00
96.70,92.00
96.30,92.30
96.70,91.40
96.70,92.70
96.70,91.70
96.70,92.00
96.30,92.00
97.00,92.30
94.70,90.40
96.70,92.30
97.00,92.00
96.00,92.00
97.00,92.00
99.90,86.70
96.70,91.70
96.70,90.70
97.00,91.30
95.70,91.00
97.00,91.30
97.00,91.00
97.00,91.70
96.70,91.00
97.00,92.00
97.30,91.00
95.00,90.00
97.30,91.70
96.70,91.40
97.00,91.70
96.70,91.40
97.00,91.70
96.70,90.70
97.30,92.00
96.30,91.00
97.30,91.70
96.70,91.00
97.00,91.00
96.70,91.40
95.70,90.00
96.70,91.70
97.00,91.30
97.00,91.40
96.70,91.70
97.00,91.40
99.90,86.70
97.00,91.40
97.00,91.30
97.00,91.00
96.00,91.00
97.30,91.00
97.00,90.70
97.00,91.30
95.70,90.00
97.30,91.30
95.30,89.40
97.00,92.00
97.00,91.40
97.30,92.00
96.70,91.00
97.00,92.00
96.70,91.00
97.30,91.70
96.70,90.70
97.30,91.30
97.00,91.30
97.00,90.70
97.00,91.70
96.70,91.00
95.70,90.00
96.70,91.40
97.30,92.00
96.70,91.00
97.30,91.70
96.70,91.00
99.90,93.30
97.00,91.30
96.70,91.00
97.00,91.30
96.70,91.00
97.00,90.70
97.00,91.70
97.00,91.00
97.30,91.30
96.70,91.40
95.70,90.30
97.00,91.00
97.30,91.70
97.00,91.00
96.70,91.00
97.00,91.00
97.00,91.00
97.00,91.40
97.30,91.70
97.30,91.00
96.70,91.00
97.30,91.00
96.70,91.00
97.30,91.00
95.30,90.00
97.30,91.70
97.00,91.40
96.70,91.30
97.00,91.00
97.30,91.70
