reactor,crimson-osd
0.00,66.70
96.00,63.10
96.70,64.00
96.30,63.30
95.70,63.80
96.30,64.30
96.00,63.80
96.30,64.00
96.70,63.10
96.00,64.70
96.70,63.70
96.00,62.80
96.00,64.00
96.00,63.50
96.30,64.30
96.30,63.80
96.30,64.00
96.00,63.10
96.70,63.70
95.70,62.80
96.70,64.00
96.00,63.80
96.30,64.00
96.30,63.30
96.00,63.50
96.70,63.30
96.00,63.50
96.00,62.70
95.70,63.50
96.70,63.70
87.50,81.20
94.00,85.70
93.70,85.40
93.70,85.70
94.30,85.00
93.00,84.70
94.00,86.00
93.40,84.70
94.30,85.30
93.40,85.00
94.30,85.70
93.40,85.40
94.30,85.70
93.70,85.00
93.00,85.00
93.70,85.40
94.00,85.70
93.70,85.40
94.00,85.30
93.70,85.00
94.00,85.70
94.00,85.70
93.70,85.40
94.00,85.30
93.70,85.70
93.70,85.30
94.00,85.00
93.70,85.30
93.70,85.70
94.00,85.00
99.90,93.30
93.40,92.00
93.70,92.30
93.30,92.30
93.70,92.40
93.30,93.00
93.40,92.00
93.70,92.30
93.40,92.00
93.00,92.00
93.40,92.00
93.70,92.70
93.00,92.00
93.70,92.30
93.70,92.40
93.70,92.00
93.40,92.00
93.70,92.30
93.40,92.40
94.00,92.00
93.40,92.00
92.30,91.30
93.40,92.00
93.70,92.00
93.70,93.00
93.30,92.30
93.70,93.00
93.70,91.70
93.70,93.00
93.40,92.40
86.70,93.30
94.70,91.30
94.00,90.40
95.00,91.00
94.00,90.70
95.00,91.00
94.00,90.70
94.00,90.70
94.40,90.70
94.70,91.00
94.00,90.40
95.00,91.30
94.40,90.40
94.70,91.00
94.40,90.70
94.70,90.70
92.70,89.40
94.70,91.00
94.40,90.70
94.70,91.30
94.40,90.00
94.70,91.30
94.70,91.00
94.40,90.70
94.30,91.00
94.70,90.40
94.30,91.30
94.40,90.40
95.00,91.00
94.40,91.00
93.30,93.30
95.70,90.00
95.30,90.00
96.00,90.30
95.70,90.00
95.30,90.00
95.70,90.30
96.00,90.40
95.70,90.30
95.70,90.00
96.00,90.30
95.30,90.40
96.00,90.70
94.40,88.70
96.00,90.70
95.30,90.40
96.30,90.70
95.30,89.70
96.00,90.70
96.00,90.30
95.70,90.00
96.00,90.00
95.30,90.00
96.30,90.00
95.70,90.40
95.70,90.30
95.70,90.00
95.70,90.30
95.70,91.00
94.70,89.00
99.90,99.90
96.00,91.00
96.00,91.40
96.30,91.70
95.70,90.70
96.00,91.00
96.00,91.70
96.00,91.00
96.70,91.70
96.30,92.00
95.70,90.70
96.70,91.30
94.40,89.70
96.30,92.00
96.70,91.70
95.70,91.00
96.30,91.30
96.30,91.70
96.00,91.30
96.30,91.70
96.00,90.70
96.30,91.30
96.30,90.70
96.30,91.70
96.30,91.30
96.00,91.40
95.00,89.70
95.70,91.40
96.70,92.00
96.30,91.30
99.90,86.70
96.30,92.30
96.70,92.00
97.00,92.00
95.70,91.40
96.70,92.00
96.70,92.00
96.70,92.30
96.70,91.70
97.00,92.70
96.30,91.40
95.30,91.00
96.30,91.40
97.00,92.70
96.70,92.00
96.30,92.00
97.00,92.00
96.30,91.70
97.00,92.30
96.30,91.70
97.00,92.00
96.70,92.00
96.70,92.00
96.30,91.70
97.30,92.00
95.00,90.40
96.70,92.70
96.70,91.70
96.70,92.00
97.00,92.30
99.90,93.30
97.00,91.30
96.70,91.40
97.00,91.70
96.30,90.70
96.70,91.70
96.70,91.40
97.30,91.70
96.70,92.00
97.00,91.40
96.70,91.30
95.30,90.00
97.30,92.00
96.70,91.00
97.00,91.70
97.00,91.70
96.70,91.30
97.00,91.40
97.00,92.00
96.70,91.40
97.00,91.70
97.30,91.70
96.30,91.40
97.00,91.70
95.70,90.00
97.00,91.70
96.70,91.70
97.00,91.70
96.70,91.40
97.00,91.70
99.90,99.90
95.00,97.00
95.00,96.70
94.30,96.30
94.70,96.70
95.00,96.70
94.70,97.00
95.00,97.00
94.70,96.70
95.00,97.00
93.40,95.30
95.00,97.00
94.70,96.30
95.00,97.30
95.30,96.70
94.40,97.00
95.00,97.00
94.70,96.70
95.00,97.00
94.70,96.70
95.00,97.00
94.70,96.70
93.70,95.70
94.70,96.70
95.00,97.00
95.00,96.70
95.00,97.00
95.00,96.70
94.70,97.30
95.00,96.30
93.30,93.30
96.70,91.40
97.30,91.30
97.00,90.70
96.70,90.30
96.70,91.40
97.30,91.70
97.00,91.00
97.00,91.30
97.30,91.40
95.70,90.00
96.70,91.40
97.70,91.70
97.00,91.00
97.00,91.70
97.30,91.00
97.30,91.00
97.00,91.40
97.30,91.30
97.00,91.00
97.00,91.00
97.30,91.70
97.00,91.00
97.00,91.30
95.30,90.00
97.30,91.30
97.00,91.00
97.30,91.30
97.00,91.40
97.30,91.30
