## num_jobs: 1
# iodepth iops total_ios clat_ms clat_stdev usr_cpu sys_cpu OSD_cpu OSD_mem FIO_cpu FIO_mem
 1  2303.85  691158.00  0.43  0.23  2.33  1.85  149.13  7.36  24.72  0.00 
 2  3435.70  1030712.00  0.57  0.32  3.07  2.40  164.89  8.38  35.17  0.00 
 4  4252.49  1275751.00  0.93  0.53  3.57  2.66  177.41  8.40  40.82  0.00 
 8  4802.45  1440744.00  1.66  1.01  3.90  2.61  180.58  8.40  42.26  0.00 
 16  5025.90  1507791.00  3.18  2.31  4.07  2.40  185.38  8.98  41.87  0.00 
 24  4758.36  1427521.00  5.03  5.08  3.90  2.18  185.09  9.00  39.39  0.00 
 32  4466.72  1340042.00  7.15  9.01  3.65  2.17  186.44  9.00  37.89  0.00 
 40  4218.39  1265538.00  9.47  14.31  3.60  1.98  181.21  9.00  36.07  0.00 
 52  4062.28  1218712.00  12.79  23.37  3.56  1.89  179.44  9.00  34.88  0.00 
 64  4000.73  1068927.00  15.98  34.82  3.48  1.87  67.06  9.00  12.02  0.00 
