reactor,crimson-osd
73.30,53.30
167.30,45.30
166.50,45.80
165.60,45.30
165.50,46.50
165.00,45.70
164.80,45.50
167.30,45.30
166.00,45.20
166.30,45.30
165.10,44.90
165.70,45.00
166.30,46.70
164.20,44.90
166.30,45.00
164.00,44.90
164.70,45.00
165.70,43.90
165.40,44.70
166.10,45.50
166.00,46.00
166.80,45.80
166.00,45.70
164.70,46.20
167.10,46.00
163.70,46.20
166.30,46.00
165.40,45.20
166.40,46.00
167.10,45.50
233.30,73.30
215.10,64.30
215.60,63.50
215.70,64.00
213.30,64.50
215.30,64.00
216.00,64.80
216.70,65.70
215.40,64.00
215.60,64.10
214.40,64.70
213.60,62.80
216.00,64.70
213.70,63.80
216.00,64.70
214.90,64.50
216.00,64.30
216.30,64.80
216.30,64.70
215.30,64.50
217.00,64.00
216.70,64.70
214.30,64.80
216.70,64.70
214.00,64.10
214.70,65.00
212.90,63.10
215.30,64.70
217.20,64.80
214.30,65.30
246.60,80.00
238.50,83.40
239.30,84.00
237.50,83.40
239.00,84.00
237.60,83.40
237.00,84.00
238.20,83.70
240.10,83.70
238.20,84.10
239.00,84.30
238.50,84.10
239.70,83.70
238.20,84.40
239.40,84.00
240.50,83.70
234.60,82.70
238.20,83.40
239.00,83.70
238.20,84.10
240.40,84.00
239.30,84.00
239.50,83.70
239.30,84.00
238.90,83.70
239.00,83.70
237.90,83.70
239.00,83.30
238.20,83.70
238.70,84.30
249.90,81.20
254.00,86.30
254.90,86.00
255.30,86.00
252.80,84.70
255.60,86.30
254.20,85.70
254.70,86.70
254.50,85.70
255.40,85.70
252.40,85.30
254.20,85.40
250.30,84.30
252.50,85.00
255.90,86.00
255.10,85.70
256.00,86.00
254.90,86.00
254.40,86.00
254.90,85.70
255.30,86.30
254.20,86.00
255.30,86.00
254.50,85.40
256.70,86.70
253.20,85.70
252.40,85.30
254.70,86.30
254.90,85.70
254.90,86.30
266.70,93.30
244.10,80.40
245.00,81.00
241.90,79.70
246.30,81.70
242.50,80.10
245.60,81.00
243.60,80.70
244.00,80.30
244.50,80.40
240.70,79.30
245.30,80.70
244.00,80.70
242.50,79.70
244.30,80.30
243.60,80.70
245.00,81.00
244.20,80.40
243.40,80.30
243.90,80.40
244.60,80.30
244.60,81.10
239.00,78.70
245.30,80.70
245.30,81.30
242.90,80.40
247.00,82.00
241.50,79.70
245.00,81.00
245.30,81.00
259.90,86.70
230.90,72.80
231.70,73.70
228.50,71.80
231.30,73.00
230.90,73.10
232.40,74.00
232.20,73.40
231.00,73.00
227.60,71.80
231.40,73.30
231.50,73.10
231.60,73.70
231.30,73.00
229.90,72.40
231.00,73.30
230.90,72.80
231.60,73.30
229.90,73.10
230.70,72.70
229.50,72.40
227.10,71.70
230.60,72.80
231.30,73.30
232.90,73.80
231.00,72.70
231.20,73.10
229.60,73.00
231.50,73.40
231.00,73.30
266.60,93.30
228.90,73.40
228.90,74.10
231.00,74.70
230.20,74.80
231.70,74.70
231.90,75.10
231.30,74.30
225.90,72.40
233.30,75.30
227.90,73.40
230.30,74.70
232.20,75.10
230.30,74.30
230.90,74.40
230.40,74.30
230.20,74.10
231.00,74.70
230.30,74.00
227.60,73.80
230.30,74.30
231.20,74.40
230.70,74.30
229.60,74.10
232.60,75.30
230.60,74.40
232.70,75.30
230.60,74.80
230.70,74.00
230.20,74.80
260.00,86.70
236.20,75.40
235.30,75.70
237.90,76.40
241.70,77.70
237.60,76.40
239.40,76.30
235.20,75.10
237.00,75.70
238.60,77.10
236.40,75.00
239.70,77.30
237.60,76.10
239.00,76.70
239.90,77.10
239.30,77.00
239.50,77.10
240.60,77.70
233.00,74.80
236.60,75.70
236.60,76.10
239.00,76.30
237.30,76.10
239.40,77.30
239.30,77.10
238.70,76.30
240.00,77.70
238.00,76.30
232.60,74.40
239.00,76.30
273.30,86.70
234.90,74.10
236.00,74.70
237.60,75.00
241.20,77.10
238.00,75.30
234.90,74.10
238.00,75.30
235.60,74.80
236.60,75.30
237.50,74.80
237.30,75.30
236.60,74.40
238.70,75.70
239.50,75.70
236.60,75.70
235.90,73.80
237.30,75.70
236.00,74.10
238.00,75.70
236.30,75.10
238.30,75.70
236.90,74.40
240.60,77.00
237.90,74.80
237.40,75.30
232.20,73.80
234.60,73.70
237.60,75.70
237.00,74.70
259.90,86.70
246.50,80.70
250.30,81.70
248.40,80.70
248.60,80.70
246.10,80.10
243.30,79.00
246.40,80.70
248.00,80.70
246.10,80.10
247.60,80.30
248.50,81.40
250.70,82.00
246.40,80.40
247.40,80.30
242.30,78.70
247.60,80.70
248.50,81.10
246.30,80.30
247.50,80.70
247.90,81.00
249.80,81.70
250.70,81.30
248.80,81.40
245.00,79.70
244.60,79.70
249.10,81.30
248.40,81.10
247.30,80.70
249.40,81.30
