#reactor,crimson-osd
11.70,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
13.00,2.60
