#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.30,27.70,7.00,0.00,0.00,0.00,0.00,0.00
18.30,27.60,6.90,0.00,0.00,0.00,0.00,0.00
18.70,28.30,7.30,0.00,0.00,0.00,0.00,0.00
17.90,27.60,7.30,0.00,0.00,0.00,0.00,0.00
18.70,28.00,7.00,0.00,0.00,0.00,0.00,0.00
17.90,27.60,7.00,0.00,0.00,0.00,0.00,0.00
18.30,27.30,7.00,0.00,0.00,0.00,0.00,0.00
18.30,27.90,6.60,0.00,0.00,0.00,0.00,0.00
17.60,27.30,7.30,0.00,0.00,0.00,0.00,0.00
18.60,28.20,6.60,0.00,0.00,0.00,0.00,0.00
18.30,27.30,7.70,0.00,0.00,0.00,0.00,0.00
18.30,27.60,6.60,0.00,0.00,0.00,0.00,0.00
18.30,28.00,7.00,0.00,0.00,0.00,0.00,0.00
18.00,28.00,7.70,0.00,0.00,0.00,0.00,0.00
18.60,27.90,6.90,0.00,0.00,0.00,0.00,0.00
18.40,27.30,7.30,0.00,0.00,0.00,0.00,0.00
17.90,27.60,6.90,0.00,0.00,0.00,0.00,0.00
18.30,28.00,7.00,0.00,0.00,0.00,0.00,0.00
18.20,27.20,6.90,0.00,0.00,0.00,0.00,0.00
18.30,28.00,6.70,0.00,0.00,0.00,0.00,0.00
17.60,27.60,6.90,0.00,0.00,0.00,0.00,0.00
19.00,28.70,7.00,0.00,0.00,0.00,0.00,0.00
18.30,27.20,7.30,0.00,0.00,0.00,0.00,0.00
18.00,27.70,6.30,0.00,0.00,0.00,0.00,0.00
17.90,27.90,7.90,0.00,0.00,0.00,0.00,0.00
18.70,27.70,7.00,0.00,0.00,0.00,0.00,0.00
18.20,27.60,7.70,0.00,0.00,0.00,0.00,0.00
18.00,27.30,6.70,0.00,0.00,0.00,0.00,0.00
18.20,27.90,6.90,0.00,0.00,0.00,0.00,0.00
33.30,33.30,13.30,0.00,0.00,0.00,0.00,0.00
29.40,41.70,12.00,0.00,0.00,0.00,0.00,0.00
29.20,40.50,11.00,0.00,0.00,0.00,0.00,0.00
29.70,41.00,11.00,0.00,0.00,0.00,0.00,0.00
29.20,40.90,11.60,0.00,0.00,0.00,0.00,0.00
29.70,40.70,12.00,0.00,0.00,0.00,0.00,0.00
29.20,40.90,11.70,0.00,0.00,0.00,0.00,0.00
29.70,41.00,11.00,0.00,0.00,0.00,0.00,0.00
29.20,40.90,11.00,0.00,0.00,0.00,0.00,0.00
32.40,42.70,11.00,0.00,0.00,0.00,0.00,0.00
33.60,42.90,10.60,0.00,0.00,0.00,0.00,0.00
33.30,43.30,10.30,0.00,0.00,0.00,0.00,0.00
