reactor,crimson-osd
80.00,53.30
166.30,43.00
167.00,42.90
168.00,42.70
166.80,42.20
167.30,41.00
166.50,42.50
169.30,42.70
166.70,42.50
167.70,43.00
166.80,42.50
167.00,42.70
167.40,41.90
167.40,42.30
167.70,42.30
166.70,42.90
168.00,43.70
167.10,43.50
167.30,42.70
166.80,43.50
166.10,43.30
167.40,43.20
166.70,42.30
167.10,43.50
168.30,42.30
165.50,42.20
168.30,42.00
167.10,42.90
169.40,42.30
166.70,42.50
206.60,73.30
194.30,67.70
195.00,68.80
195.60,69.70
196.00,68.80
193.70,69.70
195.60,69.10
195.00,68.70
195.70,67.80
192.70,66.70
191.70,65.80
192.00,67.00
191.40,67.10
193.00,68.00
195.60,69.10
196.00,69.30
196.00,68.40
195.00,69.70
196.70,68.10
195.30,69.00
192.10,66.10
192.00,67.00
190.70,67.00
192.00,67.10
192.90,67.70
195.00,69.10
193.70,68.00
195.00,68.40
191.30,68.00
196.30,69.80
226.70,93.30
229.70,84.30
226.60,83.70
229.30,84.30
228.60,84.10
228.60,84.00
228.90,84.10
227.30,83.70
227.70,84.40
228.10,84.00
228.30,84.40
228.00,84.70
227.60,84.10
227.70,84.30
227.30,83.70
227.70,84.00
226.60,84.10
225.70,83.00
228.30,83.70
239.70,88.30
239.50,89.40
240.30,89.30
238.20,88.70
239.00,89.00
229.20,85.70
239.00,88.70
232.80,85.70
233.70,87.30
238.20,88.00
238.30,88.70
246.70,86.70
244.90,88.40
246.30,88.30
244.50,88.40
245.90,88.30
242.90,88.00
252.30,91.70
258.80,94.00
257.60,94.00
192.00,60.10
236.00,83.00
216.90,73.40
260.70,94.30
254.80,92.70
254.70,92.00
247.10,89.70
250.30,90.70
249.50,90.00
249.60,90.30
247.50,89.40
250.10,90.30
248.90,90.00
251.60,91.30
250.00,90.30
248.60,89.70
249.30,90.30
250.80,90.70
249.00,90.00
248.20,90.00
253.40,91.70
253.30,93.30
263.50,93.70
263.60,94.30
260.70,93.40
264.30,94.30
263.80,93.70
264.30,94.70
263.10,93.70
265.00,94.70
259.50,92.70
263.30,94.30
263.50,94.40
264.30,94.00
264.10,94.00
263.60,94.00
265.00,94.30
262.40,94.00
264.00,94.70
263.80,94.00
263.70,94.30
259.80,93.00
263.00,94.00
262.80,94.00
264.30,94.00
263.40,94.40
264.30,94.30
264.10,93.70
264.00,94.30
264.10,94.40
263.90,94.30
260.00,93.30
252.50,86.40
262.90,92.00
263.50,91.00
265.40,92.30
265.10,91.70
264.70,91.70
264.10,92.00
260.70,90.30
263.80,91.70
264.90,92.00
264.20,91.70
265.90,92.00
260.10,90.40
236.30,80.00
235.20,78.70
236.30,79.30
233.20,78.40
233.30,78.70
229.20,77.10
232.60,77.70
232.50,78.70
234.70,78.30
240.80,81.70
265.30,92.00
263.50,92.00
265.60,92.00
263.10,91.40
264.70,92.30
263.50,91.40
273.30,99.90
244.50,94.70
231.00,94.00
234.60,93.40
233.70,94.30
224.70,93.40
227.60,93.70
225.00,93.70
222.00,92.30
225.90,93.70
224.40,93.30
226.20,93.70
225.30,94.00
223.20,93.00
245.70,95.00
261.20,95.30
253.00,95.70
173.70,72.10
242.00,90.00
171.40,70.40
248.70,91.70
241.20,94.70
245.10,95.00
230.90,94.00
230.40,94.00
249.60,94.70
230.40,94.30
226.90,93.70
233.40,94.00
224.30,93.40
279.90,93.30
275.70,93.40
270.30,91.00
275.10,93.00
276.60,93.70
275.40,93.00
272.00,92.00
276.40,93.40
277.00,93.70
276.00,93.00
277.00,94.00
276.10,93.40
276.90,93.70
275.70,93.40
276.60,93.70
271.40,92.00
276.30,93.30
275.40,93.00
276.00,93.30
275.40,93.70
277.00,93.30
277.30,93.70
276.10,93.40
277.00,93.70
271.80,92.00
276.60,93.70
275.40,93.40
276.60,93.30
274.80,92.70
276.00,94.00
246.60,93.30
234.30,95.30
232.60,94.00
240.30,95.70
240.80,95.30
234.30,94.70
232.90,94.70
230.00,93.30
231.60,94.70
233.10,94.70
233.60,94.70
234.40,95.30
234.30,95.00
238.90,95.00
236.10,95.00
233.20,95.00
234.70,95.00
235.90,94.70
233.00,93.70
235.90,95.00
235.30,95.00
232.60,94.70
234.30,95.00
233.60,94.70
234.30,95.00
234.60,95.00
234.30,94.70
233.90,95.00
228.60,93.00
234.60,95.00
253.30,93.30
252.30,88.00
249.20,86.40
250.00,87.00
251.10,87.00
250.70,88.00
249.50,86.70
247.60,86.30
252.50,87.70
252.70,88.30
252.70,88.30
250.50,87.70
253.00,88.00
250.20,87.70
250.30,87.00
248.50,87.00
248.30,86.00
249.50,87.40
252.40,87.30
251.80,88.00
252.70,88.30
251.40,87.70
253.00,88.30
250.80,88.00
251.30,87.70
249.50,86.70
248.00,86.70
249.50,87.00
252.10,87.70
252.40,87.70
