## num_jobs: 1
# iodepth iops total_ios clat_ms clat_stdev usr_cpu sys_cpu OSD_cpu OSD_mem FIO_cpu FIO_mem
 1  6158.71  1847618.00  0.16  0.03  3.25  3.51  200.38  18.51  49.48  0.21 
 2  11904.03  3571220.00  0.16  0.04  4.65  5.12  260.90  19.20  82.25  0.91 
 4  17695.33  5308617.00  0.22  0.07  7.31  6.78  315.01  19.20  93.15  1.23 
 8  22980.13  6894061.00  0.34  0.15  8.02  6.83  334.62  19.20  96.76  1.39 
 16  26991.96  8097616.00  0.59  0.23  9.27  7.01  356.68  19.20  78.70  1.97 
 24  31466.29  9439919.00  0.76  0.29  9.03  6.04  340.97  19.20  101.24  2.08 
 32  30314.58  9094405.00  1.05  0.40  11.75  8.18  325.39  19.20  118.36  1.97 
 40  36796.43  11038967.00  1.08  0.39  10.74  6.63  367.12  19.20  94.79  2.29 
 52  33780.39  10134185.00  1.53  0.49  13.18  8.44  330.81  19.20  136.44  2.13 
 64  36244.82  10873517.00  1.76  0.51  14.10  9.02  338.17  19.20  147.77  2.24 
