## num_jobs: 1
# iodepth iops total_ios clat_ms clat_stdev usr_cpu sys_cpu OSD_cpu OSD_mem FIO_cpu FIO_mem
 1  2483.79  745140.00  0.40  0.18  2.20  1.82  177.88  12.80  26.80  0.00 
 2  3967.23  1190173.00  0.50  0.31  3.51  2.76  230.42  15.56  41.08  0.00 
 4  5543.89  1663174.00  0.71  0.50  4.54  3.38  268.53  15.60  51.11  0.05 
 8  6862.51  2058760.00  1.16  1.03  5.61  3.64  314.72  15.60  58.26  0.43 
 16  7298.38  2189529.00  2.18  2.36  5.59  3.44  324.58  15.60  61.13  0.48 
 24  7101.38  2130442.00  3.37  5.99  5.66  3.57  335.53  15.60  58.83  0.48 
 32  6408.67  1922728.00  4.98  12.18  5.00  3.23  321.84  15.60  52.68  0.32 
 40  6567.71  1970385.00  6.08  14.98  5.18  3.25  330.27  15.60  52.93  0.37 
 52  5958.48  1787706.00  8.71  26.68  4.81  3.01  163.60  15.60  24.81  0.05 
 64  5917.22  1775414.00  10.80  37.25  4.60  3.05  305.08  15.60  48.14  0.16 
