#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.90,28.20,8.00,0.00,0.00,0.00,0.00,0.00
18.40,28.00,6.70,0.00,0.00,0.00,0.00,0.00
18.20,28.10,6.90,0.00,0.00,0.00,0.00,0.00
17.30,28.00,7.30,0.00,0.00,0.00,0.00,0.00
18.00,28.20,7.60,0.00,0.00,0.00,0.00,0.00
18.00,28.00,7.40,0.00,0.00,0.00,0.00,0.00
17.20,27.60,7.00,0.00,0.00,0.00,0.00,0.00
18.30,28.70,7.30,0.00,0.00,0.00,0.00,0.00
17.90,27.90,7.00,0.00,0.00,0.00,0.00,0.00
18.70,28.70,7.70,0.00,0.00,0.00,0.00,0.00
17.30,27.90,6.90,0.00,0.00,0.00,0.00,0.00
18.00,28.30,7.30,0.00,0.00,0.00,0.00,0.00
17.90,27.90,7.30,0.00,0.00,0.00,0.00,0.00
18.00,28.30,7.30,0.00,0.00,0.00,0.00,0.00
18.30,28.20,7.30,0.00,0.00,0.00,0.00,0.00
17.70,28.30,7.00,0.00,0.00,0.00,0.00,0.00
17.60,27.90,6.90,0.00,0.00,0.00,0.00,0.00
18.30,28.00,7.30,0.00,0.00,0.00,0.00,0.00
17.90,27.90,8.00,0.00,0.00,0.00,0.00,0.00
17.70,28.30,7.00,0.00,0.00,0.00,0.00,0.00
17.60,28.20,7.00,0.00,0.00,0.00,0.00,0.00
18.40,28.30,7.30,0.00,0.00,0.00,0.00,0.00
17.90,27.90,6.90,0.00,0.00,0.00,0.00,0.00
17.60,27.70,8.00,0.00,0.00,0.00,0.00,0.00
18.00,28.60,7.30,0.00,0.00,0.00,0.00,0.00
18.00,27.70,6.70,0.00,0.00,0.00,0.00,0.00
18.30,28.60,7.60,0.00,0.00,0.00,0.00,0.00
18.00,28.00,7.00,0.00,0.00,0.00,0.00,0.00
16.90,28.20,9.20,0.00,0.00,0.00,0.00,0.00
18.70,31.20,6.20,0.00,0.00,0.00,0.00,0.00
31.70,41.70,11.60,0.00,0.00,0.00,0.00,0.00
29.40,41.70,11.30,0.00,0.00,0.00,0.00,0.00
29.60,42.20,11.60,0.00,0.00,0.00,0.00,0.00
29.30,41.70,12.00,0.00,0.00,0.00,0.00,0.00
30.00,42.50,11.30,0.00,0.00,0.00,0.00,0.00
31.40,41.70,11.60,0.00,0.00,0.00,0.00,0.00
30.00,41.50,11.60,0.00,0.00,0.00,0.00,0.00
30.00,42.30,11.30,0.00,0.00,0.00,0.00,0.00
28.90,41.50,11.90,0.00,0.00,0.00,0.00,0.00
30.30,42.30,11.60,0.00,0.00,0.00,0.00,0.00
28.90,41.90,11.60,0.00,0.00,0.00,0.00,0.00
30.30,42.00,12.40,0.00,0.00,0.00,0.00,0.00
28.90,41.90,11.30,0.00,0.00,0.00,0.00,0.00
30.00,41.70,11.60,0.00,0.00,0.00,0.00,0.00
29.60,42.50,11.60,0.00,0.00,0.00,0.00,0.00
29.30,42.30,11.30,0.00,0.00,0.00,0.00,0.00
29.60,41.90,11.60,0.00,0.00,0.00,0.00,0.00
30.00,42.70,12.00,0.00,0.00,0.00,0.00,0.00
29.20,42.20,11.70,0.00,0.00,0.00,0.00,0.00
29.70,42.00,11.30,0.00,0.00,0.00,0.00,0.00
29.30,42.00,11.30,0.00,0.00,0.00,0.00,0.00
29.30,42.20,11.90,0.00,0.00,0.00,0.00,0.00
29.30,42.30,11.00,0.00,0.00,0.00,0.00,0.00
29.30,41.90,11.90,0.00,0.00,0.00,0.00,0.00
30.00,42.70,11.60,0.00,0.00,0.00,0.00,0.00
28.60,40.90,12.60,0.00,0.00,0.00,0.00,0.00
29.70,42.70,12.00,0.00,0.00,0.00,0.00,0.00
30.00,42.20,11.60,0.00,0.00,0.00,0.00,0.00
29.00,42.00,11.00,0.00,0.00,0.00,0.00,0.00
40.00,40.00,13.30,0.00,0.00,0.00,0.00,0.00
45.20,50.50,15.90,0.00,0.00,0.00,0.00,0.00
43.30,50.30,15.30,0.00,0.00,0.00,0.00,0.00
42.90,50.50,15.60,0.00,0.00,0.00,0.00,0.00
43.40,50.70,16.00,0.00,0.00,0.00,0.00,0.00
43.50,51.20,16.20,0.00,0.00,0.00,0.00,0.00
42.60,50.30,16.60,0.00,0.00,0.00,0.00,0.00
42.20,50.50,15.30,0.00,0.00,0.00,0.00,0.00
43.00,50.70,16.70,0.00,0.00,0.00,0.00,0.00
42.90,50.20,15.30,0.00,0.00,0.00,0.00,0.00
43.00,51.00,16.30,0.00,0.00,0.00,0.00,0.00
42.60,49.80,15.60,0.00,0.00,0.00,0.00,0.00
42.60,50.70,15.30,0.00,0.00,0.00,0.00,0.00
42.60,50.50,16.50,0.00,0.00,0.00,0.00,0.00
43.00,50.30,15.30,0.00,0.00,0.00,0.00,0.00
42.90,50.20,17.60,0.00,0.00,0.00,0.00,0.00
42.60,50.70,15.60,0.00,0.00,0.00,0.00,0.00
42.20,49.80,15.60,0.00,0.00,0.00,0.00,0.00
43.00,50.70,16.00,0.00,0.00,0.00,0.00,0.00
42.60,50.50,15.30,0.00,0.00,0.00,0.00,0.00
43.40,51.00,16.00,0.00,0.00,0.00,0.00,0.00
42.30,50.30,15.70,0.00,0.00,0.00,0.00,0.00
43.50,51.20,15.90,0.00,0.00,0.00,0.00,0.00
43.00,50.70,16.00,0.00,0.00,0.00,0.00,0.00
42.20,50.20,15.00,0.00,0.00,0.00,0.00,0.00
43.00,51.00,16.30,0.00,0.00,0.00,0.00,0.00
42.90,50.20,15.30,0.00,0.00,0.00,0.00,0.00
43.70,51.30,16.60,0.00,0.00,0.00,0.00,0.00
42.60,50.50,15.60,0.00,0.00,0.00,0.00,0.00
43.00,50.70,16.00,0.00,0.00,0.00,0.00,0.00
46.70,46.70,13.30,0.00,0.00,0.00,0.00,0.00
55.50,51.80,20.90,0.00,0.00,0.00,0.00,0.00
59.40,51.70,17.70,0.00,0.00,0.00,0.00,0.00
58.80,51.50,17.60,0.00,0.00,0.00,0.00,0.00
51.00,51.30,19.30,0.00,0.00,0.00,0.00,0.00
51.50,51.80,17.90,0.00,0.00,0.00,0.00,0.00
51.40,51.70,18.00,0.00,0.00,0.00,0.00,0.00
51.50,51.80,18.60,0.00,0.00,0.00,0.00,0.00
51.70,52.30,18.30,0.00,0.00,0.00,0.00,0.00
51.20,51.20,17.90,0.00,0.00,0.00,0.00,0.00
52.00,52.70,19.00,0.00,0.00,0.00,0.00,0.00
50.60,51.00,19.30,0.00,0.00,0.00,0.00,0.00
51.20,51.20,17.90,0.00,0.00,0.00,0.00,0.00
51.70,52.00,18.30,0.00,0.00,0.00,0.00,0.00
51.10,51.80,17.90,0.00,0.00,0.00,0.00,0.00
52.00,52.00,18.90,0.00,0.00,0.00,0.00,0.00
51.20,51.50,18.20,0.00,0.00,0.00,0.00,0.00
50.60,51.30,18.30,0.00,0.00,0.00,0.00,0.00
51.80,52.20,18.90,0.00,0.00,0.00,0.00,0.00
51.70,51.70,18.00,0.00,0.00,0.00,0.00,0.00
51.50,52.50,18.90,0.00,0.00,0.00,0.00,0.00
51.70,51.30,17.70,0.00,0.00,0.00,0.00,0.00
51.50,52.20,18.60,0.00,0.00,0.00,0.00,0.00
51.00,51.70,18.30,0.00,0.00,0.00,0.00,0.00
51.20,51.20,17.90,0.00,0.00,0.00,0.00,0.00
52.00,52.70,18.70,0.00,0.00,0.00,0.00,0.00
50.40,50.50,19.50,0.00,0.00,0.00,0.00,0.00
52.00,52.30,18.70,0.00,0.00,0.00,0.00,0.00
51.20,51.80,18.20,0.00,0.00,0.00,0.00,0.00
52.00,51.70,18.30,0.00,0.00,0.00,0.00,0.00
53.40,46.70,20.00,0.00,0.00,0.00,0.00,0.00
61.20,53.80,21.30,0.00,0.00,0.00,0.00,0.00
61.00,53.70,21.30,0.00,0.00,0.00,0.00,0.00
61.50,54.50,22.90,0.00,0.00,0.00,0.00,0.00
62.30,54.30,21.30,0.00,0.00,0.00,0.00,0.00
61.50,54.20,22.20,0.00,0.00,0.00,0.00,0.00
64.00,53.70,23.60,0.00,0.00,0.00,0.00,0.00
61.50,53.80,21.30,0.00,0.00,0.00,0.00,0.00
61.70,54.30,21.60,0.00,0.00,0.00,0.00,0.00
59.50,53.20,23.20,0.00,0.00,0.00,0.00,0.00
61.40,54.00,21.60,0.00,0.00,0.00,0.00,0.00
61.80,54.20,21.60,0.00,0.00,0.00,0.00,0.00
61.40,54.00,22.00,0.00,0.00,0.00,0.00,0.00
61.80,54.80,21.60,0.00,0.00,0.00,0.00,0.00
61.00,53.70,21.30,0.00,0.00,0.00,0.00,0.00
61.80,54.20,21.90,0.00,0.00,0.00,0.00,0.00
60.60,54.30,21.60,0.00,0.00,0.00,0.00,0.00
62.10,54.20,21.60,0.00,0.00,0.00,0.00,0.00
61.00,54.30,21.70,0.00,0.00,0.00,0.00,0.00
61.10,53.80,21.20,0.00,0.00,0.00,0.00,0.00
61.70,54.70,22.60,0.00,0.00,0.00,0.00,0.00
61.40,53.70,21.00,0.00,0.00,0.00,0.00,0.00
60.80,53.80,23.30,0.00,0.00,0.00,0.00,0.00
60.60,54.00,21.30,0.00,0.00,0.00,0.00,0.00
60.40,53.80,21.60,0.00,0.00,0.00,0.00,0.00
62.00,54.00,21.30,0.00,0.00,0.00,0.00,0.00
61.20,53.80,21.60,0.00,0.00,0.00,0.00,0.00
62.00,55.30,22.00,0.00,0.00,0.00,0.00,0.00
61.20,53.80,20.90,0.00,0.00,0.00,0.00,0.00
60.30,54.00,21.30,0.00,0.00,0.00,0.00,0.00
46.70,40.00,13.30,0.00,0.00,0.00,0.00,0.00
63.50,52.50,21.90,0.00,0.00,0.00,0.00,0.00
62.60,51.30,22.40,0.00,0.00,0.00,0.00,0.00
62.10,51.80,22.30,0.00,0.00,0.00,0.00,0.00
63.00,51.70,22.00,0.00,0.00,0.00,0.00,0.00
63.40,52.00,22.30,0.00,0.00,0.00,0.00,0.00
62.50,51.80,21.90,0.00,0.00,0.00,0.00,0.00
63.00,51.30,22.00,0.00,0.00,0.00,0.00,0.00
62.80,52.20,22.20,0.00,0.00,0.00,0.00,0.00
61.70,51.00,23.70,0.00,0.00,0.00,0.00,0.00
63.50,52.20,21.90,0.00,0.00,0.00,0.00,0.00
62.00,51.30,21.60,0.00,0.00,0.00,0.00,0.00
62.10,51.50,21.60,0.00,0.00,0.00,0.00,0.00
63.70,52.70,22.60,0.00,0.00,0.00,0.00,0.00
62.40,51.50,21.90,0.00,0.00,0.00,0.00,0.00
63.70,52.30,22.30,0.00,0.00,0.00,0.00,0.00
62.10,51.80,22.00,0.00,0.00,0.00,0.00,0.00
62.60,51.30,21.70,0.00,0.00,0.00,0.00,0.00
62.40,51.80,22.20,0.00,0.00,0.00,0.00,0.00
62.60,51.30,22.00,0.00,0.00,0.00,0.00,0.00
62.80,51.80,22.20,0.00,0.00,0.00,0.00,0.00
62.00,51.00,22.70,0.00,0.00,0.00,0.00,0.00
63.40,52.30,22.70,0.00,0.00,0.00,0.00,0.00
62.40,51.20,21.60,0.00,0.00,0.00,0.00,0.00
62.60,52.30,22.30,0.00,0.00,0.00,0.00,0.00
62.80,51.50,21.60,0.00,0.00,0.00,0.00,0.00
62.60,52.30,22.70,0.00,0.00,0.00,0.00,0.00
63.10,51.80,21.60,0.00,0.00,0.00,0.00,0.00
62.60,52.00,22.30,0.00,0.00,0.00,0.00,0.00
62.10,51.20,21.30,0.00,0.00,0.00,0.00,0.00
46.70,46.70,13.30,0.00,0.00,0.00,0.00,0.00
66.30,52.70,23.30,0.00,0.00,0.00,0.00,0.00
64.80,51.50,23.90,0.00,0.00,0.00,0.00,0.00
67.00,53.30,24.00,0.00,0.00,0.00,0.00,0.00
65.80,52.20,23.50,0.00,0.00,0.00,0.00,0.00
67.40,52.70,23.30,0.00,0.00,0.00,0.00,0.00
66.40,52.20,23.20,0.00,0.00,0.00,0.00,0.00
66.30,52.30,23.30,0.00,0.00,0.00,0.00,0.00
65.10,52.20,25.00,0.00,0.00,0.00,0.00,0.00
66.00,52.70,23.00,0.00,0.00,0.00,0.00,0.00
66.80,52.80,23.90,0.00,0.00,0.00,0.00,0.00
65.40,52.00,23.30,0.00,0.00,0.00,0.00,0.00
65.80,52.50,24.30,0.00,0.00,0.00,0.00,0.00
66.00,52.70,23.00,0.00,0.00,0.00,0.00,0.00
65.80,52.20,23.60,0.00,0.00,0.00,0.00,0.00
