#reactor,crimson-osd
12.60,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
14.00,2.80
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
15.00,3.00
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
16.00,3.20
