#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.30,9.30,5.30,0.00,0.00,0.00,0.00,0.00
14.00,9.30,4.70,0.00,0.00,0.00,0.00,0.00
14.00,9.60,5.00,0.00,0.00,0.00,0.00,0.00
14.00,9.00,5.00,0.00,0.00,0.00,0.00,0.00
14.30,9.30,5.30,0.00,0.00,0.00,0.00,0.00
14.30,9.40,5.00,0.00,0.00,0.00,0.00,0.00
13.60,8.90,5.60,0.00,0.00,0.00,0.00,0.00
14.30,9.70,5.00,0.00,0.00,0.00,0.00,0.00
14.00,9.40,5.00,0.00,0.00,0.00,0.00,0.00
14.30,9.30,5.70,0.00,0.00,0.00,0.00,0.00
14.00,9.30,4.30,0.00,0.00,0.00,0.00,0.00
14.30,9.00,5.30,0.00,0.00,0.00,0.00,0.00
14.00,9.30,5.00,0.00,0.00,0.00,0.00,0.00
14.00,9.00,5.30,0.00,0.00,0.00,0.00,0.00
14.00,10.00,5.30,0.00,0.00,0.00,0.00,0.00
14.30,9.00,5.00,0.00,0.00,0.00,0.00,0.00
14.00,9.30,5.60,0.00,0.00,0.00,0.00,0.00
14.30,9.00,5.00,0.00,0.00,0.00,0.00,0.00
14.00,9.90,5.00,0.00,0.00,0.00,0.00,0.00
14.30,9.00,5.00,0.00,0.00,0.00,0.00,0.00
14.00,9.30,5.30,0.00,0.00,0.00,0.00,0.00
14.30,9.40,5.00,0.00,0.00,0.00,0.00,0.00
14.00,9.00,4.70,0.00,0.00,0.00,0.00,0.00
14.00,9.60,5.00,0.00,0.00,0.00,0.00,0.00
14.30,9.60,5.60,0.00,0.00,0.00,0.00,0.00
14.30,9.30,5.30,0.00,0.00,0.00,0.00,0.00
14.00,9.00,5.00,0.00,0.00,0.00,0.00,0.00
14.30,9.30,5.30,0.00,0.00,0.00,0.00,0.00
13.60,9.30,5.00,0.00,0.00,0.00,0.00,0.00
6.70,6.70,0.00,0.00,0.00,0.00,0.00,0.00
20.90,14.90,6.00,0.00,0.00,0.00,0.00,0.00
19.90,14.60,7.00,0.00,0.00,0.00,0.00,0.00
20.00,15.00,6.00,0.00,0.00,0.00,0.00,0.00
19.30,14.30,6.30,0.00,0.00,0.00,0.00,0.00
20.30,15.00,6.30,0.00,0.00,0.00,0.00,0.00
19.90,14.60,6.30,0.00,0.00,0.00,0.00,0.00
19.70,15.00,6.30,0.00,0.00,0.00,0.00,0.00
20.00,14.30,6.60,0.00,0.00,0.00,0.00,0.00
20.30,14.60,6.00,0.00,0.00,0.00,0.00,0.00
20.30,15.00,6.70,0.00,0.00,0.00,0.00,0.00
19.60,14.90,6.30,0.00,0.00,0.00,0.00,0.00
19.90,14.60,6.00,0.00,0.00,0.00,0.00,0.00
20.00,15.00,6.00,0.00,0.00,0.00,0.00,0.00
20.00,15.00,7.40,0.00,0.00,0.00,0.00,0.00
20.60,14.90,6.00,0.00,0.00,0.00,0.00,0.00
19.70,14.30,6.70,0.00,0.00,0.00,0.00,0.00
19.60,14.30,6.30,0.00,0.00,0.00,0.00,0.00
20.00,15.40,6.60,0.00,0.00,0.00,0.00,0.00
19.60,14.90,6.30,0.00,0.00,0.00,0.00,0.00
20.00,14.60,6.70,0.00,0.00,0.00,0.00,0.00
19.30,14.60,6.00,0.00,0.00,0.00,0.00,0.00
20.30,15.00,6.30,0.00,0.00,0.00,0.00,0.00
19.60,14.60,6.30,0.00,0.00,0.00,0.00,0.00
19.30,15.00,6.30,0.00,0.00,0.00,0.00,0.00
20.30,14.60,5.90,0.00,0.00,0.00,0.00,0.00
19.30,14.60,6.60,0.00,0.00,0.00,0.00,0.00
19.60,14.60,6.30,0.00,0.00,0.00,0.00,0.00
19.70,14.60,6.00,0.00,0.00,0.00,0.00,0.00
20.00,15.00,6.60,0.00,0.00,0.00,0.00,0.00
13.30,13.40,0.00,0.00,0.00,0.00,0.00,0.00
24.70,22.30,10.30,0.00,0.00,0.00,0.00,0.00
23.90,21.30,10.30,0.00,0.00,0.00,0.00,0.00
24.30,22.30,10.30,0.00,0.00,0.00,0.00,0.00
24.30,20.20,9.30,0.00,0.00,0.00,0.00,0.00
24.70,20.00,8.30,0.00,0.00,0.00,0.00,0.00
24.30,18.60,8.70,0.00,0.00,0.00,0.00,0.00
24.30,19.40,8.00,0.00,0.00,0.00,0.00,0.00
23.60,18.90,7.90,0.00,0.00,0.00,0.00,0.00
23.70,18.60,8.30,0.00,0.00,0.00,0.00,0.00
24.60,19.20,8.70,0.00,0.00,0.00,0.00,0.00
24.00,19.00,8.30,0.00,0.00,0.00,0.00,0.00
23.90,20.60,8.70,0.00,0.00,0.00,0.00,0.00
24.70,22.30,8.00,0.00,0.00,0.00,0.00,0.00
23.90,22.60,8.30,0.00,0.00,0.00,0.00,0.00
25.00,22.60,8.00,0.00,0.00,0.00,0.00,0.00
23.70,21.70,8.70,0.00,0.00,0.00,0.00,0.00
23.90,20.00,8.00,0.00,0.00,0.00,0.00,0.00
24.30,19.40,8.60,0.00,0.00,0.00,0.00,0.00
23.90,19.20,7.90,0.00,0.00,0.00,0.00,0.00
24.70,19.40,9.00,0.00,0.00,0.00,0.00,0.00
23.90,18.90,7.60,0.00,0.00,0.00,0.00,0.00
24.30,19.30,8.60,0.00,0.00,0.00,0.00,0.00
24.30,19.60,8.30,0.00,0.00,0.00,0.00,0.00
24.70,19.70,8.70,0.00,0.00,0.00,0.00,0.00
24.60,19.60,8.30,0.00,0.00,0.00,0.00,0.00
23.60,18.60,7.90,0.00,0.00,0.00,0.00,0.00
24.70,22.00,8.90,0.00,0.00,0.00,0.00,0.00
24.30,21.30,9.30,0.00,0.00,0.00,0.00,0.00
23.60,18.90,8.20,0.00,0.00,0.00,0.00,0.00
13.30,13.40,0.00,0.00,0.00,0.00,0.00,0.00
25.90,22.00,8.60,0.00,0.00,0.00,0.00,0.00
26.00,22.60,9.00,0.00,0.00,0.00,0.00,0.00
25.90,22.00,9.00,0.00,0.00,0.00,0.00,0.00
26.00,21.70,8.60,0.00,0.00,0.00,0.00,0.00
26.60,22.90,9.30,0.00,0.00,0.00,0.00,0.00
26.30,22.30,9.00,0.00,0.00,0.00,0.00,0.00
25.20,21.60,8.60,0.00,0.00,0.00,0.00,0.00
26.00,21.70,8.30,0.00,0.00,0.00,0.00,0.00
25.60,21.60,8.90,0.00,0.00,0.00,0.00,0.00
26.00,22.30,9.60,0.00,0.00,0.00,0.00,0.00
26.20,22.00,8.60,0.00,0.00,0.00,0.00,0.00
25.70,22.00,9.00,0.00,0.00,0.00,0.00,0.00
