## num_jobs: 1
# iodepth iops total_ios clat_ms clat_stdev usr_cpu sys_cpu OSD_cpu OSD_mem FIO_cpu FIO_mem
 1  2396.47  718942.00  0.41  0.22  2.99  1.75  177.18  18.51  26.65  0.00 
 2  3981.33  1194403.00  0.49  0.31  3.66  2.92  223.80  19.20  39.62  0.00 
 4  5588.00  1676405.00  0.71  0.53  4.72  3.43  281.54  19.20  51.83  0.05 
 8  6670.88  2001272.00  1.19  1.03  5.10  3.70  302.73  19.20  55.94  0.37 
 16  6818.90  2045724.00  2.34  3.96  4.96  3.38  319.73  19.20  57.44  0.43 
 24  6318.98  1895967.00  3.79  7.68  4.70  2.95  310.41  19.20  50.12  0.32 
 32  5630.39  427369.00  5.67  18.49  4.27  2.93  305.98  19.20  48.13  0.16 
 40  5819.68  1745945.00  6.86  21.22  4.48  2.71  43.63  19.20  6.34  0.00 
 52  5175.20  64514.00  9.95  37.76  3.67  2.74  228.62  19.20  34.77  0.00 
 64  5300.45  197903.00  12.03  46.31  4.17  2.40  290.03  19.20  45.04  0.11 
