#reactor,crimson-osd
23.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
