reactor,crimson-osd
40.00,20.00
213.40,18.00
215.00,17.90
212.00,18.00
213.10,17.60
213.70,17.30
213.50,17.30
215.60,17.70
213.30,16.90
216.00,18.00
213.30,17.60
214.40,17.70
214.70,17.90
214.30,16.90
216.40,17.70
212.30,18.00
216.30,16.90
213.40,18.60
214.60,17.00
214.10,17.30
212.20,17.30
215.00,16.90
214.30,16.30
215.30,17.30
214.70,18.30
212.20,16.90
213.00,18.00
212.60,17.60
213.60,18.00
214.90,17.30
346.60,33.30
313.40,33.00
312.70,32.90
313.20,31.70
312.70,31.60
312.60,32.70
313.70,33.60
313.60,33.30
314.00,32.60
316.40,32.30
314.60,32.90
314.10,32.30
312.60,32.90
314.40,32.00
313.70,33.60
313.90,33.00
313.30,33.60
316.30,32.70
314.30,32.60
316.60,33.00
314.70,32.90
315.70,33.30
313.10,32.20
313.90,33.30
313.30,33.20
308.70,32.70
314.70,33.20
313.70,32.00
314.10,32.60
315.10,32.70
418.60,56.20
399.60,52.70
400.90,53.20
400.60,54.00
401.00,54.20
399.10,52.70
400.90,53.50
401.90,53.30
399.30,52.80
402.90,54.70
401.30,54.50
405.00,53.70
402.40,52.80
401.10,54.00
395.40,53.20
402.60,53.70
402.70,54.50
403.70,53.00
399.40,52.50
403.60,53.30
400.10,54.20
404.30,54.70
400.70,53.20
401.00,53.70
401.40,53.50
400.70,54.00
400.70,53.20
401.40,54.00
404.30,53.50
402.30,52.70
546.60,66.70
490.00,62.50
490.30,62.00
493.70,62.80
498.00,63.00
492.90,62.50
495.30,62.70
495.00,63.50
493.00,61.30
486.80,61.80
493.60,62.70
493.30,63.50
494.70,62.70
492.40,61.50
495.00,62.70
492.60,62.10
493.60,62.30
494.00,61.50
490.30,61.30
490.80,61.50
492.00,63.30
485.80,62.10
496.40,62.00
493.00,62.50
495.60,62.70
491.30,61.80
494.70,62.30
492.00,60.80
494.70,62.30
494.30,62.50
600.00,80.00
505.90,64.80
507.00,65.30
507.10,65.40
510.60,66.00
508.70,64.50
518.30,67.30
500.40,65.10
508.30,65.30
511.50,66.10
506.60,64.70
509.50,65.10
510.20,65.80
510.90,65.00
509.60,65.80
511.30,66.00
510.60,66.10
507.10,65.30
508.70,65.40
512.00,66.00
503.70,65.10
511.60,64.70
506.00,64.50
510.70,65.70
507.80,65.10
508.00,65.30
508.90,65.10
508.60,65.70
503.90,64.80
508.70,64.70
566.70,73.30
459.10,59.10
470.90,61.10
468.30,60.70
470.70,61.80
466.80,59.30
466.00,59.80
465.40,60.00
464.10,61.10
472.30,60.30
461.70,60.50
470.90,60.70
470.50,61.10
461.60,59.30
468.50,60.50
465.70,60.00
468.70,61.80
463.60,59.00
463.20,60.10
469.70,61.00
459.40,59.50
471.70,60.70
462.00,58.80
468.00,60.70
467.00,60.50
465.70,59.70
466.30,60.50
463.00,60.00
459.80,59.80
475.90,61.70
573.30,73.30
450.00,58.00
455.20,59.10
449.00,57.70
451.60,57.10
450.70,58.30
443.20,57.10
459.30,59.30
448.80,57.80
459.70,59.30
452.10,58.10
458.70,59.00
461.70,59.50
455.60,58.70
451.80,58.10
448.00,58.00
455.20,58.10
450.00,58.70
448.30,57.80
460.40,59.30
452.40,57.10
457.40,59.00
452.20,58.10
457.60,59.00
451.90,57.80
447.60,57.70
456.20,59.10
446.00,57.70
451.90,58.10
456.80,58.70
546.60,73.30
433.90,56.30
436.20,57.10
430.60,56.80
437.70,57.00
431.00,55.80
441.70,58.00
436.60,57.10
440.40,57.30
442.40,58.10
441.00,57.30
439.20,57.10
438.00,57.30
432.70,55.80
435.40,56.70
432.60,56.80
442.00,57.30
435.20,57.10
436.70,57.00
441.50,57.50
441.00,57.30
436.90,56.50
428.20,55.70
430.70,56.50
437.30,56.30
434.00,57.10
443.00,58.30
432.30,56.10
442.70,58.00
439.60,56.80
559.90,73.30
431.00,55.30
439.30,56.80
431.20,55.30
444.80,56.80
438.30,57.30
440.70,56.80
448.60,58.70
433.80,55.80
442.40,57.00
435.50,56.10
435.20,56.00
443.10,57.10
430.90,56.30
446.20,57.10
435.60,56.30
447.90,58.10
446.00,57.30
436.20,56.10
440.30,57.00
435.80,56.50
440.60,57.00
433.20,55.50
443.30,57.70
447.00,57.80
437.70,56.30
449.30,57.80
439.40,56.70
442.50,57.50
441.70,57.00
546.60,73.30
454.00,59.80
465.40,61.00
461.80,60.80
468.90,62.00
453.60,59.80
457.90,60.30
457.10,59.80
452.00,59.30
454.50,59.10
455.40,59.70
458.00,60.80
466.20,61.30
460.90,60.50
458.80,61.00
456.10,60.10
462.20,60.00
457.40,60.10
456.60,60.00
461.10,61.50
458.40,59.70
457.70,60.10
461.70,60.70
459.50,60.10
467.00,61.70
456.50,60.10
459.60,60.70
452.10,59.80
458.30,60.00
458.70,60.50
