#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.90,10.00,4.60,0.00,0.00,0.00,0.00,0.00
15.30,10.00,4.00,0.00,0.00,0.00,0.00,0.00
15.60,9.60,4.30,0.00,0.00,0.00,0.00,0.00
15.70,9.30,4.30,0.00,0.00,0.00,0.00,0.00
15.90,10.30,4.60,0.00,0.00,0.00,0.00,0.00
15.00,9.70,4.30,0.00,0.00,0.00,0.00,0.00
15.60,10.00,4.00,0.00,0.00,0.00,0.00,0.00
15.70,10.00,5.00,0.00,0.00,0.00,0.00,0.00
15.30,9.70,4.60,0.00,0.00,0.00,0.00,0.00
15.70,9.30,4.70,0.00,0.00,0.00,0.00,0.00
14.60,9.30,4.00,0.00,0.00,0.00,0.00,0.00
15.00,9.60,4.00,0.00,0.00,0.00,0.00,0.00
15.30,9.60,4.60,0.00,0.00,0.00,0.00,0.00
15.00,9.00,4.60,0.00,0.00,0.00,0.00,0.00
14.60,10.00,4.00,0.00,0.00,0.00,0.00,0.00
15.00,9.30,4.30,0.00,0.00,0.00,0.00,0.00
14.30,9.30,4.00,0.00,0.00,0.00,0.00,0.00
15.00,10.00,4.60,0.00,0.00,0.00,0.00,0.00
14.60,9.00,3.70,0.00,0.00,0.00,0.00,0.00
14.30,9.60,4.30,0.00,0.00,0.00,0.00,0.00
14.60,9.30,4.60,0.00,0.00,0.00,0.00,0.00
15.00,10.00,4.30,0.00,0.00,0.00,0.00,0.00
14.30,10.00,4.60,0.00,0.00,0.00,0.00,0.00
15.00,8.70,4.30,0.00,0.00,0.00,0.00,0.00
14.60,9.90,4.30,0.00,0.00,0.00,0.00,0.00
14.30,9.40,4.30,0.00,0.00,0.00,0.00,0.00
15.00,9.30,4.30,0.00,0.00,0.00,0.00,0.00
14.70,9.70,4.00,0.00,0.00,0.00,0.00,0.00
14.30,9.30,4.60,0.00,0.00,0.00,0.00,0.00
20.00,13.40,0.00,0.00,0.00,0.00,0.00,0.00
20.90,17.30,7.00,0.00,0.00,0.00,0.00,0.00
21.00,18.40,7.30,0.00,0.00,0.00,0.00,0.00
21.30,18.00,6.90,0.00,0.00,0.00,0.00,0.00
21.00,18.00,7.00,0.00,0.00,0.00,0.00,0.00
21.60,18.60,6.90,0.00,0.00,0.00,0.00,0.00
21.30,18.40,7.00,0.00,0.00,0.00,0.00,0.00
20.60,18.00,7.60,0.00,0.00,0.00,0.00,0.00
22.00,18.60,7.90,0.00,0.00,0.00,0.00,0.00
20.90,17.90,6.60,0.00,0.00,0.00,0.00,0.00
21.00,18.30,7.30,0.00,0.00,0.00,0.00,0.00
