reactor,crimson-osd
86.50,20.00
186.70,12.60
187.30,12.70
187.70,12.60
186.40,13.00
186.90,13.00
187.40,12.70
187.10,11.60
188.10,12.70
189.30,12.60
190.30,11.30
192.10,12.30
192.70,12.00
191.70,12.30
193.00,12.00
195.70,11.30
193.90,12.30
195.00,11.30
193.70,14.70
194.70,15.90
196.70,14.30
192.20,15.60
191.50,14.00
189.80,15.30
189.30,15.30
186.80,14.00
185.60,13.70
185.40,12.30
185.60,12.30
185.10,12.00
246.80,33.30
246.90,24.60
246.70,25.00
244.50,25.20
249.40,25.70
246.30,25.20
248.00,26.30
248.20,24.60
246.00,25.70
246.90,24.90
246.60,25.30
248.50,24.90
248.70,24.00
246.50,24.60
247.50,24.00
247.00,23.90
246.20,25.30
245.90,25.60
247.90,24.00
249.20,23.90
246.70,24.30
247.70,24.30
245.60,25.70
246.80,24.90
246.70,24.70
246.90,24.60
246.60,24.70
246.80,24.60
248.90,25.30
248.80,24.60
366.60,46.70
336.10,34.60
339.30,35.00
334.00,34.20
338.80,34.30
337.50,35.50
337.20,35.00
339.30,33.90
337.00,35.00
337.40,36.20
336.60,34.30
338.00,34.90
337.70,35.00
333.80,34.60
340.70,34.30
334.50,34.60
338.90,35.70
342.90,34.60
339.10,35.00
339.00,34.90
336.30,33.30
340.30,34.60
336.10,34.30
336.80,35.50
336.70,34.60
337.00,36.30
335.20,34.60
341.20,35.30
334.90,35.20
338.70,35.70
406.60,60.00
410.10,51.80
410.90,49.70
412.30,52.50
410.30,51.70
413.00,49.80
408.00,50.70
413.90,48.80
413.70,52.00
411.50,52.20
415.00,50.70
414.00,51.20
411.40,51.30
414.30,50.50
410.00,51.70
409.30,50.50
406.90,51.70
413.20,51.50
413.70,50.80
411.30,53.30
412.60,51.20
415.00,51.70
408.80,50.80
414.00,51.00
413.80,52.20
417.40,51.70
412.40,52.50
410.70,52.00
406.90,52.20
414.60,52.00
460.00,40.00
476.40,51.80
457.70,51.00
473.40,53.20
476.20,52.00
469.30,49.80
468.20,49.70
472.10,52.80
467.70,51.70
481.60,53.20
471.90,51.30
473.30,54.20
478.60,53.00
479.80,53.80
468.00,51.30
469.00,52.50
479.60,54.00
481.60,55.10
477.60,52.70
475.40,53.50
471.60,51.00
474.40,54.80
467.90,52.00
472.40,52.80
470.00,51.00
458.50,48.50
474.00,52.70
468.00,54.50
474.70,57.70
475.70,51.80
513.10,66.70
454.90,53.00
471.80,55.80
463.00,55.00
471.10,58.50
460.10,55.00
451.80,50.20
471.30,56.30
467.80,56.80
449.50,54.00
463.40,53.20
480.50,56.70
467.20,56.80
473.70,59.00
466.10,62.50
468.10,55.00
474.00,60.50
467.40,56.80
453.30,53.30
465.10,55.10
470.00,56.70
482.60,58.50
477.00,58.70
453.50,52.80
477.30,63.30
445.20,50.80
466.10,56.70
465.90,56.50
463.30,55.00
470.30,56.80
413.20,53.30
471.10,54.20
469.60,51.30
432.90,38.20
446.00,43.30
472.40,49.20
451.50,44.00
448.90,47.80
466.80,51.00
443.10,42.20
444.00,48.70
457.90,44.90
463.20,47.70
477.10,50.50
474.00,48.70
463.80,46.20
488.10,51.30
474.00,48.80
446.30,44.00
467.30,50.80
460.30,48.70
471.80,49.20
472.00,49.00
477.30,50.20
478.60,51.00
475.40,49.80
457.90,46.00
443.20,44.50
442.70,42.70
461.10,48.20
460.00,46.70
429.30,38.90
460.30,48.00
431.50,40.50
432.60,44.30
462.80,46.80
453.20,46.70
439.20,44.20
433.20,41.30
413.00,34.90
458.90,45.00
450.10,44.50
403.20,36.00
445.40,45.50
415.30,37.70
442.90,41.50
443.70,42.70
448.20,44.90
468.00,45.70
427.20,43.50
457.60,48.00
474.00,53.20
442.00,45.30
441.80,43.90
435.30,41.70
453.20,45.50
436.20,42.00
454.90,43.20
453.20,47.70
467.80,45.20
439.80,40.00
446.70,44.50
4.30,1.00
2.10,0.30
2.10,1.00
3.70,0.70
3.70,0.30
2.90,1.30
2.50,0.30
3.70,0.70
3.30,0.70
2.90,0.70
4.00,1.00
2.10,0.30
2.90,0.70
4.00,1.00
2.90,0.30
3.30,0.70
2.10,0.70
2.90,0.70
4.20,1.00
2.90,0.30
3.60,0.30
2.10,1.30
2.90,0.30
4.00,1.00
3.30,0.30
2.10,0.70
3.60,1.00
3.30,0.30
413.20,40.00
414.90,38.20
444.30,43.70
436.50,40.90
458.70,45.70
413.00,37.50
453.60,46.70
426.60,37.90
447.10,43.70
426.70,39.90
456.40,48.00
483.80,50.20
427.00,40.00
455.10,45.20
451.00,48.30
444.80,44.50
458.60,46.30
440.80,44.20
441.00,46.00
407.60,39.50
447.70,51.00
453.20,45.80
459.10,48.00
443.20,51.50
449.40,48.30
463.80,47.50
463.40,46.70
453.40,43.50
466.00,47.70
463.40,44.50
433.20,46.70
465.70,44.70
464.00,48.50
453.80,43.70
84.50,7.60
2.90,0.30
2.90,0.30
4.00,1.00
1.80,0.30
4.30,1.00
3.30,0.70
2.50,0.30
3.70,1.00
2.90,0.30
2.50,1.00
2.90,0.70
3.30,0.30
4.10,1.30
2.50,0.30
3.70,0.30
2.50,0.70
2.90,1.00
2.90,0.30
4.10,1.00
2.90,0.70
2.90,0.70
3.30,0.30
2.50,0.30
2.90,1.30
3.30,0.70
373.20,40.00
436.20,40.50
445.50,43.70
432.90,40.90
444.30,42.00
443.50,49.50
443.70,44.70
441.20,43.20
66.00,6.00
3.30,0.70
2.50,1.00
3.30,0.30
3.60,0.70
3.70,0.70
2.50,0.70
2.50,0.70
3.70,0.70
2.90,0.70
3.30,0.70
4.10,0.70
2.50,0.30
3.30,1.00
2.50,0.30
3.70,1.00
4.40,0.30
1.80,0.70
3.70,0.70
1.50,1.00
3.30,0.30
4.50,0.70
13.40,0.00
3.30,0.30
2.50,0.70
2.50,0.70
3.30,0.70
2.90,0.70
3.70,0.70
2.50,0.70
3.30,0.30
3.30,0.70
2.50,0.30
2.90,1.00
3.90,0.70
2.10,0.30
4.00,1.00
2.10,0.30
4.00,0.70
2.90,0.70
2.10,0.30
3.60,1.30
3.00,0.30
2.50,0.70
4.00,0.30
2.10,0.70
4.30,1.00
2.50,0.30
2.90,0.70
2.90,0.70
2.10,0.30
4.70,1.00
319.90,26.70
418.50,37.90
334.00,27.00
2.50,0.30
3.30,1.30
2.90,0.30
3.30,0.70
3.70,0.70
2.90,0.30
3.30,1.00
2.90,0.70
2.50,0.30
3.70,0.70
2.50,0.70
3.70,0.70
3.60,0.70
2.20,0.70
3.20,0.70
3.70,0.70
2.90,0.70
2.10,0.30
3.30,0.70
3.70,0.30
3.20,1.00
2.90,0.70
2.50,0.70
3.30,0.30
2.50,0.70
4.40,1.00
3.20,0.30
433.20,40.00
256.20,23.60
3.30,0.70
3.30,0.70
3.70,0.30
3.30,0.70
2.50,1.00
3.30,0.70
2.50,0.30
3.30,0.70
3.70,0.70
3.30,0.30
3.30,0.70
2.10,1.00
2.90,0.30
3.30,0.70
2.90,0.70
3.30,0.70
3.70,0.70
2.50,0.30
2.50,0.70
3.70,0.70
2.90,0.70
3.30,0.70
2.90,0.70
2.90,0.30
3.30,1.00
2.60,0.30
2.90,0.70
3.60,0.70
6.70,0.00
2.10,0.30
3.30,0.70
3.70,1.00
2.90,0.30
2.90,0.70
2.90,0.70
3.40,0.70
3.70,1.00
2.60,0.70
3.70,0.30
2.90,0.70
3.70,0.70
2.90,0.70
3.30,0.70
2.50,0.30
3.30,1.30
2.10,0.30
3.60,0.70
4.00,0.70
2.50,0.70
2.80,0.30
4.10,1.00
2.90,0.30
3.30,1.00
2.60,0.70
3.30,0.30
2.90,0.70
4.10,1.00
2.20,0.30
