reactor,crimson-osd
26.60,13.30
185.70,13.00
185.00,12.30
184.70,13.00
183.40,12.00
184.10,12.70
185.30,13.00
184.60,13.00
182.70,13.60
183.00,13.00
185.10,12.00
184.30,13.30
182.40,13.60
183.30,13.70
184.10,12.60
183.70,12.30
184.10,14.00
184.70,12.30
185.20,12.70
186.30,14.60
186.40,13.30
187.80,13.00
185.90,13.70
186.80,13.60
188.30,13.30
185.70,13.60
187.30,13.70
187.10,14.00
187.00,13.70
187.40,13.60
266.60,26.70
252.00,23.70
250.70,24.30
248.70,23.70
251.90,24.30
251.20,23.70
251.20,24.60
251.70,24.30
249.20,23.90
251.90,24.30
247.40,23.30
250.90,23.70
252.90,23.90
250.50,23.30
252.50,23.70
252.50,22.90
254.60,23.00
249.10,23.60
250.70,24.30
251.20,24.60
253.70,23.00
250.50,23.60
253.30,24.00
252.60,23.90
253.30,23.70
250.90,23.60
252.30,23.70
250.10,23.90
255.30,24.70
253.40,23.90
339.90,46.70
325.20,41.20
329.40,41.00
326.00,41.90
329.60,39.30
331.50,39.20
328.70,41.70
327.10,41.90
326.40,41.00
329.10,39.90
330.00,40.30
329.90,41.20
331.30,40.30
327.90,41.50
330.40,39.70
329.30,41.20
328.50,40.20
328.70,39.70
330.00,39.90
327.30,41.70
328.60,39.90
329.00,42.70
327.50,41.20
327.00,40.70
327.90,40.50
328.70,40.70
327.90,40.90
329.90,41.00
328.90,40.90
332.20,41.00
419.90,53.30
413.60,49.50
409.40,50.70
416.30,49.80
418.10,49.70
413.60,50.20
416.30,49.70
413.70,49.80
411.90,49.80
411.30,47.30
412.70,47.50
415.90,49.30
412.90,50.80
416.30,53.00
411.20,49.20
411.40,49.70
412.40,50.00
415.90,50.20
414.70,49.70
413.60,50.50
411.00,48.20
415.40,50.70
414.20,49.20
414.60,50.70
414.00,50.80
412.90,50.30
410.60,50.50
414.80,47.30
415.00,50.50
415.70,49.70
499.80,66.70
468.70,57.70
452.90,53.50
450.60,54.70
451.90,52.50
439.20,48.20
441.60,54.70
442.60,50.50
458.60,53.00
447.20,50.50
464.00,54.00
451.80,52.20
457.70,54.70
457.10,55.50
457.60,52.70
457.10,54.80
449.40,51.70
448.00,51.20
449.40,53.30
449.50,50.80
451.40,50.00
438.50,50.80
460.60,57.00
452.80,56.10
445.80,51.70
450.40,56.10
456.70,50.70
430.30,50.50
436.60,50.00
458.40,53.80
513.40,66.70
466.50,58.00
477.50,60.50
471.60,54.70
461.10,61.50
482.60,60.30
471.80,58.50
457.30,54.00
477.70,56.50
470.30,59.30
457.50,54.20
464.40,57.00
474.30,57.50
469.00,58.70
473.10,60.10
479.30,58.30
478.20,56.50
470.30,61.70
471.90,59.50
482.70,57.70
445.50,53.80
465.30,60.70
474.70,57.80
467.00,54.70
467.30,54.50
462.70,54.00
469.50,62.10
471.60,57.70
467.60,61.50
473.90,61.70
419.90,53.30
443.10,45.80
448.90,49.00
444.80,45.80
425.60,44.00
434.80,48.20
414.40,41.70
452.50,49.80
425.70,42.70
415.00,41.90
430.90,44.70
424.10,43.90
449.20,46.00
425.60,44.50
454.40,48.70
440.40,45.20
440.20,52.70
447.10,49.20
436.90,44.70
416.70,44.50
416.60,41.00
430.70,44.90
447.90,47.70
438.20,51.50
442.90,45.70
420.40,42.90
451.30,49.00
435.80,45.20
439.70,48.00
407.70,41.90
393.90,75.00
434.70,40.70
437.50,49.80
443.00,50.30
438.20,52.80
449.30,46.30
448.00,50.50
445.70,49.70
454.10,50.20
463.20,48.00
427.40,40.90
436.60,42.70
456.40,46.80
451.00,45.30
429.80,45.80
168.30,17.00
2.90,0.30
3.30,1.00
3.70,0.30
3.30,0.70
2.90,1.00
2.90,0.70
4.00,0.70
2.90,1.00
2.90,0.30
2.90,1.00
3.60,0.70
2.10,0.30
4.70,1.00
2.10,0.70
493.20,53.30
430.60,54.00
419.80,42.20
431.90,43.30
401.20,40.90
428.00,44.20
458.60,47.70
411.40,44.90
416.00,40.30
419.00,42.90
427.90,52.70
431.60,43.90
418.30,41.70
423.80,39.50
419.30,42.00
418.20,42.50
440.50,45.70
439.00,44.90
434.00,46.00
421.20,44.20
441.60,46.00
450.40,47.50
436.30,43.30
412.30,41.50
395.70,39.00
457.50,49.20
406.40,39.30
406.10,43.90
449.00,44.00
423.00,42.50
6.70,0.00
3.30,0.30
4.10,1.30
2.50,0.30
3.30,0.70
2.90,1.00
2.50,0.30
4.50,1.30
2.50,0.30
3.70,0.70
3.30,0.70
2.10,1.00
2.90,0.30
4.40,0.70
3.70,0.70
2.90,1.00
2.90,0.70
2.50,0.30
3.30,1.00
4.50,0.70
2.10,0.70
2.90,0.70
3.30,0.30
3.70,1.30
3.30,0.30
2.50,0.70
4.40,1.00
2.90,0.70
2.60,0.30
3.90,1.00
368.80,37.50
401.20,38.00
432.50,44.90
396.00,37.30
418.00,39.90
405.90,51.00
414.20,42.20
410.00,38.70
426.60,47.20
421.00,41.30
396.70,36.90
371.00,35.00
389.70,37.90
404.70,39.30
418.30,42.20
426.90,50.70
421.90,41.50
421.30,49.00
431.80,46.20
408.60,42.30
438.20,46.20
405.40,40.00
410.60,50.50
414.20,40.30
407.30,39.50
425.70,42.00
416.60,42.50
419.20,42.00
418.40,40.50
385.20,41.90
513.30,53.30
416.00,47.80
404.40,44.70
406.20,51.50
407.20,45.70
407.90,66.40
436.00,49.70
423.80,47.80
459.60,59.00
423.50,48.20
414.10,50.00
413.30,47.80
435.70,63.30
417.00,57.10
268.70,29.00
2.10,0.30
3.70,1.00
3.30,0.30
2.10,1.00
4.00,0.70
2.90,0.30
3.30,1.30
2.90,0.30
3.30,0.30
3.70,1.30
2.50,0.30
2.10,0.70
5.10,0.70
1.80,0.30
4.40,1.30
0.00,0.00
3.60,1.00
2.50,0.70
4.00,0.70
3.30,0.70
2.60,0.30
3.60,1.00
2.90,0.70
2.50,0.30
4.70,1.00
2.50,0.30
2.50,1.00
2.90,0.30
2.50,0.70
5.20,1.00
2.20,0.30
2.90,0.70
3.70,0.70
3.70,0.30
2.90,1.30
2.50,0.30
3.70,0.30
3.30,1.00
2.50,0.30
3.30,0.70
4.00,1.00
2.10,0.70
4.50,0.70
2.50,0.30
2.50,0.70
0.00,0.00
2.10,0.70
4.10,0.70
2.50,0.30
4.10,1.00
3.30,0.70
2.50,0.30
2.50,1.00
2.50,0.70
4.40,0.30
2.90,1.00
3.30,0.30
2.90,1.00
2.50,0.30
3.30,0.70
4.80,0.70
2.10,1.00
2.90,0.30
2.90,0.70
3.30,0.70
4.10,0.70
2.90,0.70
2.50,0.30
3.30,1.00
3.30,0.70
3.30,0.30
2.80,1.00
3.30,0.30
3.30,1.00
3.20,0.70
6.70,6.70
1.80,0.30
3.30,0.70
2.50,0.70
3.70,0.70
4.00,0.70
2.60,0.70
2.50,0.70
4.40,0.70
2.90,0.70
2.20,0.70
4.40,0.70
2.50,0.30
4.30,1.00
3.30,0.70
2.50,0.30
2.90,1.00
3.70,0.70
2.50,0.30
3.30,1.00
2.90,0.70
4.70,0.70
2.50,0.70
3.30,0.30
2.50,1.30
3.30,0.30
3.70,0.30
3.30,0.70
2.10,0.70
4.70,1.00
