reactor,crimson-osd
106.60,20.00
179.50,13.60
183.20,13.30
181.70,12.30
182.70,14.00
180.80,13.30
184.60,12.30
182.30,12.60
182.70,12.70
182.80,12.30
184.00,12.30
183.70,12.60
183.40,12.70
181.10,13.00
184.30,12.00
179.70,13.00
183.40,11.00
182.40,12.30
180.60,12.30
182.40,13.00
182.30,12.00
181.70,12.00
182.40,12.30
182.00,12.30
183.30,12.30
181.80,11.60
182.40,12.30
182.70,13.00
182.70,12.70
181.80,12.60
286.60,26.70
267.60,20.00
270.80,20.30
269.90,20.00
268.40,20.30
269.30,19.30
269.80,20.30
271.70,20.00
266.80,19.90
270.60,21.00
268.20,20.60
270.70,20.00
269.40,19.30
268.80,19.70
268.20,19.60
269.20,20.70
269.20,20.60
268.60,20.00
267.70,20.30
269.40,21.00
269.70,20.60
268.80,20.60
269.30,21.30
268.50,20.60
272.40,21.00
270.80,19.30
270.40,21.30
268.80,20.60
269.60,21.00
269.40,20.30
333.30,33.30
326.20,31.60
327.70,31.00
329.00,30.90
327.90,30.00
325.00,30.60
326.30,31.70
324.30,30.60
326.60,32.00
323.60,31.90
320.70,31.70
326.00,30.60
327.60,30.30
323.80,31.90
330.30,32.00
329.00,31.20
326.60,31.70
327.80,31.20
326.90,32.00
329.00,31.90
325.60,31.70
327.00,32.60
329.30,30.70
325.80,32.20
329.60,32.30
329.20,30.90
330.40,32.00
325.30,31.20
328.70,32.00
328.30,31.20
433.40,53.30
435.70,40.70
434.90,40.90
433.00,40.70
441.20,43.90
439.90,40.70
432.60,42.20
439.10,42.00
434.70,40.50
438.90,42.00
438.20,42.20
438.90,43.70
433.80,41.50
435.70,41.00
430.50,40.20
438.60,40.70
440.40,43.50
435.90,41.00
441.90,41.50
436.30,41.00
438.00,41.70
439.90,42.50
441.30,43.00
439.10,41.50
437.10,42.70
428.60,40.50
434.60,40.30
441.10,43.50
435.80,39.50
443.30,43.30
466.50,53.30
434.60,45.20
431.10,45.30
447.50,47.80
449.50,47.00
444.20,46.80
455.60,49.00
445.80,48.20
435.40,44.70
436.80,45.80
449.30,50.00
442.40,46.80
441.40,48.00
439.90,45.80
429.60,43.70
438.20,47.20
449.30,49.30
428.10,43.20
431.60,44.00
452.80,48.50
440.90,46.80
447.30,48.00
452.80,48.70
447.40,47.80
444.80,46.20
441.40,47.30
437.60,47.50
448.00,48.00
441.20,44.90
449.10,46.70
460.10,40.00
442.00,41.90
424.30,39.30
426.80,40.90
446.00,43.70
454.30,48.80
219.70,17.00
2.50,0.70
3.60,0.70
2.90,0.70
3.90,1.00
2.50,0.70
3.00,0.70
3.70,0.70
3.30,0.30
2.50,0.70
3.60,1.00
3.30,0.70
3.70,1.00
2.50,0.70
2.50,0.30
3.60,1.00
2.90,0.30
2.90,0.70
4.10,1.00
3.30,0.30
3.30,1.00
2.90,0.70
3.60,0.70
2.90,0.70
450.20,62.50
430.20,42.30
455.40,49.50
436.00,45.00
423.20,43.20
408.00,38.00
52.60,5.00
2.50,0.70
3.30,0.30
3.20,1.00
2.30,0.30
4.80,1.00
2.50,1.00
2.50,0.30
4.00,0.70
3.70,0.30
2.50,0.70
3.70,1.30
2.10,0.30
3.30,0.70
3.70,0.30
2.20,1.00
4.80,0.70
2.90,0.70
2.90,0.70
2.10,0.70
2.50,0.30
4.50,1.00
4.50,0.70
2.10,0.70
486.50,40.00
421.90,39.50
446.10,42.00
410.30,37.50
461.50,48.20
435.80,40.70
450.20,42.90
442.70,44.70
426.90,39.50
451.20,45.30
342.50,28.60
3.30,1.00
3.30,0.70
3.30,0.70
3.30,0.70
2.90,0.70
3.30,0.30
2.90,1.00
2.90,0.30
4.00,0.70
3.30,1.00
3.30,0.70
2.10,0.30
3.60,1.00
3.30,0.30
3.30,1.00
2.90,0.70
2.50,0.30
4.00,0.70
3.30,0.70
366.60,26.70
