## num_jobs: 1
# iodepth iops total_ios clat_ms clat_stdev usr_cpu sys_cpu OSD_cpu OSD_mem FIO_cpu FIO_mem
 1  2304.70  691412.00  0.43  0.24  2.02  1.70  186.14  50.97  25.65  0.00 
 2  4448.28  1334487.00  0.44  0.29  3.74  3.03  287.32  52.80  43.45  0.00 
 4  6775.52  2032662.00  0.58  0.47  4.74  4.01  356.40  52.80  62.56  0.32 
 8  9237.25  2771203.00  0.86  1.27  6.46  4.83  474.90  52.80  71.91  0.75 
 16  9481.92  2844652.00  1.68  3.69  6.54  4.37  490.08  52.80  75.87  0.80 
 24  8627.19  354569.00  2.77  10.28  5.72  4.10  124.21  52.80  15.40  0.05 
 32  7688.68  196615.00  4.14  18.33  5.03  3.62  101.00  52.80  12.65  0.00 
 40  7510.74  142997.00  5.30  20.76  4.80  3.32  176.56  52.80  24.12  0.00 
 52  7242.67  40530.00  7.22  29.13  4.04  2.86  80.99  52.80  10.07  0.00 
 64  6594.64  45536.00  9.60  41.31  3.62  3.22  115.42  52.80  14.50  0.00 
