reactor,crimson-osd
140.10,33.30
214.20,19.90
216.60,20.60
215.60,21.00
215.40,20.70
216.60,20.30
218.50,20.90
220.30,20.70
218.40,20.30
220.60,21.00
219.20,20.30
218.00,20.70
219.00,21.30
217.60,20.00
218.60,20.60
218.10,20.70
219.70,20.90
220.60,21.30
217.00,20.30
221.00,20.70
217.30,20.30
218.10,20.70
217.90,19.30
220.40,20.70
217.60,20.30
217.40,21.00
220.60,20.90
218.00,21.00
219.90,20.90
218.60,21.00
346.70,40.00
309.70,37.70
311.30,37.50
311.30,37.00
310.40,36.50
311.00,37.00
310.50,37.50
311.30,38.00
310.70,36.90
312.00,38.30
310.10,36.90
312.00,37.00
311.40,37.20
312.90,37.70
310.60,36.90
310.40,37.30
311.50,37.20
313.00,38.30
311.30,37.20
312.80,37.70
309.40,37.90
310.80,37.30
311.00,37.20
313.30,37.00
307.00,37.20
312.30,38.00
310.90,38.20
309.70,36.70
310.60,37.90
311.90,37.30
446.60,66.70
415.20,54.80
420.70,56.00
417.90,54.50
419.30,56.00
413.30,55.50
420.30,55.30
419.40,56.80
418.00,55.30
416.50,55.80
417.50,56.10
420.70,56.00
420.90,55.70
411.30,55.10
421.40,55.30
418.90,55.80
420.00,55.70
418.90,54.80
420.40,56.00
421.00,55.10
420.70,56.00
420.30,55.80
421.00,56.30
418.90,55.50
421.70,55.70
417.90,55.80
422.60,56.70
419.00,55.10
419.90,55.30
414.30,54.50
526.60,73.30
493.60,67.40
493.30,67.30
486.70,67.10
494.70,67.00
489.00,67.10
493.90,67.70
495.00,66.80
491.60,67.70
486.40,65.10
491.90,67.30
492.10,66.40
495.60,67.70
491.10,66.40
493.90,66.70
492.30,67.40
494.00,67.70
496.10,67.80
494.70,66.30
494.70,67.40
494.70,68.00
488.90,65.80
491.30,66.80
494.20,67.70
494.40,66.80
493.60,66.70
493.60,68.40
493.80,68.00
496.90,67.30
495.30,67.40
579.90,73.30
489.70,67.80
487.70,66.80
491.30,67.70
491.10,67.30
485.60,66.40
492.60,67.30
483.70,66.10
488.30,66.70
493.60,67.80
488.90,67.00
492.60,66.80
492.70,67.70
488.70,67.40
495.00,67.00
487.30,66.80
494.00,68.00
489.30,66.80
482.10,66.10
495.70,67.70
488.70,66.80
493.30,68.00
484.40,67.10
491.90,67.30
493.70,67.10
493.00,67.70
493.60,67.30
488.00,66.10
490.80,67.00
486.40,66.80
546.60,86.70
458.10,61.80
455.40,61.70
457.10,62.10
468.70,63.30
455.80,62.10
465.30,63.00
456.50,62.10
474.60,65.00
470.20,63.80
460.40,62.70
463.40,63.50
465.40,63.00
461.90,62.50
462.00,62.00
457.10,62.50
468.60,63.30
455.50,62.10
460.60,62.30
461.50,61.80
459.30,62.30
464.20,63.80
459.70,62.30
466.00,63.10
464.00,63.00
461.10,62.80
465.00,62.70
454.10,61.50
450.30,61.00
463.00,62.80
546.40,73.30
438.90,62.50
445.70,62.70
443.10,62.80
451.00,63.70
442.80,62.50
443.70,62.30
442.10,62.50
439.30,61.70
442.80,63.10
442.60,61.70
448.80,63.50
446.70,63.00
444.50,62.50
451.30,63.70
444.90,63.10
447.20,62.70
437.00,61.80
437.00,61.00
444.50,62.50
443.00,62.30
444.60,62.80
442.30,62.00
444.80,62.80
445.70,62.30
441.10,62.10
447.60,63.30
429.20,60.10
441.30,61.70
439.20,61.50
546.60,80.00
444.70,60.10
449.60,61.30
451.80,61.10
455.30,62.00
450.80,60.80
449.70,61.00
449.90,61.10
445.40,60.70
447.50,60.80
449.00,61.00
449.70,60.10
453.10,61.00
447.90,61.10
451.90,61.00
442.40,60.10
450.80,60.30
446.90,60.80
444.70,60.30
453.00,61.50
447.70,60.30
456.90,62.10
450.60,61.00
446.10,60.50
456.70,61.30
435.20,58.80
446.30,60.30
441.20,59.80
446.20,60.30
450.20,61.10
533.20,93.30
412.60,85.70
411.40,86.30
404.40,85.40
412.80,86.30
404.70,85.40
408.70,85.30
418.30,86.40
417.80,86.70
418.00,86.40
410.90,86.30
414.00,86.00
419.30,86.70
404.80,85.40
409.50,86.30
397.80,84.70
421.60,86.30
419.60,87.00
413.70,86.30
416.00,86.70
414.10,86.00
413.00,85.40
408.10,85.70
411.20,86.40
415.60,86.00
404.60,85.00
425.30,87.30
419.00,87.00
417.20,86.30
418.30,86.40
559.90,73.30
448.50,60.10
463.30,63.30
456.50,61.80
462.00,62.00
443.80,60.50
458.30,62.00
454.90,61.50
448.70,60.70
451.90,60.50
449.00,61.00
452.20,60.50
463.70,63.00
456.60,61.50
454.10,61.70
448.20,60.80
455.30,61.30
455.80,61.80
448.40,60.30
460.90,62.50
456.10,62.00
460.80,62.10
454.50,61.00
457.20,62.10
459.70,62.70
452.60,61.10
455.10,61.70
449.80,60.80
451.30,60.70
453.40,61.10
