#reactor,crimson-osd
29.40,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
30.80,2.80
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
33.00,3.00
