## num_jobs: 1
# iodepth iops total_ios clat_ms clat_stdev usr_cpu sys_cpu OSD_cpu OSD_mem FIO_cpu FIO_mem
 1  6313.30  1893996.00  0.15  0.04  3.29  3.48  228.76  32.43  48.20  0.27 
 2  12808.70  3842622.00  0.15  0.04  5.59  5.92  346.09  33.60  82.97  1.07 
 4  21720.30  6516113.00  0.18  0.05  8.69  8.08  471.80  33.60  113.59  1.33 
 8  28948.03  8684438.00  0.27  0.09  10.87  8.83  558.35  33.60  129.42  1.92 
 16  32656.24  9796905.00  0.49  0.18  13.43  9.72  560.76  35.92  145.93  2.13 
 24  33065.90  9919804.00  0.72  0.32  14.27  9.89  528.71  36.00  148.71  2.19 
 32  33716.57  10115037.00  0.94  0.41  16.03  9.31  510.26  36.00  145.74  2.19 
 40  36793.07  11037959.00  1.08  0.44  15.04  9.78  512.96  36.00  149.23  2.35 
 52  36802.97  11040928.00  1.41  0.54  15.41  9.78  503.75  36.00  150.73  2.35 
 64  40535.06  12160600.00  1.57  0.54  16.53  10.03  519.60  36.00  156.25  2.40 
