#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.60,27.20,6.90,0.00,0.00,0.00,0.00,0.00
16.40,27.00,6.30,0.00,0.00,0.00,0.00,0.00
17.30,26.90,7.30,0.00,0.00,0.00,0.00,0.00
17.00,26.70,6.70,0.00,0.00,0.00,0.00,0.00
16.60,27.20,7.30,0.00,0.00,0.00,0.00,0.00
17.00,27.30,7.00,0.00,0.00,0.00,0.00,0.00
17.00,26.60,6.90,0.00,0.00,0.00,0.00,0.00
17.30,27.00,6.60,0.00,0.00,0.00,0.00,0.00
16.90,26.60,6.60,0.00,0.00,0.00,0.00,0.00
16.60,27.00,7.00,0.00,0.00,0.00,0.00,0.00
17.00,26.90,7.70,0.00,0.00,0.00,0.00,0.00
16.70,26.70,6.30,0.00,0.00,0.00,0.00,0.00
16.60,26.90,7.30,0.00,0.00,0.00,0.00,0.00
17.20,26.90,6.60,0.00,0.00,0.00,0.00,0.00
17.30,27.00,7.00,0.00,0.00,0.00,0.00,0.00
16.60,26.90,7.00,0.00,0.00,0.00,0.00,0.00
17.00,26.70,7.00,0.00,0.00,0.00,0.00,0.00
17.30,26.90,6.90,0.00,0.00,0.00,0.00,0.00
16.60,27.00,6.60,0.00,0.00,0.00,0.00,0.00
17.30,27.20,7.00,0.00,0.00,0.00,0.00,0.00
17.00,27.00,6.60,0.00,0.00,0.00,0.00,0.00
16.90,26.90,7.30,0.00,0.00,0.00,0.00,0.00
16.60,27.00,6.60,0.00,0.00,0.00,0.00,0.00
17.20,27.20,6.60,0.00,0.00,0.00,0.00,0.00
17.00,27.30,7.40,0.00,0.00,0.00,0.00,0.00
16.90,26.90,7.30,0.00,0.00,0.00,0.00,0.00
17.30,27.00,7.30,0.00,0.00,0.00,0.00,0.00
16.60,26.90,6.90,0.00,0.00,0.00,0.00,0.00
16.70,27.00,6.30,0.00,0.00,0.00,0.00,0.00
26.60,33.30,6.70,0.00,0.00,0.00,0.00,0.00
32.50,41.20,11.90,0.00,0.00,0.00,0.00,0.00
31.00,40.70,11.30,0.00,0.00,0.00,0.00,0.00
34.20,40.90,11.30,0.00,0.00,0.00,0.00,0.00
32.30,41.00,12.30,0.00,0.00,0.00,0.00,0.00
31.20,41.20,11.30,0.00,0.00,0.00,0.00,0.00
30.70,41.30,11.60,0.00,0.00,0.00,0.00,0.00
30.60,41.50,11.90,0.00,0.00,0.00,0.00,0.00
31.00,42.00,11.70,0.00,0.00,0.00,0.00,0.00
30.60,41.50,11.90,0.00,0.00,0.00,0.00,0.00
31.00,41.70,11.60,0.00,0.00,0.00,0.00,0.00
30.30,41.20,12.90,0.00,0.00,0.00,0.00,0.00
30.30,41.00,11.60,0.00,0.00,0.00,0.00,0.00
30.90,41.90,11.90,0.00,0.00,0.00,0.00,0.00
31.00,41.30,11.70,0.00,0.00,0.00,0.00,0.00
30.90,41.20,11.60,0.00,0.00,0.00,0.00,0.00
30.60,41.00,12.40,0.00,0.00,0.00,0.00,0.00
30.30,41.90,11.30,0.00,0.00,0.00,0.00,0.00
31.30,41.30,11.70,0.00,0.00,0.00,0.00,0.00
30.30,41.20,11.90,0.00,0.00,0.00,0.00,0.00
31.00,41.70,11.60,0.00,0.00,0.00,0.00,0.00
30.90,40.90,11.60,0.00,0.00,0.00,0.00,0.00
30.30,41.70,11.60,0.00,0.00,0.00,0.00,0.00
30.90,41.50,11.60,0.00,0.00,0.00,0.00,0.00
30.60,41.00,11.60,0.00,0.00,0.00,0.00,0.00
30.30,41.50,11.60,0.00,0.00,0.00,0.00,0.00
30.00,40.30,13.00,0.00,0.00,0.00,0.00,0.00
30.90,42.20,12.30,0.00,0.00,0.00,0.00,0.00
30.30,41.30,11.30,0.00,0.00,0.00,0.00,0.00
30.60,41.20,12.00,0.00,0.00,0.00,0.00,0.00
33.30,46.70,13.30,0.00,0.00,0.00,0.00,0.00
44.00,53.00,16.70,0.00,0.00,0.00,0.00,0.00
43.20,52.80,16.60,0.00,0.00,0.00,0.00,0.00
44.20,52.50,16.30,0.00,0.00,0.00,0.00,0.00
43.30,52.70,16.60,0.00,0.00,0.00,0.00,0.00
43.90,52.50,18.00,0.00,0.00,0.00,0.00,0.00
44.00,52.30,16.00,0.00,0.00,0.00,0.00,0.00
44.20,53.20,16.60,0.00,0.00,0.00,0.00,0.00
43.70,53.00,17.00,0.00,0.00,0.00,0.00,0.00
43.80,52.50,16.20,0.00,0.00,0.00,0.00,0.00
44.30,53.30,16.70,0.00,0.00,0.00,0.00,0.00
43.50,52.50,15.90,0.00,0.00,0.00,0.00,0.00
43.70,52.70,16.60,0.00,0.00,0.00,0.00,0.00
44.30,53.30,16.60,0.00,0.00,0.00,0.00,0.00
43.20,52.20,18.20,0.00,0.00,0.00,0.00,0.00
45.00,53.70,17.00,0.00,0.00,0.00,0.00,0.00
43.50,52.80,16.60,0.00,0.00,0.00,0.00,0.00
44.00,52.70,17.00,0.00,0.00,0.00,0.00,0.00
43.50,52.80,16.60,0.00,0.00,0.00,0.00,0.00
43.30,52.30,16.00,0.00,0.00,0.00,0.00,0.00
44.20,53.20,16.90,0.00,0.00,0.00,0.00,0.00
44.00,53.00,16.60,0.00,0.00,0.00,0.00,0.00
44.20,53.20,16.90,0.00,0.00,0.00,0.00,0.00
44.00,52.70,16.30,0.00,0.00,0.00,0.00,0.00
45.20,54.80,15.30,0.00,0.00,0.00,0.00,0.00
44.30,53.00,16.30,0.00,0.00,0.00,0.00,0.00
44.20,52.80,17.30,0.00,0.00,0.00,0.00,0.00
44.00,53.30,16.70,0.00,0.00,0.00,0.00,0.00
43.20,52.50,16.90,0.00,0.00,0.00,0.00,0.00
43.40,52.30,16.00,0.00,0.00,0.00,0.00,0.00
40.00,46.70,13.30,0.00,0.00,0.00,0.00,0.00
58.00,54.00,19.30,0.00,0.00,0.00,0.00,0.00
60.10,53.50,18.90,0.00,0.00,0.00,0.00,0.00
61.00,53.70,19.30,0.00,0.00,0.00,0.00,0.00
60.50,53.20,18.20,0.00,0.00,0.00,0.00,0.00
59.70,53.30,18.30,0.00,0.00,0.00,0.00,0.00
61.40,53.50,19.30,0.00,0.00,0.00,0.00,0.00
60.00,53.30,18.00,0.00,0.00,0.00,0.00,0.00
59.10,52.80,17.90,0.00,0.00,0.00,0.00,0.00
61.00,53.00,18.60,0.00,0.00,0.00,0.00,0.00
59.80,52.80,19.90,0.00,0.00,0.00,0.00,0.00
60.30,53.00,18.30,0.00,0.00,0.00,0.00,0.00
60.20,53.20,18.60,0.00,0.00,0.00,0.00,0.00
61.70,54.00,19.00,0.00,0.00,0.00,0.00,0.00
60.50,53.20,18.60,0.00,0.00,0.00,0.00,0.00
61.30,54.00,19.00,0.00,0.00,0.00,0.00,0.00
59.80,53.20,18.60,0.00,0.00,0.00,0.00,0.00
60.70,53.70,18.60,0.00,0.00,0.00,0.00,0.00
