## num_jobs: 1
# iodepth iops total_ios clat_ms clat_stdev usr_cpu sys_cpu OSD_cpu OSD_mem FIO_cpu FIO_mem
 1  5947.13  1784144.00  0.16  0.04  3.18  3.45  223.73  41.70  47.45  0.16 
 2  12053.98  3616207.00  0.16  0.04  5.52  5.95  338.42  43.20  82.33  1.01 
 4  20507.28  6152205.00  0.19  0.06  8.42  7.94  462.36  43.20  111.82  1.33 
 8  26928.28  8078510.00  0.29  0.10  10.35  8.35  542.82  43.20  130.66  1.76 
 16  31270.62  9381216.00  0.51  0.19  13.11  9.80  554.12  43.20  144.57  2.08 
 24  31560.60  9468212.00  0.76  0.32  14.02  9.80  524.55  43.20  146.17  2.08 
 32  33195.90  9958803.00  0.96  0.41  14.28  9.72  508.29  43.20  143.27  2.13 
 40  35418.11  10625467.00  1.12  0.45  14.95  9.58  508.51  43.20  146.72  2.29 
 52  36170.27  10851190.00  1.43  0.54  15.15  9.97  506.15  43.20  149.31  2.29 
 64  39492.51  11847792.00  1.61  0.54  15.90  9.97  524.56  43.20  152.49  2.40 
