#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.30,26.30,6.60,0.00,0.00,0.00,0.00,0.00
16.60,26.20,7.30,0.00,0.00,0.00,0.00,0.00
17.40,27.00,6.60,0.00,0.00,0.00,0.00,0.00
17.30,25.60,6.90,0.00,0.00,0.00,0.00,0.00
17.30,27.00,7.30,0.00,0.00,0.00,0.00,0.00
16.90,26.60,6.00,0.00,0.00,0.00,0.00,0.00
17.40,26.30,7.00,0.00,0.00,0.00,0.00,0.00
17.20,26.90,6.90,0.00,0.00,0.00,0.00,0.00
17.00,26.70,7.00,0.00,0.00,0.00,0.00,0.00
17.90,26.60,6.90,0.00,0.00,0.00,0.00,0.00
16.70,26.70,6.70,0.00,0.00,0.00,0.00,0.00
16.90,26.20,6.90,0.00,0.00,0.00,0.00,0.00
17.30,26.70,7.00,0.00,0.00,0.00,0.00,0.00
16.90,26.60,6.90,0.00,0.00,0.00,0.00,0.00
17.70,26.70,6.30,0.00,0.00,0.00,0.00,0.00
16.90,26.20,6.90,0.00,0.00,0.00,0.00,0.00
17.30,26.70,6.90,0.00,0.00,0.00,0.00,0.00
16.90,26.60,7.30,0.00,0.00,0.00,0.00,0.00
17.30,27.00,7.00,0.00,0.00,0.00,0.00,0.00
17.60,26.90,6.90,0.00,0.00,0.00,0.00,0.00
17.30,26.30,6.70,0.00,0.00,0.00,0.00,0.00
16.60,26.90,6.90,0.00,0.00,0.00,0.00,0.00
17.40,26.30,6.60,0.00,0.00,0.00,0.00,0.00
16.90,26.20,6.60,0.00,0.00,0.00,0.00,0.00
17.40,27.00,7.00,0.00,0.00,0.00,0.00,0.00
16.60,25.90,7.30,0.00,0.00,0.00,0.00,0.00
18.00,27.00,7.40,0.00,0.00,0.00,0.00,0.00
16.60,26.60,6.30,0.00,0.00,0.00,0.00,0.00
17.70,26.30,7.00,0.00,0.00,0.00,0.00,0.00
26.60,33.30,6.70,0.00,0.00,0.00,0.00,0.00
30.60,41.00,11.60,0.00,0.00,0.00,0.00,0.00
30.60,40.20,11.30,0.00,0.00,0.00,0.00,0.00
30.60,41.00,12.00,0.00,0.00,0.00,0.00,0.00
30.60,40.90,12.00,0.00,0.00,0.00,0.00,0.00
30.60,40.70,11.70,0.00,0.00,0.00,0.00,0.00
30.60,40.90,11.30,0.00,0.00,0.00,0.00,0.00
29.70,40.70,12.00,0.00,0.00,0.00,0.00,0.00
31.20,40.50,11.60,0.00,0.00,0.00,0.00,0.00
30.00,40.00,12.00,0.00,0.00,0.00,0.00,0.00
30.30,41.20,11.90,0.00,0.00,0.00,0.00,0.00
30.30,40.30,12.60,0.00,0.00,0.00,0.00,0.00
30.30,40.20,11.60,0.00,0.00,0.00,0.00,0.00
30.30,41.00,12.00,0.00,0.00,0.00,0.00,0.00
30.30,40.50,11.00,0.00,0.00,0.00,0.00,0.00
31.40,41.00,11.60,0.00,0.00,0.00,0.00,0.00
30.00,40.50,11.60,0.00,0.00,0.00,0.00,0.00
30.70,40.30,12.00,0.00,0.00,0.00,0.00,0.00
30.90,40.90,11.60,0.00,0.00,0.00,0.00,0.00
30.30,41.30,11.30,0.00,0.00,0.00,0.00,0.00
30.60,40.50,11.60,0.00,0.00,0.00,0.00,0.00
30.00,41.00,11.60,0.00,0.00,0.00,0.00,0.00
30.90,41.50,11.90,0.00,0.00,0.00,0.00,0.00
30.30,40.70,11.90,0.00,0.00,0.00,0.00,0.00
30.30,40.90,11.60,0.00,0.00,0.00,0.00,0.00
30.60,41.30,11.60,0.00,0.00,0.00,0.00,0.00
30.30,40.20,12.90,0.00,0.00,0.00,0.00,0.00
30.60,40.90,11.60,0.00,0.00,0.00,0.00,0.00
28.60,42.30,15.00,0.00,0.00,0.00,0.00,0.00
29.60,41.50,12.30,0.00,0.00,0.00,0.00,0.00
26.60,46.70,13.30,0.00,0.00,0.00,0.00,0.00
44.00,52.70,16.60,0.00,0.00,0.00,0.00,0.00
43.80,52.80,16.30,0.00,0.00,0.00,0.00,0.00
44.20,52.20,16.60,0.00,0.00,0.00,0.00,0.00
43.40,52.70,16.30,0.00,0.00,0.00,0.00,0.00
44.60,52.80,18.20,0.00,0.00,0.00,0.00,0.00
44.30,53.00,16.30,0.00,0.00,0.00,0.00,0.00
43.80,52.20,17.90,0.00,0.00,0.00,0.00,0.00
44.60,53.00,16.30,0.00,0.00,0.00,0.00,0.00
43.50,52.50,19.60,0.00,0.00,0.00,0.00,0.00
44.00,53.00,18.30,0.00,0.00,0.00,0.00,0.00
44.20,52.50,16.60,0.00,0.00,0.00,0.00,0.00
43.40,52.70,16.00,0.00,0.00,0.00,0.00,0.00
