reactor,crimson-osd
31.20,12.50
183.70,16.30
183.50,16.90
184.00,16.70
184.50,16.30
182.30,16.30
183.10,16.60
182.70,16.00
182.40,16.90
185.30,16.30
181.10,16.30
183.30,16.30
185.70,19.60
186.40,21.30
190.00,20.60
194.30,20.00
192.20,19.90
197.40,21.30
195.10,19.60
192.00,17.70
192.00,16.30
191.00,16.70
186.00,15.90
186.40,16.30
184.50,17.60
181.30,16.70
180.80,17.60
179.10,17.70
178.80,16.60
180.30,16.70
279.90,33.30
251.70,27.20
254.20,27.00
251.20,26.60
252.10,28.00
249.80,27.60
251.50,27.00
250.40,26.60
250.30,27.30
253.20,28.60
253.30,26.70
249.60,27.60
252.10,27.70
250.90,26.90
255.50,27.30
251.10,27.60
251.00,27.30
251.00,26.60
251.80,26.90
254.00,27.00
253.60,26.00
250.80,26.20
253.80,27.60
254.00,26.30
252.90,27.20
255.40,26.30
248.70,27.60
252.00,26.70
250.80,27.90
255.00,27.00
346.60,46.70
327.90,47.50
333.30,47.70
329.00,46.20
333.70,46.70
332.00,46.50
333.00,45.70
329.90,46.20
332.70,44.70
331.90,46.20
331.90,45.70
332.50,44.90
330.20,46.20
331.50,47.30
330.90,46.50
333.90,46.30
332.30,45.20
336.10,46.70
331.20,46.20
333.40,44.00
331.30,46.80
331.30,45.70
330.10,45.80
331.00,46.30
330.30,46.20
329.30,46.00
331.30,45.50
332.10,47.00
330.90,46.50
333.30,45.30
393.20,66.70
414.50,55.00
420.60,55.10
418.60,54.00
420.00,55.80
418.40,56.00
418.20,55.80
415.70,56.10
421.00,54.30
418.40,55.50
419.60,55.30
418.80,53.80
418.70,55.00
416.80,56.10
419.80,56.00
416.60,56.10
421.90,55.70
419.90,56.10
421.80,55.30
419.20,55.10
419.90,54.30
416.70,54.80
418.90,55.70
419.40,54.80
419.90,54.30
418.50,55.10
420.80,56.70
416.80,55.80
422.60,55.00
420.30,56.80
473.20,80.00
470.10,63.10
471.30,65.70
473.40,64.50
476.60,66.30
469.30,63.50
477.10,66.40
480.80,65.30
470.30,62.10
472.70,63.00
464.30,67.30
470.70,64.80
481.00,67.00
463.20,67.10
466.10,65.00
476.10,66.10
473.00,63.30
473.90,65.40
470.30,64.30
478.30,66.10
479.70,65.30
483.00,67.80
470.10,64.50
478.30,66.00
476.10,67.40
467.70,65.70
469.50,63.80
465.30,68.00
476.90,66.80
468.00,64.70
513.20,73.30
486.20,68.40
490.00,65.30
479.40,71.40
489.20,64.70
480.10,69.10
486.20,67.30
482.40,65.10
490.40,68.00
484.70,65.80
474.40,69.40
493.90,67.70
487.60,68.10
489.20,66.00
491.10,71.80
495.10,66.70
485.00,67.80
482.30,66.00
495.00,70.10
494.30,70.70
477.60,69.80
493.40,67.30
480.00,62.80
470.00,69.30
478.00,68.10
485.00,65.00
493.30,65.40
470.70,73.70
485.70,68.40
487.30,68.30
440.00,93.30
482.40,62.30
480.70,63.50
495.10,66.10
488.90,74.70
452.50,71.10
488.30,62.00
482.00,63.80
472.80,62.70
483.40,69.10
483.80,72.30
463.40,64.80
479.30,67.30
493.50,64.10
483.00,71.30
484.70,70.40
494.60,66.70
488.90,70.80
488.00,70.30
496.00,77.40
488.30,65.00
479.10,67.40
468.60,68.70
495.10,67.40
498.40,68.30
477.00,66.80
476.50,65.00
477.00,68.10
482.70,71.30
474.30,71.40
459.90,66.70
475.30,65.40
472.20,62.00
481.30,59.80
479.30,64.70
467.10,66.10
477.60,66.00
478.10,67.80
483.30,68.70
441.80,58.10
467.30,62.00
471.10,62.80
467.50,68.70
459.00,59.10
482.90,64.00
467.80,63.10
485.60,65.30
476.30,61.10
460.30,65.30
485.20,61.50
492.30,69.70
486.70,60.80
475.60,71.00
476.50,71.40
458.50,64.50
468.00,56.30
484.00,68.80
472.00,67.00
474.10,63.80
476.30,62.00
380.00,99.90
461.90,61.70
484.10,72.80
480.30,65.00
469.70,75.10
463.90,69.00
482.40,70.80
454.90,65.00
454.20,66.10
492.60,70.70
457.80,67.40
493.90,65.30
458.30,59.10
455.90,83.00
458.70,73.40
453.70,68.30
457.80,73.40
479.00,76.70
432.20,72.10
475.40,75.30
481.30,66.40
472.30,61.00
461.10,76.70
475.30,74.00
470.60,66.10
451.30,57.70
440.90,72.40
447.20,80.00
441.60,63.10
492.60,70.30
6.70,0.00
3.30,1.00
3.30,0.30
2.50,0.70
3.60,1.00
3.70,0.70
2.90,0.70
3.00,0.30
3.70,1.00
2.90,0.70
2.50,0.30
3.30,1.00
4.00,0.30
2.90,1.00
2.90,0.70
2.10,0.30
5.20,1.00
2.90,0.70
2.90,0.30
2.90,0.70
2.90,0.70
4.10,1.00
2.10,0.30
3.40,0.30
4.10,1.30
3.30,0.30
2.10,0.70
4.10,0.70
3.30,0.70
3.70,0.70
486.50,53.30
462.70,67.40
456.00,74.00
456.40,64.80
247.70,46.30
2.50,0.30
4.40,0.70
3.30,1.00
2.50,0.30
2.90,0.70
2.90,0.30
2.90,1.00
4.50,0.70
2.10,0.30
3.70,1.30
2.20,0.30
4.30,0.30
3.60,1.00
2.90,0.30
3.30,0.70
2.90,0.70
2.90,0.70
4.40,0.70
2.50,0.70
2.50,0.30
4.00,1.00
3.30,0.70
2.50,0.30
3.70,0.70
3.70,0.70
446.70,99.90
423.90,94.00
407.90,94.30
422.30,94.00
423.60,94.70
442.40,95.30
411.30,95.70
442.20,94.00
431.60,95.00
413.30,95.00
412.50,94.70
446.50,94.40
435.10,94.30
402.10,95.00
419.00,95.00
429.40,95.30
425.90,93.70
408.90,95.30
451.30,94.70
423.30,95.00
411.70,95.70
410.80,94.70
321.30,80.00
3.30,1.00
3.60,0.70
2.50,0.30
4.00,1.00
2.90,0.70
3.30,0.70
3.30,0.70
