#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.00,9.00,4.30,0.00,0.00,0.00,0.00,0.00
13.70,9.40,4.30,0.00,0.00,0.00,0.00,0.00
14.60,9.00,4.00,0.00,0.00,0.00,0.00,0.00
13.70,9.00,4.30,0.00,0.00,0.00,0.00,0.00
14.00,9.00,4.00,0.00,0.00,0.00,0.00,0.00
13.70,9.00,4.00,0.00,0.00,0.00,0.00,0.00
13.60,9.00,4.30,0.00,0.00,0.00,0.00,0.00
14.00,9.70,4.30,0.00,0.00,0.00,0.00,0.00
14.00,8.60,3.70,0.00,0.00,0.00,0.00,0.00
14.00,9.60,4.60,0.00,0.00,0.00,0.00,0.00
14.00,9.00,4.40,0.00,0.00,0.00,0.00,0.00
13.70,9.00,4.00,0.00,0.00,0.00,0.00,0.00
14.00,9.40,4.30,0.00,0.00,0.00,0.00,0.00
13.70,9.00,4.00,0.00,0.00,0.00,0.00,0.00
14.30,9.00,4.70,0.00,0.00,0.00,0.00,0.00
14.00,9.00,4.00,0.00,0.00,0.00,0.00,0.00
14.00,8.90,4.00,0.00,0.00,0.00,0.00,0.00
14.00,9.60,4.30,0.00,0.00,0.00,0.00,0.00
13.60,9.00,4.00,0.00,0.00,0.00,0.00,0.00
14.30,9.40,4.30,0.00,0.00,0.00,0.00,0.00
14.00,9.00,4.30,0.00,0.00,0.00,0.00,0.00
14.00,9.00,4.00,0.00,0.00,0.00,0.00,0.00
14.00,8.70,4.30,0.00,0.00,0.00,0.00,0.00
14.00,9.30,3.70,0.00,0.00,0.00,0.00,0.00
14.00,9.40,4.40,0.00,0.00,0.00,0.00,0.00
13.70,9.30,4.30,0.00,0.00,0.00,0.00,0.00
14.30,9.30,4.00,0.00,0.00,0.00,0.00,0.00
13.70,8.70,4.30,0.00,0.00,0.00,0.00,0.00
14.00,9.00,4.00,0.00,0.00,0.00,0.00,0.00
6.70,13.40,0.00,0.00,0.00,0.00,0.00,0.00
22.00,15.70,7.00,0.00,0.00,0.00,0.00,0.00
21.60,16.00,6.90,0.00,0.00,0.00,0.00,0.00
21.30,15.70,7.00,0.00,0.00,0.00,0.00,0.00
21.30,15.60,6.30,0.00,0.00,0.00,0.00,0.00
22.00,16.00,7.70,0.00,0.00,0.00,0.00,0.00
20.90,15.60,6.60,0.00,0.00,0.00,0.00,0.00
21.70,15.70,7.00,0.00,0.00,0.00,0.00,0.00
21.30,15.60,6.90,0.00,0.00,0.00,0.00,0.00
21.30,15.40,6.30,0.00,0.00,0.00,0.00,0.00
21.30,16.00,7.30,0.00,0.00,0.00,0.00,0.00
21.70,16.00,6.70,0.00,0.00,0.00,0.00,0.00
21.30,15.20,6.90,0.00,0.00,0.00,0.00,0.00
21.70,16.00,6.70,0.00,0.00,0.00,0.00,0.00
21.30,15.60,7.30,0.00,0.00,0.00,0.00,0.00
21.60,16.30,6.60,0.00,0.00,0.00,0.00,0.00
21.00,15.00,6.90,0.00,0.00,0.00,0.00,0.00
20.90,16.00,7.30,0.00,0.00,0.00,0.00,0.00
21.70,16.00,7.00,0.00,0.00,0.00,0.00,0.00
21.30,16.00,6.90,0.00,0.00,0.00,0.00,0.00
21.30,15.70,7.00,0.00,0.00,0.00,0.00,0.00
21.30,15.20,6.30,0.00,0.00,0.00,0.00,0.00
21.30,15.70,7.00,0.00,0.00,0.00,0.00,0.00
21.30,15.60,6.90,0.00,0.00,0.00,0.00,0.00
21.70,15.70,6.30,0.00,0.00,0.00,0.00,0.00
21.30,16.00,6.90,0.00,0.00,0.00,0.00,0.00
21.00,15.40,6.60,0.00,0.00,0.00,0.00,0.00
21.90,15.90,7.60,0.00,0.00,0.00,0.00,0.00
21.30,15.70,6.30,0.00,0.00,0.00,0.00,0.00
21.30,15.20,6.90,0.00,0.00,0.00,0.00,0.00
20.00,13.40,13.30,0.00,0.00,0.00,0.00,0.00
29.20,22.60,9.60,0.00,0.00,0.00,0.00,0.00
28.30,22.60,9.30,0.00,0.00,0.00,0.00,0.00
29.20,22.90,9.60,0.00,0.00,0.00,0.00,0.00
28.70,22.60,9.30,0.00,0.00,0.00,0.00,0.00
29.60,23.20,9.60,0.00,0.00,0.00,0.00,0.00
29.00,23.00,10.00,0.00,0.00,0.00,0.00,0.00
28.60,22.60,9.30,0.00,0.00,0.00,0.00,0.00
29.70,23.00,10.00,0.00,0.00,0.00,0.00,0.00
28.20,22.60,9.60,0.00,0.00,0.00,0.00,0.00
29.70,23.00,10.30,0.00,0.00,0.00,0.00,0.00
