reactor,crimson-osd
86.50,20.00
180.50,15.00
184.00,15.30
182.30,15.60
183.70,15.00
181.80,15.30
184.30,14.70
183.10,15.00
182.70,15.70
183.10,14.60
182.70,14.70
181.30,15.90
183.70,15.30
181.30,15.90
185.10,14.70
181.90,15.90
183.30,15.70
184.40,15.00
183.10,15.00
183.10,15.30
183.10,15.30
183.10,15.90
183.30,15.70
184.70,14.30
183.60,16.30
182.50,14.60
184.40,15.70
182.90,14.60
184.50,15.30
182.10,15.90
260.10,33.30
245.00,30.30
245.60,31.60
245.00,29.70
247.80,29.90
245.30,30.30
246.80,29.60
246.00,31.30
245.60,29.60
248.30,30.70
245.90,30.90
247.60,30.30
246.70,29.90
246.00,31.00
245.50,30.60
243.50,30.60
246.30,30.70
245.20,30.90
247.90,30.70
245.50,32.20
244.60,30.30
243.50,31.60
244.40,29.30
248.50,30.90
246.70,30.70
244.90,31.90
245.00,31.00
247.10,31.20
244.30,32.00
246.80,28.90
353.40,40.00
336.20,41.90
336.60,41.70
335.80,41.90
337.90,42.30
333.20,43.20
338.00,42.30
333.40,42.50
336.60,43.30
334.60,40.20
337.70,42.30
336.90,43.90
337.00,43.00
338.20,42.50
337.00,42.00
335.40,41.50
334.60,41.00
335.70,40.50
339.20,42.70
337.60,42.20
337.20,43.00
337.80,41.50
335.90,42.70
336.90,41.50
336.40,42.70
333.60,43.20
336.20,42.00
332.60,41.90
342.60,42.70
336.20,42.20
380.00,66.70
412.60,61.70
405.60,63.50
408.30,62.00
411.00,60.80
411.40,63.70
404.30,62.10
409.90,60.70
408.80,60.50
412.40,59.70
408.60,60.80
412.30,61.70
409.60,61.50
406.00,61.70
412.70,60.50
413.00,62.70
407.90,62.10
410.60,61.30
409.00,61.50
407.30,62.00
408.60,63.10
409.10,62.70
407.60,60.80
408.90,63.00
410.40,61.50
409.10,61.70
411.20,61.80
410.60,62.30
409.20,60.80
407.00,61.50
526.50,66.70
463.50,63.80
467.90,62.70
476.00,66.10
476.00,65.00
466.10,63.10
466.20,63.10
475.80,65.00
469.70,65.10
465.60,64.00
474.30,66.10
475.40,65.00
468.20,66.40
461.70,62.30
470.40,65.80
472.20,65.70
464.50,64.50
466.30,67.30
471.80,66.80
465.20,64.00
478.10,65.80
471.70,65.30
468.80,63.50
470.50,66.30
458.40,64.50
468.70,66.00
467.80,65.40
463.80,64.00
471.70,63.50
484.20,66.00
519.90,66.70
465.80,75.70
470.30,74.00
477.40,75.10
471.70,76.70
467.50,74.40
456.30,76.00
465.80,70.40
476.90,71.30
466.00,76.40
459.70,74.70
479.60,76.10
451.90,74.70
462.00,77.10
462.30,73.00
469.50,74.10
455.60,79.00
480.00,75.70
468.90,73.30
468.00,74.10
469.40,75.70
459.40,77.40
461.70,74.40
471.60,75.00
462.00,80.30
460.10,76.40
466.70,74.30
474.80,72.80
467.70,79.70
484.20,72.40
460.00,99.90
475.60,71.70
477.10,74.10
486.90,62.70
479.10,72.40
470.70,66.00
466.60,70.80
481.30,64.00
476.70,63.10
478.20,63.30
482.70,66.10
464.00,68.30
459.60,66.80
481.60,62.30
468.70,60.10
466.30,61.70
479.80,64.80
472.30,60.70
491.10,70.10
472.90,63.00
477.70,68.80
467.30,72.30
459.60,63.10
483.90,66.30
465.40,65.80
481.70,76.30
473.90,69.80
472.90,60.30
482.30,69.40
482.90,60.10
426.70,99.90
463.00,67.40
442.90,68.30
69.00,8.30
3.60,1.30
2.50,0.30
3.70,0.30
2.90,1.00
3.30,0.30
3.30,1.00
2.90,0.70
3.70,0.30
3.70,1.00
2.50,0.30
3.00,1.00
3.30,0.70
3.60,0.30
4.40,1.00
2.50,0.30
2.10,0.70
3.70,0.70
2.90,0.70
3.70,0.70
3.30,1.00
3.30,0.30
2.50,0.70
4.10,0.70
2.20,0.30
4.40,1.00
2.90,0.70
453.20,46.70
450.40,59.30
467.50,67.80
487.30,73.70
470.40,71.10
475.70,74.30
474.40,68.10
469.10,69.70
488.80,64.80
493.60,70.70
487.40,61.50
466.10,68.30
480.70,63.80
482.60,65.00
483.40,66.80
459.30,65.00
454.50,59.10
494.80,64.30
463.00,58.10
459.20,67.30
459.80,63.50
451.00,70.30
455.50,67.10
444.30,62.70
465.20,64.10
480.00,66.00
467.30,68.10
463.90,65.30
452.40,58.50
475.30,69.70
418.50,62.50
458.30,76.30
442.60,65.40
467.30,62.30
467.60,59.80
460.10,74.30
468.40,64.10
469.70,66.30
448.50,56.50
459.60,66.70
432.90,54.50
467.30,57.70
469.30,59.80
457.90,59.00
432.20,51.50
450.70,70.30
429.10,71.10
444.90,60.30
103.30,25.20
4.10,0.30
2.10,0.70
4.10,1.00
2.50,0.30
3.70,1.30
2.90,0.30
3.30,0.70
2.90,0.70
3.30,0.30
2.60,1.00
4.70,0.70
459.80,93.30
466.50,68.40
477.50,62.70
490.90,63.10
453.00,70.30
438.00,62.50
458.90,75.00
470.40,62.50
442.70,58.00
454.80,56.80
464.50,59.70
457.80,59.80
446.90,69.30
465.20,61.80
457.30,60.00
458.50,55.10
436.30,80.30
468.30,62.10
458.90,65.70
458.00,70.10
455.40,74.70
443.40,67.10
464.00,66.70
469.40,67.10
449.30,74.70
450.30,66.80
469.30,67.30
487.00,65.40
473.70,63.80
483.30,60.30
346.70,99.90
454.10,73.40
463.10,61.70
457.10,62.10
439.30,65.30
456.10,63.10
450.30,75.00
442.10,81.10
455.70,71.00
473.50,61.10
146.30,35.30
3.60,0.70
2.50,0.70
2.90,0.70
3.30,1.00
3.30,0.70
3.30,0.30
2.10,0.70
3.30,1.00
4.10,0.70
3.00,0.70
3.60,0.70
2.50,0.30
3.30,1.00
2.50,1.00
2.50,0.30
4.40,0.70
2.90,0.70
2.90,0.70
3.70,1.00
13.40,0.00
2.90,0.30
2.50,1.00
3.30,0.70
3.20,0.30
2.90,1.00
3.20,0.70
2.50,0.30
4.30,1.00
3.00,0.70
2.20,0.30
4.30,1.00
3.30,0.30
2.90,1.00
3.30,0.70
3.30,0.30
3.30,1.00
2.50,0.70
3.30,0.30
3.70,1.00
3.30,0.30
3.20,1.30
3.40,0.30
2.50,0.70
4.70,0.70
2.50,0.70
2.50,0.30
3.20,1.00
2.90,0.70
5.00,1.00
0.00,6.70
2.80,1.00
3.30,0.30
2.10,0.70
5.10,1.00
2.10,0.30
3.30,0.70
3.60,0.70
2.50,0.30
4.40,1.30
1.50,0.30
3.20,0.30
4.30,1.00
2.20,0.30
4.70,1.00
2.10,0.30
2.90,0.70
4.10,0.70
2.90,0.70
3.30,0.70
2.90,0.70
3.30,0.30
3.30,1.00
3.30,0.70
2.90,0.30
4.50,0.70
