reactor,crimson-osd
119.90,99.90
105.70,92.00
107.30,93.30
105.00,92.40
106.60,93.00
103.70,92.70
105.30,93.00
106.30,92.00
104.70,93.00
104.40,92.30
105.70,93.40
105.80,92.70
105.40,93.00
104.10,92.70
106.30,92.70
106.60,93.00
106.70,92.00
108.30,92.70
103.00,92.40
107.20,93.30
106.60,93.00
105.60,93.00
104.00,93.00
106.00,92.70
106.00,92.00
104.70,93.00
106.40,93.00
105.10,93.00
105.70,92.70
106.60,93.00
268.80,18.80
253.90,23.70
252.90,25.20
254.60,22.70
252.00,24.60
253.90,24.30
252.60,24.30
254.80,25.00
254.50,23.90
256.00,24.00
255.50,23.60
254.20,24.70
254.20,24.90
254.60,25.00
251.90,24.30
255.20,24.00
253.80,24.30
256.30,24.30
251.20,24.30
255.00,25.00
251.50,23.90
253.40,26.70
255.20,23.60
255.40,24.30
255.80,24.30
253.20,23.30
255.90,23.70
252.10,23.90
252.60,24.30
256.40,24.60
346.60,46.70
326.50,38.70
328.50,37.20
323.30,38.70
327.10,38.50
326.70,37.00
324.60,37.20
326.60,38.70
327.30,38.90
325.60,39.30
328.60,37.20
327.30,38.70
327.40,37.20
325.00,37.30
327.20,37.90
327.00,38.30
327.00,38.20
328.70,38.30
324.30,38.20
327.30,37.30
327.30,38.90
327.90,37.00
324.90,36.90
329.70,38.70
326.90,38.50
323.20,38.50
326.70,37.70
321.90,37.50
330.00,37.70
328.30,38.30
393.20,46.70
413.50,50.20
407.90,51.70
411.20,52.50
416.20,50.70
412.60,50.20
415.00,50.30
410.00,50.20
415.70,51.00
410.10,51.20
411.30,51.30
411.60,52.50
412.30,51.30
407.60,49.50
419.90,52.00
407.60,51.50
411.90,51.30
411.60,49.80
415.80,49.00
409.20,52.50
406.60,50.50
415.70,52.30
411.60,49.80
411.10,50.30
410.20,50.80
412.20,53.70
410.70,50.50
410.50,52.30
411.60,50.80
413.50,51.00
399.90,80.00
447.30,64.30
442.50,65.10
445.30,61.70
441.90,62.10
458.30,63.00
431.30,65.40
433.70,67.30
435.70,65.10
440.10,63.00
442.20,59.50
435.00,62.70
441.20,59.80
432.90,64.10
441.70,65.30
433.90,61.50
451.60,59.70
438.80,61.50
435.70,62.00
439.20,65.40
435.40,65.00
440.20,62.10
441.90,62.70
434.60,67.80
432.60,65.30
444.90,60.50
440.40,66.00
441.20,63.80
428.60,60.70
445.40,61.80
486.60,60.00
448.50,65.80
403.60,79.40
416.70,77.70
423.30,70.40
423.70,68.70
440.50,65.40
450.20,67.30
427.80,74.40
433.50,71.70
415.00,73.10
411.00,71.70
431.60,64.80
436.60,73.70
452.50,59.50
422.90,73.70
442.20,66.10
427.90,66.00
430.20,73.80
430.60,70.30
422.00,67.40
426.80,74.00
466.00,64.50
405.40,74.70
397.90,74.80
394.30,79.70
441.30,66.10
413.00,78.70
441.30,66.40
410.30,73.00
406.40,40.00
427.30,69.70
408.30,72.80
426.20,70.40
402.70,75.00
441.60,63.10
432.40,68.30
448.20,64.10
403.70,75.30
426.20,66.10
444.00,62.70
440.60,62.80
