#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
419.50,280.80,112.30,0.00,0.00,0.00,0.00,0.00
418.30,279.80,113.60,0.00,0.00,0.00,0.00,0.00
416.90,283.30,115.00,0.00,0.00,0.00,0.00,0.00
417.50,281.80,113.00,0.00,0.00,0.00,0.00,0.00
417.80,283.00,110.20,0.00,0.00,0.00,0.00,0.00
418.70,281.90,117.60,0.00,0.00,0.00,0.00,0.00
415.80,281.00,111.50,0.00,0.00,0.00,0.00,0.00
417.30,281.90,112.30,0.00,0.00,0.00,0.00,0.00
416.90,283.70,113.00,0.00,0.00,0.00,0.00,0.00
418.10,277.30,110.50,0.00,0.00,0.00,0.00,0.00
417.50,281.10,116.50,0.00,0.00,0.00,0.00,0.00
416.50,281.70,113.80,0.00,0.00,0.00,0.00,0.00
417.50,281.40,112.00,0.00,0.00,0.00,0.00,0.00
416.40,282.50,114.00,0.00,0.00,0.00,0.00,0.00
416.30,281.00,109.30,0.00,0.00,0.00,0.00,0.00
419.80,280.10,111.80,0.00,0.00,0.00,0.00,0.00
416.60,282.50,111.00,0.00,0.00,0.00,0.00,0.00
417.20,279.50,113.20,0.00,0.00,0.00,0.00,0.00
416.00,282.50,112.00,0.00,0.00,0.00,0.00,0.00
415.30,281.20,112.30,0.00,0.00,0.00,0.00,0.00
418.20,283.60,111.30,0.00,0.00,0.00,0.00,0.00
415.90,281.00,121.40,0.00,0.00,0.00,0.00,0.00
416.60,281.00,116.80,0.00,0.00,0.00,0.00,0.00
417.80,280.20,114.50,0.00,0.00,0.00,0.00,0.00
416.60,282.00,112.10,0.00,0.00,0.00,0.00,0.00
416.80,279.30,112.20,0.00,0.00,0.00,0.00,0.00
418.00,280.50,112.00,0.00,0.00,0.00,0.00,0.00
416.00,281.50,109.20,0.00,0.00,0.00,0.00,0.00
415.80,281.10,113.00,0.00,0.00,0.00,0.00,0.00
441.40,283.20,106.20,0.00,0.00,0.00,0.00,0.00
2.80,3.00,0.00,0.00,0.00,0.00,0.00,0.00
0.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
1.50,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.30,0.00,0.70,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
