#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
121.40,82.90,36.20,0.00,0.00,0.00,0.00,0.00
114.60,83.40,36.20,0.00,0.00,0.00,0.00,0.00
118.00,84.30,37.40,0.00,0.00,0.00,0.00,0.00
113.20,82.30,35.30,0.00,0.00,0.00,0.00,0.00
119.00,82.30,36.50,0.00,0.00,0.00,0.00,0.00
115.80,84.10,37.70,0.00,0.00,0.00,0.00,0.00
116.20,80.60,35.00,0.00,0.00,0.00,0.00,0.00
114.60,85.20,36.50,0.00,0.00,0.00,0.00,0.00
116.20,82.10,34.70,0.00,0.00,0.00,0.00,0.00
117.00,84.70,38.70,0.00,0.00,0.00,0.00,0.00
117.80,84.00,36.50,0.00,0.00,0.00,0.00,0.00
113.90,82.30,35.40,0.00,0.00,0.00,0.00,0.00
117.80,85.60,38.20,0.00,0.00,0.00,0.00,0.00
115.60,80.70,36.50,0.00,0.00,0.00,0.00,0.00
117.70,86.10,36.30,0.00,0.00,0.00,0.00,0.00
115.10,83.50,35.00,0.00,0.00,0.00,0.00,0.00
118.60,83.20,35.90,0.00,0.00,0.00,0.00,0.00
114.60,81.90,38.40,0.00,0.00,0.00,0.00,0.00
119.50,84.00,34.10,0.00,0.00,0.00,0.00,0.00
115.30,85.80,37.20,0.00,0.00,0.00,0.00,0.00
120.10,81.10,37.10,0.00,0.00,0.00,0.00,0.00
114.20,88.30,36.80,0.00,0.00,0.00,0.00,0.00
119.20,81.90,37.10,0.00,0.00,0.00,0.00,0.00
115.30,84.40,39.60,0.00,0.00,0.00,0.00,0.00
115.20,79.90,37.90,0.00,0.00,0.00,0.00,0.00
115.80,84.80,37.90,0.00,0.00,0.00,0.00,0.00
116.20,81.80,34.70,0.00,0.00,0.00,0.00,0.00
116.30,84.30,37.70,0.00,0.00,0.00,0.00,0.00
115.10,84.90,37.20,0.00,0.00,0.00,0.00,0.00
118.00,68.20,24.80,0.00,0.00,0.00,0.00,0.00
142.80,102.90,43.10,0.00,0.00,0.00,0.00,0.00
144.70,105.30,44.10,0.00,0.00,0.00,0.00,0.00
137.20,99.70,43.80,0.00,0.00,0.00,0.00,0.00
140.70,100.00,44.20,0.00,0.00,0.00,0.00,0.00
143.60,105.40,43.20,0.00,0.00,0.00,0.00,0.00
138.10,104.20,45.30,0.00,0.00,0.00,0.00,0.00
141.20,100.00,41.10,0.00,0.00,0.00,0.00,0.00
142.70,106.40,44.90,0.00,0.00,0.00,0.00,0.00
144.40,103.40,45.60,0.00,0.00,0.00,0.00,0.00
137.70,98.10,42.50,0.00,0.00,0.00,0.00,0.00
142.00,104.00,45.00,0.00,0.00,0.00,0.00,0.00
141.00,101.40,42.00,0.00,0.00,0.00,0.00,0.00
142.70,105.20,43.40,0.00,0.00,0.00,0.00,0.00
141.40,103.90,44.60,0.00,0.00,0.00,0.00,0.00
143.90,101.80,41.70,0.00,0.00,0.00,0.00,0.00
141.00,102.90,44.00,0.00,0.00,0.00,0.00,0.00
134.40,97.10,46.50,0.00,0.00,0.00,0.00,0.00
128.50,88.10,37.80,0.00,0.00,0.00,0.00,0.00
127.20,92.10,42.10,0.00,0.00,0.00,0.00,0.00
129.00,91.20,39.00,0.00,0.00,0.00,0.00,0.00
126.60,87.40,39.70,0.00,0.00,0.00,0.00,0.00
126.00,89.10,36.50,0.00,0.00,0.00,0.00,0.00
128.40,87.90,37.50,0.00,0.00,0.00,0.00,0.00
125.90,87.30,37.40,0.00,0.00,0.00,0.00,0.00
124.80,89.50,37.80,0.00,0.00,0.00,0.00,0.00
128.40,87.30,36.30,0.00,0.00,0.00,0.00,0.00
145.10,105.00,45.20,0.00,0.00,0.00,0.00,0.00
141.30,103.00,44.10,0.00,0.00,0.00,0.00,0.00
144.60,103.20,45.00,0.00,0.00,0.00,0.00,0.00
136.60,124.30,68.20,0.00,0.00,0.00,0.00,0.00
162.90,120.70,49.10,0.00,0.00,0.00,0.00,0.00
164.90,121.40,52.90,0.00,0.00,0.00,0.00,0.00
164.60,121.00,51.30,0.00,0.00,0.00,0.00,0.00
162.40,121.60,51.50,0.00,0.00,0.00,0.00,0.00
163.80,121.70,50.80,0.00,0.00,0.00,0.00,0.00
163.90,122.30,48.70,0.00,0.00,0.00,0.00,0.00
163.80,121.00,53.90,0.00,0.00,0.00,0.00,0.00
162.80,121.40,51.90,0.00,0.00,0.00,0.00,0.00
165.70,121.00,50.70,0.00,0.00,0.00,0.00,0.00
162.20,121.40,51.60,0.00,0.00,0.00,0.00,0.00
165.10,120.70,50.90,0.00,0.00,0.00,0.00,0.00
163.80,122.00,51.60,0.00,0.00,0.00,0.00,0.00
164.40,124.40,50.90,0.00,0.00,0.00,0.00,0.00
163.20,119.70,53.40,0.00,0.00,0.00,0.00,0.00
165.90,121.00,53.90,0.00,0.00,0.00,0.00,0.00
163.20,118.90,50.80,0.00,0.00,0.00,0.00,0.00
165.20,125.80,51.90,0.00,0.00,0.00,0.00,0.00
162.10,120.10,48.50,0.00,0.00,0.00,0.00,0.00
164.30,120.70,50.80,0.00,0.00,0.00,0.00,0.00
162.30,121.00,49.80,0.00,0.00,0.00,0.00,0.00
164.60,123.00,49.70,0.00,0.00,0.00,0.00,0.00
163.40,122.10,50.70,0.00,0.00,0.00,0.00,0.00
162.70,120.20,51.00,0.00,0.00,0.00,0.00,0.00
166.50,122.40,51.50,0.00,0.00,0.00,0.00,0.00
163.30,120.00,51.60,0.00,0.00,0.00,0.00,0.00
165.30,121.60,49.00,0.00,0.00,0.00,0.00,0.00
163.30,124.20,57.30,0.00,0.00,0.00,0.00,0.00
163.80,121.00,51.20,0.00,0.00,0.00,0.00,0.00
165.30,123.70,52.20,0.00,0.00,0.00,0.00,0.00
174.10,124.20,74.60,0.00,0.00,0.00,0.00,0.00
172.70,133.30,54.50,0.00,0.00,0.00,0.00,0.00
174.40,129.50,55.00,0.00,0.00,0.00,0.00,0.00
174.00,133.10,53.40,0.00,0.00,0.00,0.00,0.00
