## num_jobs: 1
# iodepth iops total_ios clat_ms clat_stdev usr_cpu sys_cpu OSD_cpu OSD_mem FIO_cpu FIO_mem
 1  28788.24  8636588.00  1.11  0.91  0.65  0.48  0.00  0.00  220.87  52.50 
 2  39690.09  11907224.00  1.61  1.63  0.77  0.58  0.00  0.00  273.56  79.50 
 4  49872.14  14962092.00  2.56  2.76  0.89  0.66  0.00  0.00  335.02  91.50 
 8  55122.22  16537438.00  4.64  8.18  0.98  0.71  0.00  0.00  358.28  99.00 
 16  55191.09  16559977.00  9.22  40.25  0.99  0.70  0.00  0.00  356.81  102.00 
 24  55207.70  16569431.00  13.79  65.83  0.99  0.69  0.00  0.00  353.88  99.00 
 32  47451.82  14236876.00  4.90  22.58  3.34  2.22  0.00  0.00  282.15  26.97 
 40  30915.65  9274756.00  1.37  8.32  15.25  7.95  0.00  0.00  151.75  2.91 
 52  47518.64  14257017.00  4.42  17.44  5.89  3.50  0.00  0.00  239.34  8.42 
 64  55500.66  16654083.00  10.95  46.19  2.77  1.91  0.00  0.00  302.86  30.16 
