#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
164.70,89.40,26.20,0.00,0.00,0.00,0.00,0.00
164.10,89.10,27.70,0.00,0.00,0.00,0.00,0.00
166.40,90.00,27.50,0.00,0.00,0.00,0.00,0.00
166.50,93.60,28.00,0.00,0.00,0.00,0.00,0.00
167.70,91.30,28.40,0.00,0.00,0.00,0.00,0.00
166.20,93.60,26.30,0.00,0.00,0.00,0.00,0.00
165.00,89.70,29.60,0.00,0.00,0.00,0.00,0.00
167.30,90.00,28.40,0.00,0.00,0.00,0.00,0.00
168.30,91.40,28.40,0.00,0.00,0.00,0.00,0.00
167.90,93.80,28.70,0.00,0.00,0.00,0.00,0.00
167.00,89.80,27.40,0.00,0.00,0.00,0.00,0.00
166.20,89.90,28.00,0.00,0.00,0.00,0.00,0.00
167.40,92.70,28.30,0.00,0.00,0.00,0.00,0.00
166.60,92.10,26.70,0.00,0.00,0.00,0.00,0.00
168.60,90.10,30.20,0.00,0.00,0.00,0.00,0.00
167.10,91.70,28.40,0.00,0.00,0.00,0.00,0.00
168.60,90.70,28.10,0.00,0.00,0.00,0.00,0.00
166.70,91.00,29.90,0.00,0.00,0.00,0.00,0.00
167.20,92.10,27.40,0.00,0.00,0.00,0.00,0.00
167.50,93.00,26.90,0.00,0.00,0.00,0.00,0.00
170.30,92.30,27.80,0.00,0.00,0.00,0.00,0.00
167.30,93.70,29.30,0.00,0.00,0.00,0.00,0.00
166.70,89.70,27.70,0.00,0.00,0.00,0.00,0.00
167.60,91.60,27.80,0.00,0.00,0.00,0.00,0.00
170.50,94.40,28.90,0.00,0.00,0.00,0.00,0.00
171.00,93.30,27.80,0.00,0.00,0.00,0.00,0.00
169.30,92.70,27.80,0.00,0.00,0.00,0.00,0.00
165.20,91.10,29.90,0.00,0.00,0.00,0.00,0.00
167.20,92.90,27.70,0.00,0.00,0.00,0.00,0.00
149.30,86.90,12.40,0.00,0.00,0.00,0.00,0.00
181.30,99.80,29.90,0.00,0.00,0.00,0.00,0.00
163.20,90.00,27.80,0.00,0.00,0.00,0.00,0.00
89.00,53.00,16.30,0.00,0.00,0.00,0.00,0.00
63.60,39.40,12.10,0.00,0.00,0.00,0.00,0.00
11.90,7.60,2.30,0.00,0.00,0.00,0.00,0.00
10.30,6.70,2.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.60,0.00,0.70,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136.80,99.20,6.20,0.00,0.00,0.00,0.00,0.00
123.60,75.80,22.90,0.00,0.00,0.00,0.00,0.00
120.00,74.90,22.40,0.00,0.00,0.00,0.00,0.00
124.90,77.90,24.80,0.00,0.00,0.00,0.00,0.00
121.90,73.50,23.80,0.00,0.00,0.00,0.00,0.00
123.30,78.30,23.40,0.00,0.00,0.00,0.00,0.00
121.80,74.20,23.50,0.00,0.00,0.00,0.00,0.00
118.60,74.20,25.70,0.00,0.00,0.00,0.00,0.00
123.70,78.20,23.60,0.00,0.00,0.00,0.00,0.00
121.50,75.30,24.50,0.00,0.00,0.00,0.00,0.00
124.50,76.80,24.00,0.00,0.00,0.00,0.00,0.00
119.50,75.30,21.40,0.00,0.00,0.00,0.00,0.00
123.30,73.70,24.20,0.00,0.00,0.00,0.00,0.00
120.20,78.70,24.30,0.00,0.00,0.00,0.00,0.00
122.10,71.90,25.80,0.00,0.00,0.00,0.00,0.00
124.70,77.30,24.60,0.00,0.00,0.00,0.00,0.00
120.30,74.70,24.00,0.00,0.00,0.00,0.00,0.00
122.40,77.40,22.90,0.00,0.00,0.00,0.00,0.00
142.90,82.00,25.50,0.00,0.00,0.00,0.00,0.00
190.20,100.10,29.60,0.00,0.00,0.00,0.00,0.00
191.10,105.60,31.10,0.00,0.00,0.00,0.00,0.00
190.30,103.20,29.00,0.00,0.00,0.00,0.00,0.00
