## num_jobs: 1
# iodepth bw total_ios clat_ms clat_stdev usr_cpu sys_cpu OSD_cpu OSD_mem FIO_cpu FIO_mem
 1  1475.63  6917107.00  1.38  0.75  0.47  0.39  0.00  0.00  267.87  60.00 
 2  157.79  196886.00  25.87  1288.77  0.05  0.05  0.00  0.00  48.34  42.00 
 4  1634.39  7661467.00  5.01  3.42  0.49  0.41  0.00  0.00  249.65  43.50 
 8  432.90  407648.00  37.77  1196.85  0.11  0.10  0.00  0.00  74.69  34.50 
 16  1827.27  8565934.00  17.92  15.61  0.51  0.44  0.00  0.00  268.83  57.00 
 24  2160.48  10128164.00  22.73  22.92  0.55  0.49  0.00  0.00  374.67  84.00 
 32  2186.52  10252621.00  29.94  32.41  0.55  0.49  0.00  0.00  375.26  87.00 
 40  2310.41  10832232.00  35.41  43.10  0.57  0.52  0.00  0.00  395.62  90.00 
 52  2370.57  11116145.00  44.85  59.33  0.58  0.52  0.00  0.00  403.19  91.50 
 64  69.91  53785.00  1797.92  9152.80  0.02  0.02  0.00  0.00  30.19  30.57 
