#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114.80,67.20,39.00,0.00,0.00,0.00,0.00,0.00
116.90,64.30,39.30,0.00,0.00,0.00,0.00,0.00
116.80,64.00,38.80,0.00,0.00,0.00,0.00,0.00
111.10,62.40,36.90,0.00,0.00,0.00,0.00,0.00
107.40,65.40,37.80,0.00,0.00,0.00,0.00,0.00
113.10,61.00,39.80,0.00,0.00,0.00,0.00,0.00
119.50,64.00,39.10,0.00,0.00,0.00,0.00,0.00
119.80,65.40,38.70,0.00,0.00,0.00,0.00,0.00
122.80,67.00,39.70,0.00,0.00,0.00,0.00,0.00
135.50,70.60,46.10,0.00,0.00,0.00,0.00,0.00
131.20,72.10,44.30,0.00,0.00,0.00,0.00,0.00
128.40,71.90,43.40,0.00,0.00,0.00,0.00,0.00
123.40,70.30,39.80,0.00,0.00,0.00,0.00,0.00
134.20,73.10,46.40,0.00,0.00,0.00,0.00,0.00
127.80,73.40,42.90,0.00,0.00,0.00,0.00,0.00
114.30,67.10,40.00,0.00,0.00,0.00,0.00,0.00
113.40,68.90,38.80,0.00,0.00,0.00,0.00,0.00
127.80,76.80,45.10,0.00,0.00,0.00,0.00,0.00
115.60,66.00,40.00,0.00,0.00,0.00,0.00,0.00
110.70,64.90,41.40,0.00,0.00,0.00,0.00,0.00
108.40,67.40,40.20,0.00,0.00,0.00,0.00,0.00
99.60,64.20,35.60,0.00,0.00,0.00,0.00,0.00
99.60,62.30,36.00,0.00,0.00,0.00,0.00,0.00
120.90,70.20,39.40,0.00,0.00,0.00,0.00,0.00
122.80,71.90,43.00,0.00,0.00,0.00,0.00,0.00
137.60,73.00,43.60,0.00,0.00,0.00,0.00,0.00
147.40,77.30,50.00,0.00,0.00,0.00,0.00,0.00
156.60,80.80,49.20,0.00,0.00,0.00,0.00,0.00
149.70,77.80,52.00,0.00,0.00,0.00,0.00,0.00
