## num_jobs: 1
# iodepth bw total_ios clat_ms clat_stdev usr_cpu sys_cpu OSD_cpu OSD_mem FIO_cpu FIO_mem
 1  1231.70  5773658.00  1.65  1.36  1.01  0.37  0.00  0.00  215.82  42.00 
 2  1507.96  7068586.00  2.70  2.37  1.06  0.41  0.00  0.00  276.05  43.50 
 4  1539.86  7218239.00  5.31  4.13  1.07  0.42  0.00  0.00  267.39  48.00 
 8  1475.04  6914372.00  11.09  8.11  1.24  0.41  0.00  0.00  279.10  66.00 
 16  1305.34  6118966.00  25.07  19.61  1.52  0.40  0.00  0.00  287.88  66.00 
 24  1187.38  5566057.00  41.35  35.47  1.52  0.38  0.00  0.00  298.35  67.50 
 32  754.91  3538887.00  86.69  72.52  1.14  0.30  0.00  0.00  222.58  49.50 
 40  88.80  96363.00  909.60  7596.59  0.11  0.03  0.00  0.00  27.65  39.00 
 52  522.38  1180959.00  193.18  2356.14  0.77  0.20  0.00  0.00  219.90  50.35 
 64  113.50  96269.00  1078.12  7259.17  0.15  0.04  0.00  0.00  20.83  29.63 
