#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
140.90,71.80,44.90,0.00,0.00,0.00,0.00,0.00
142.90,70.80,43.20,0.00,0.00,0.00,0.00,0.00
142.90,74.30,47.00,0.00,0.00,0.00,0.00,0.00
146.20,72.60,46.80,0.00,0.00,0.00,0.00,0.00
145.40,74.00,48.60,0.00,0.00,0.00,0.00,0.00
147.00,72.50,45.50,0.00,0.00,0.00,0.00,0.00
148.60,73.30,49.10,0.00,0.00,0.00,0.00,0.00
147.30,73.20,46.80,0.00,0.00,0.00,0.00,0.00
127.20,68.30,42.30,0.00,0.00,0.00,0.00,0.00
129.30,71.60,41.80,0.00,0.00,0.00,0.00,0.00
120.00,69.40,41.90,0.00,0.00,0.00,0.00,0.00
131.60,69.20,42.50,0.00,0.00,0.00,0.00,0.00
131.10,70.30,41.60,0.00,0.00,0.00,0.00,0.00
115.10,66.00,40.40,0.00,0.00,0.00,0.00,0.00
118.40,67.40,40.10,0.00,0.00,0.00,0.00,0.00
123.50,69.20,40.40,0.00,0.00,0.00,0.00,0.00
125.00,70.20,43.40,0.00,0.00,0.00,0.00,0.00
116.00,68.20,40.90,0.00,0.00,0.00,0.00,0.00
97.90,59.30,33.10,0.00,0.00,0.00,0.00,0.00
115.60,66.20,39.40,0.00,0.00,0.00,0.00,0.00
126.10,68.60,40.40,0.00,0.00,0.00,0.00,0.00
143.40,75.20,47.20,0.00,0.00,0.00,0.00,0.00
149.20,75.10,48.90,0.00,0.00,0.00,0.00,0.00
149.70,76.40,46.70,0.00,0.00,0.00,0.00,0.00
152.00,76.50,49.20,0.00,0.00,0.00,0.00,0.00
149.10,76.80,48.90,0.00,0.00,0.00,0.00,0.00
117.70,69.20,41.20,0.00,0.00,0.00,0.00,0.00
93.00,52.40,31.10,0.00,0.00,0.00,0.00,0.00
73.00,40.10,25.80,0.00,0.00,0.00,0.00,0.00
