#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
419.20,283.50,114.80,0.00,0.00,0.00,0.00,0.00
414.70,282.10,115.40,0.00,0.00,0.00,0.00,0.00
416.00,281.60,118.00,0.00,0.00,0.00,0.00,0.00
415.60,282.70,113.80,0.00,0.00,0.00,0.00,0.00
416.30,281.70,115.10,0.00,0.00,0.00,0.00,0.00
415.80,282.50,121.40,0.00,0.00,0.00,0.00,0.00
345.20,233.60,93.20,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.30,0.00,0.70,0.00,0.00,0.00,0.00,0.00
0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.30,0.00,26.90,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
437.80,329.80,149.30,0.00,0.00,0.00,0.00,0.00
434.40,296.30,117.80,0.00,0.00,0.00,0.00,0.00
431.70,298.30,119.90,0.00,0.00,0.00,0.00,0.00
432.90,301.60,123.40,0.00,0.00,0.00,0.00,0.00
433.80,296.80,117.70,0.00,0.00,0.00,0.00,0.00
430.60,296.00,116.00,0.00,0.00,0.00,0.00,0.00
434.60,303.70,125.10,0.00,0.00,0.00,0.00,0.00
430.40,294.70,116.30,0.00,0.00,0.00,0.00,0.00
430.40,296.50,119.30,0.00,0.00,0.00,0.00,0.00
433.80,298.70,119.30,0.00,0.00,0.00,0.00,0.00
431.20,295.40,117.90,0.00,0.00,0.00,0.00,0.00
432.50,299.30,124.90,0.00,0.00,0.00,0.00,0.00
428.50,296.50,118.60,0.00,0.00,0.00,0.00,0.00
428.60,292.70,113.90,0.00,0.00,0.00,0.00,0.00
432.80,296.60,120.20,0.00,0.00,0.00,0.00,0.00
428.70,297.30,114.00,0.00,0.00,0.00,0.00,0.00
427.40,293.00,117.20,0.00,0.00,0.00,0.00,0.00
430.00,298.70,117.80,0.00,0.00,0.00,0.00,0.00
426.40,291.40,114.40,0.00,0.00,0.00,0.00,0.00
426.90,291.80,117.30,0.00,0.00,0.00,0.00,0.00
427.70,297.40,121.90,0.00,0.00,0.00,0.00,0.00
425.00,291.30,126.20,0.00,0.00,0.00,0.00,0.00
425.30,291.90,117.80,0.00,0.00,0.00,0.00,0.00
421.10,292.10,115.10,0.00,0.00,0.00,0.00,0.00
420.40,286.50,115.20,0.00,0.00,0.00,0.00,0.00
419.70,289.40,115.00,0.00,0.00,0.00,0.00,0.00
410.80,282.50,112.80,0.00,0.00,0.00,0.00,0.00
402.50,277.20,108.10,0.00,0.00,0.00,0.00,0.00
376.60,257.20,103.00,0.00,0.00,0.00,0.00,0.00
323.30,220.70,89.20,0.00,0.00,0.00,0.00,0.00
719.20,566.90,230.40,0.00,0.00,0.00,0.00,0.00
712.40,561.60,204.70,0.00,0.00,0.00,0.00,0.00
717.70,559.90,207.80,0.00,0.00,0.00,0.00,0.00
714.00,564.70,204.80,0.00,0.00,0.00,0.00,0.00
714.00,561.70,209.20,0.00,0.00,0.00,0.00,0.00
717.50,561.40,206.70,0.00,0.00,0.00,0.00,0.00
712.10,562.30,209.40,0.00,0.00,0.00,0.00,0.00
714.50,562.40,207.00,0.00,0.00,0.00,0.00,0.00
715.70,562.70,206.60,0.00,0.00,0.00,0.00,0.00
714.80,560.80,205.50,0.00,0.00,0.00,0.00,0.00
712.10,558.20,206.30,0.00,0.00,0.00,0.00,0.00
713.40,560.80,208.80,0.00,0.00,0.00,0.00,0.00
714.70,563.30,208.60,0.00,0.00,0.00,0.00,0.00
716.00,560.30,207.90,0.00,0.00,0.00,0.00,0.00
712.50,559.00,205.90,0.00,0.00,0.00,0.00,0.00
714.40,562.50,205.00,0.00,0.00,0.00,0.00,0.00
714.10,562.60,207.00,0.00,0.00,0.00,0.00,0.00
714.00,560.10,204.60,0.00,0.00,0.00,0.00,0.00
713.40,562.40,204.30,0.00,0.00,0.00,0.00,0.00
718.50,564.40,209.80,0.00,0.00,0.00,0.00,0.00
713.20,560.70,209.70,0.00,0.00,0.00,0.00,0.00
715.10,562.60,210.20,0.00,0.00,0.00,0.00,0.00
716.10,563.10,205.40,0.00,0.00,0.00,0.00,0.00
713.20,561.80,207.70,0.00,0.00,0.00,0.00,0.00
713.50,562.50,206.50,0.00,0.00,0.00,0.00,0.00
713.50,560.90,209.10,0.00,0.00,0.00,0.00,0.00
716.70,562.40,207.70,0.00,0.00,0.00,0.00,0.00
713.00,559.30,205.20,0.00,0.00,0.00,0.00,0.00
711.30,560.60,205.40,0.00,0.00,0.00,0.00,0.00
713.60,558.40,205.50,0.00,0.00,0.00,0.00,0.00
887.00,837.80,217.90,0.00,0.00,0.00,0.00,0.00
856.70,755.00,259.20,0.00,0.00,0.00,0.00,0.00
861.90,760.10,262.20,0.00,0.00,0.00,0.00,0.00
866.40,764.30,266.80,0.00,0.00,0.00,0.00,0.00
864.50,762.80,263.40,0.00,0.00,0.00,0.00,0.00
859.00,760.00,264.00,0.00,0.00,0.00,0.00,0.00
862.60,759.30,260.50,0.00,0.00,0.00,0.00,0.00
862.00,762.60,259.30,0.00,0.00,0.00,0.00,0.00
871.20,767.90,270.70,0.00,0.00,0.00,0.00,0.00
869.00,770.00,270.40,0.00,0.00,0.00,0.00,0.00
869.60,766.60,259.00,0.00,0.00,0.00,0.00,0.00
871.90,773.20,266.50,0.00,0.00,0.00,0.00,0.00
867.40,761.80,261.20,0.00,0.00,0.00,0.00,0.00
870.70,771.70,263.40,0.00,0.00,0.00,0.00,0.00
875.40,772.40,265.40,0.00,0.00,0.00,0.00,0.00
870.10,771.10,267.60,0.00,0.00,0.00,0.00,0.00
873.00,771.40,274.50,0.00,0.00,0.00,0.00,0.00
874.90,772.40,270.40,0.00,0.00,0.00,0.00,0.00
869.10,768.30,261.70,0.00,0.00,0.00,0.00,0.00
872.30,769.30,266.00,0.00,0.00,0.00,0.00,0.00
869.00,768.20,261.50,0.00,0.00,0.00,0.00,0.00
868.50,768.40,262.90,0.00,0.00,0.00,0.00,0.00
870.80,768.20,265.50,0.00,0.00,0.00,0.00,0.00
872.70,772.00,263.60,0.00,0.00,0.00,0.00,0.00
864.60,762.90,260.50,0.00,0.00,0.00,0.00,0.00
874.30,773.70,262.10,0.00,0.00,0.00,0.00,0.00
868.90,766.40,262.00,0.00,0.00,0.00,0.00,0.00
873.30,769.10,261.90,0.00,0.00,0.00,0.00,0.00
871.80,773.60,267.40,0.00,0.00,0.00,0.00,0.00
874.80,772.40,266.30,0.00,0.00,0.00,0.00,0.00
687.80,595.10,177.00,0.00,0.00,0.00,0.00,0.00
699.30,670.40,220.60,0.00,0.00,0.00,0.00,0.00
699.10,664.60,225.40,0.00,0.00,0.00,0.00,0.00
696.20,665.50,222.30,0.00,0.00,0.00,0.00,0.00
699.80,668.50,222.20,0.00,0.00,0.00,0.00,0.00
696.60,669.10,223.20,0.00,0.00,0.00,0.00,0.00
698.20,668.50,225.80,0.00,0.00,0.00,0.00,0.00
699.90,672.10,225.70,0.00,0.00,0.00,0.00,0.00
699.50,668.10,219.00,0.00,0.00,0.00,0.00,0.00
698.20,663.30,224.20,0.00,0.00,0.00,0.00,0.00
702.80,671.60,220.10,0.00,0.00,0.00,0.00,0.00
699.50,669.60,223.00,0.00,0.00,0.00,0.00,0.00
699.70,670.00,226.40,0.00,0.00,0.00,0.00,0.00
696.60,666.70,226.60,0.00,0.00,0.00,0.00,0.00
703.30,671.10,221.70,0.00,0.00,0.00,0.00,0.00
700.20,667.40,219.90,0.00,0.00,0.00,0.00,0.00
702.70,670.50,220.80,0.00,0.00,0.00,0.00,0.00
702.20,672.30,220.10,0.00,0.00,0.00,0.00,0.00
699.70,672.30,224.90,0.00,0.00,0.00,0.00,0.00
698.00,667.70,221.50,0.00,0.00,0.00,0.00,0.00
699.40,670.00,222.20,0.00,0.00,0.00,0.00,0.00
702.40,669.50,219.50,0.00,0.00,0.00,0.00,0.00
696.20,669.30,223.00,0.00,0.00,0.00,0.00,0.00
698.60,666.00,226.50,0.00,0.00,0.00,0.00,0.00
697.90,667.10,226.30,0.00,0.00,0.00,0.00,0.00
695.40,667.00,228.60,0.00,0.00,0.00,0.00,0.00
703.50,670.10,223.50,0.00,0.00,0.00,0.00,0.00
697.60,668.10,220.00,0.00,0.00,0.00,0.00,0.00
697.00,666.00,218.70,0.00,0.00,0.00,0.00,0.00
699.20,667.70,220.30,0.00,0.00,0.00,0.00,0.00
805.40,800.30,230.10,0.00,0.00,0.00,0.00,0.00
787.60,738.00,244.90,0.00,0.00,0.00,0.00,0.00
807.70,762.00,260.20,0.00,0.00,0.00,0.00,0.00
810.50,764.00,253.40,0.00,0.00,0.00,0.00,0.00
804.10,762.00,259.50,0.00,0.00,0.00,0.00,0.00
827.20,774.20,256.40,0.00,0.00,0.00,0.00,0.00
824.00,769.40,258.40,0.00,0.00,0.00,0.00,0.00
826.90,771.30,262.00,0.00,0.00,0.00,0.00,0.00
828.70,777.70,263.00,0.00,0.00,0.00,0.00,0.00
829.30,776.40,257.80,0.00,0.00,0.00,0.00,0.00
838.10,781.00,259.90,0.00,0.00,0.00,0.00,0.00
841.10,783.30,262.80,0.00,0.00,0.00,0.00,0.00
835.30,787.70,262.30,0.00,0.00,0.00,0.00,0.00
835.40,787.00,267.80,0.00,0.00,0.00,0.00,0.00
832.00,780.00,264.00,0.00,0.00,0.00,0.00,0.00
831.90,782.80,267.10,0.00,0.00,0.00,0.00,0.00
838.80,785.60,264.30,0.00,0.00,0.00,0.00,0.00
831.90,778.80,262.90,0.00,0.00,0.00,0.00,0.00
838.20,789.00,259.00,0.00,0.00,0.00,0.00,0.00
832.70,779.60,260.70,0.00,0.00,0.00,0.00,0.00
833.00,784.50,258.90,0.00,0.00,0.00,0.00,0.00
841.00,785.90,261.00,0.00,0.00,0.00,0.00,0.00
839.00,784.80,262.10,0.00,0.00,0.00,0.00,0.00
840.10,786.90,262.50,0.00,0.00,0.00,0.00,0.00
840.10,781.20,261.50,0.00,0.00,0.00,0.00,0.00
838.00,786.90,268.00,0.00,0.00,0.00,0.00,0.00
839.60,795.40,267.90,0.00,0.00,0.00,0.00,0.00
836.00,788.70,270.00,0.00,0.00,0.00,0.00,0.00
843.40,785.20,261.90,0.00,0.00,0.00,0.00,0.00
838.00,789.00,273.20,0.00,0.00,0.00,0.00,0.00
694.00,636.40,186.80,0.00,0.00,0.00,0.00,0.00
653.80,627.30,207.50,0.00,0.00,0.00,0.00,0.00
682.60,646.80,219.80,0.00,0.00,0.00,0.00,0.00
681.30,643.60,217.40,0.00,0.00,0.00,0.00,0.00
684.30,645.10,218.60,0.00,0.00,0.00,0.00,0.00
683.40,650.80,219.20,0.00,0.00,0.00,0.00,0.00
694.40,647.30,217.30,0.00,0.00,0.00,0.00,0.00
693.50,646.70,218.00,0.00,0.00,0.00,0.00,0.00
688.10,647.10,218.80,0.00,0.00,0.00,0.00,0.00
690.20,651.20,221.70,0.00,0.00,0.00,0.00,0.00
690.60,648.10,220.40,0.00,0.00,0.00,0.00,0.00
696.00,651.00,217.00,0.00,0.00,0.00,0.00,0.00
698.60,647.90,218.00,0.00,0.00,0.00,0.00,0.00
695.90,650.50,218.80,0.00,0.00,0.00,0.00,0.00
695.10,651.40,219.50,0.00,0.00,0.00,0.00,0.00
695.30,649.00,221.90,0.00,0.00,0.00,0.00,0.00
698.90,648.20,222.10,0.00,0.00,0.00,0.00,0.00
693.70,649.80,217.80,0.00,0.00,0.00,0.00,0.00
693.80,649.60,219.20,0.00,0.00,0.00,0.00,0.00
694.50,643.60,222.80,0.00,0.00,0.00,0.00,0.00
699.40,652.00,220.00,0.00,0.00,0.00,0.00,0.00
695.40,645.70,216.50,0.00,0.00,0.00,0.00,0.00
697.40,653.20,218.00,0.00,0.00,0.00,0.00,0.00
697.40,649.60,216.60,0.00,0.00,0.00,0.00,0.00
693.80,647.60,218.70,0.00,0.00,0.00,0.00,0.00
697.80,650.40,217.00,0.00,0.00,0.00,0.00,0.00
696.60,650.50,218.70,0.00,0.00,0.00,0.00,0.00
697.70,651.40,222.00,0.00,0.00,0.00,0.00,0.00
693.20,646.10,216.20,0.00,0.00,0.00,0.00,0.00
696.70,649.10,223.80,0.00,0.00,0.00,0.00,0.00
831.10,800.00,261.70,0.00,0.00,0.00,0.00,0.00
744.00,707.90,236.90,0.00,0.00,0.00,0.00,0.00
781.10,729.40,249.40,0.00,0.00,0.00,0.00,0.00
804.60,745.80,252.90,0.00,0.00,0.00,0.00,0.00
801.70,741.80,255.00,0.00,0.00,0.00,0.00,0.00
810.30,745.10,253.10,0.00,0.00,0.00,0.00,0.00
827.30,767.60,257.40,0.00,0.00,0.00,0.00,0.00
814.50,747.00,258.00,0.00,0.00,0.00,0.00,0.00
818.80,755.70,257.50,0.00,0.00,0.00,0.00,0.00
822.70,754.60,257.70,0.00,0.00,0.00,0.00,0.00
823.70,768.10,259.00,0.00,0.00,0.00,0.00,0.00
833.90,776.60,258.70,0.00,0.00,0.00,0.00,0.00
830.80,772.70,263.00,0.00,0.00,0.00,0.00,0.00
826.00,771.40,263.40,0.00,0.00,0.00,0.00,0.00
822.20,774.00,262.80,0.00,0.00,0.00,0.00,0.00
819.80,764.00,258.00,0.00,0.00,0.00,0.00,0.00
827.10,772.20,262.80,0.00,0.00,0.00,0.00,0.00
822.70,765.70,262.90,0.00,0.00,0.00,0.00,0.00
827.50,769.50,260.60,0.00,0.00,0.00,0.00,0.00
824.90,770.40,260.70,0.00,0.00,0.00,0.00,0.00
830.10,765.20,254.70,0.00,0.00,0.00,0.00,0.00
833.10,768.70,261.70,0.00,0.00,0.00,0.00,0.00
827.10,766.30,256.30,0.00,0.00,0.00,0.00,0.00
825.10,767.30,260.10,0.00,0.00,0.00,0.00,0.00
826.30,761.10,259.60,0.00,0.00,0.00,0.00,0.00
828.30,765.20,261.80,0.00,0.00,0.00,0.00,0.00
827.60,767.70,262.60,0.00,0.00,0.00,0.00,0.00
828.20,771.40,258.90,0.00,0.00,0.00,0.00,0.00
823.10,762.60,262.70,0.00,0.00,0.00,0.00,0.00
826.50,769.90,259.90,0.00,0.00,0.00,0.00,0.00
762.40,737.20,211.60,0.00,0.00,0.00,0.00,0.00
650.10,638.20,210.80,0.00,0.00,0.00,0.00,0.00
676.20,658.10,222.70,0.00,0.00,0.00,0.00,0.00
684.40,659.90,221.20,0.00,0.00,0.00,0.00,0.00
693.90,663.50,225.20,0.00,0.00,0.00,0.00,0.00
693.60,663.90,224.30,0.00,0.00,0.00,0.00,0.00
695.50,666.30,219.10,0.00,0.00,0.00,0.00,0.00
697.30,663.40,226.50,0.00,0.00,0.00,0.00,0.00
693.20,669.50,221.60,0.00,0.00,0.00,0.00,0.00
699.10,666.10,224.30,0.00,0.00,0.00,0.00,0.00
696.60,665.20,225.20,0.00,0.00,0.00,0.00,0.00
700.30,674.30,224.20,0.00,0.00,0.00,0.00,0.00
698.10,666.80,225.00,0.00,0.00,0.00,0.00,0.00
701.40,675.00,225.20,0.00,0.00,0.00,0.00,0.00
701.00,665.00,224.00,0.00,0.00,0.00,0.00,0.00
698.40,664.60,223.70,0.00,0.00,0.00,0.00,0.00
696.80,667.30,222.20,0.00,0.00,0.00,0.00,0.00
701.40,663.70,225.40,0.00,0.00,0.00,0.00,0.00
701.40,668.40,224.40,0.00,0.00,0.00,0.00,0.00
694.90,664.10,225.80,0.00,0.00,0.00,0.00,0.00
696.30,670.30,225.40,0.00,0.00,0.00,0.00,0.00
699.00,669.20,222.20,0.00,0.00,0.00,0.00,0.00
702.00,673.00,223.30,0.00,0.00,0.00,0.00,0.00
723.80,696.90,233.90,0.00,0.00,0.00,0.00,0.00
721.20,693.00,229.90,0.00,0.00,0.00,0.00,0.00
816.50,799.60,268.10,0.00,0.00,0.00,0.00,0.00
781.20,764.30,255.20,0.00,0.00,0.00,0.00,0.00
785.70,758.20,253.70,0.00,0.00,0.00,0.00,0.00
758.50,741.80,249.30,0.00,0.00,0.00,0.00,0.00
725.50,698.70,233.20,0.00,0.00,0.00,0.00,0.00
849.40,806.20,224.00,0.00,0.00,0.00,0.00,0.00
722.60,693.70,231.70,0.00,0.00,0.00,0.00,0.00
765.00,725.50,245.60,0.00,0.00,0.00,0.00,0.00
787.40,734.70,251.00,0.00,0.00,0.00,0.00,0.00
794.30,741.10,251.00,0.00,0.00,0.00,0.00,0.00
801.90,742.50,250.40,0.00,0.00,0.00,0.00,0.00
822.60,770.40,259.30,0.00,0.00,0.00,0.00,0.00
807.50,741.30,254.50,0.00,0.00,0.00,0.00,0.00
802.80,740.30,252.50,0.00,0.00,0.00,0.00,0.00
826.50,764.80,257.30,0.00,0.00,0.00,0.00,0.00
827.50,764.50,260.40,0.00,0.00,0.00,0.00,0.00
841.50,775.00,259.90,0.00,0.00,0.00,0.00,0.00
828.30,775.40,261.30,0.00,0.00,0.00,0.00,0.00
832.10,774.00,265.00,0.00,0.00,0.00,0.00,0.00
829.80,767.90,261.20,0.00,0.00,0.00,0.00,0.00
830.10,766.60,260.90,0.00,0.00,0.00,0.00,0.00
827.10,767.00,258.80,0.00,0.00,0.00,0.00,0.00
833.60,773.60,264.00,0.00,0.00,0.00,0.00,0.00
832.30,770.00,261.00,0.00,0.00,0.00,0.00,0.00
834.00,776.20,262.50,0.00,0.00,0.00,0.00,0.00
838.10,777.80,259.70,0.00,0.00,0.00,0.00,0.00
844.30,788.00,264.90,0.00,0.00,0.00,0.00,0.00
838.40,777.70,260.70,0.00,0.00,0.00,0.00,0.00
835.00,785.20,260.80,0.00,0.00,0.00,0.00,0.00
829.40,763.90,265.90,0.00,0.00,0.00,0.00,0.00
833.20,780.00,264.50,0.00,0.00,0.00,0.00,0.00
834.10,777.20,263.10,0.00,0.00,0.00,0.00,0.00
838.20,782.00,264.30,0.00,0.00,0.00,0.00,0.00
834.60,772.20,260.10,0.00,0.00,0.00,0.00,0.00
836.30,773.10,261.70,0.00,0.00,0.00,0.00,0.00
